# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=2*mt0=3.00666)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 2.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  635.336
0  0.3  343.101
0  0.5  215.148
0  0.7  137.969
0  0.9  89.2002
0  1.1  58.1618
0  1.3  38.2389
0  1.5  25.3917
0  1.7  17.0544
0  1.9  11.5721
0  2.1  7.95247
0  2.3  5.5264
0  2.5  3.88562
0  2.7  2.76225
0  2.9  1.98462
0  3.1  1.44103
0  3.3  1.05678
0  3.5  0.782184
0  3.7  0.584091
0  3.9  0.440165
0  4.1  0.333975
0  4.3  0.255524
0  4.5  0.196822
0  4.7  0.152685
0  4.9  0.119196
0  5.1  0.0936234
0  5.3  0.0739362
0  5.5  0.0587216
0  5.7  0.0468517
0  5.9  0.0375841
0  6.1  0.0302803
0  6.3  0.0245091
0  6.5  0.0199353
0  6.7  0.0162585
0  6.9  0.0133025
0  7.1  0.0109309
0  7.3  0.00902452
0  7.5  0.00747061
0  7.7  0.00620098
0  7.9  0.00516276
0  8.1  0.00431037
0  8.3  0.00360942
0  8.5  0.00302918
0  8.7  0.00254581
0  8.9  0.00215139
0  9.1  0.00181645
0  9.3  0.00154233
0  9.5  0.00130843
0  9.7  0.00111554
0  9.9  0.000951366
0  10.1  0.000813257
0  10.3  0.000695161
0  10.5  0.000597314
0  10.7  0.000513174
0  10.9  0.000441245
0  11.1  0.000380566
0  11.3  0.000328708
0  11.5  0.00028484
0  11.7  0.000246391
0  11.9  0.000213808
2  0.1  634.825
2  0.3  342.819
2  0.5  214.97
2  0.7  137.851
2  0.9  89.1209
2  1.1  58.1076
2  1.3  38.2014
2  1.5  25.3656
2  1.7  17.036
2  1.9  11.5591
2  2.1  7.94321
2  2.3  5.51977
2  2.5  3.88081
2  2.7  2.75874
2  2.9  1.98206
2  3.1  1.43913
2  3.3  1.05537
2  3.5  0.781121
2  3.7  0.583282
2  3.9  0.439548
2  4.1  0.333502
