# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0048.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  625.925
0  0.3  498.487
0  0.5  390.005
0  0.7  295.47
0  0.9  218.251
0  1.1  157.904
0  1.3  112.759
0  1.5  79.8362
0  1.7  56.3931
0  1.9  39.9629
0  2.1  28.5113
0  2.3  20.5274
0  2.5  14.9433
0  2.7  11.008
0  2.9  8.20476
0  3.1  6.18911
0  3.3  4.72051
0  3.5  3.64653
0  3.7  2.8445
0  3.9  2.24082
0  4.1  1.78202
0  4.3  1.45906
0  4.5  1.21029
0  4.7  1.01244
0  4.9  0.852636
0  5.1  0.723376
0  5.3  0.617482
0  5.5  0.530481
0  5.7  0.457943
0  5.9  0.397215
0  6.1  0.346256
0  6.3  0.30307
0  6.5  0.266416
0  6.7  0.235215
0  6.9  0.208461
0  7.1  0.185315
0  7.3  0.165263
0  7.5  0.147875
0  7.7  0.132594
0  7.9  0.119364
0  8.1  0.107623
0  8.3  0.0974115
0  8.5  0.0882371
0  8.7  0.0801431
0  8.9  0.0730058
0  9.1  0.0666826
0  9.3  0.0608835
0  9.5  0.055792
0  9.7  0.0512627
0  9.9  0.0471104
0  10.1  0.0433764
0  10.3  0.0399673
0  10.5  0.036978
0  10.7  0.0341825
0  10.9  0.0316282
0  11.1  0.0293786
0  11.3  0.0272675
0  11.5  0.0253786
0  11.7  0.0235902
0  11.9  0.0219898
2  0.1  625.07
2  0.3  497.799
2  0.5  389.512
2  0.7  295.086
2  0.9  217.947
2  1.1  157.671
2  1.3  112.576
2  1.5  79.7016
2  1.7  56.2932
2  1.9  39.8901
2  2.1  28.4581
2  2.3  20.4886
2  2.5  14.9118
2  2.7  10.9866
2  2.9  8.18863
2  3.1  6.17699
2  3.3  4.71363
2  3.5  3.63853
2  3.7  2.83833
2  3.9  2.23624
2  4.1  1.77865
2  4.3  1.45635
2  4.5  1.20789
2  4.7  1.01062
2  4.9  0.850959
2  5.1  0.721975
2  5.3  0.616283
2  5.5  0.529448
2  5.7  0.457087
2  5.9  0.396381
2  6.1  0.345593
2  6.3  0.302569
2  6.5  0.265909
2  6.7  0.23482
2  6.9  0.208054
2  7.1  0.184956
2  7.3  0.164913
2  7.5  0.147576
2  7.7  0.132345
2  7.9  0.119132
2  8.1  0.107418
2  8.3  0.0972315
2  8.5  0.088067
2  8.7  0.0800236
2  8.9  0.0728613
2  9.1  0.0665518
2  9.3  0.0607727
2  9.5  0.0557095
2  9.7  0.0511612
2  9.9  0.0470252
2  10.1  0.0432382
2  10.3  0.0398895
2  10.5  0.0368817
2  10.7  0.0341166
2  10.9  0.0316073
2  11.1  0.0293236
2  11.3  0.0272248
2  11.5  0.0253044
2  11.7  0.0235463
2  11.9  0.021947
4  0.1  622.686
4  0.3  495.988
4  0.5  387.914
4  0.7  293.897
4  0.9  217.026
4  1.1  157.053
4  1.3  112.032
4  1.5  79.2946
4  1.7  55.9911
4  1.9  39.6802
4  2.1  28.2966
4  2.3  20.3701
4  2.5  14.8272
4  2.7  10.9217
4  2.9  8.1401
4  3.1  6.14015
4  3.3  4.68536
4  3.5  3.61717
4  3.7  2.82145
4  3.9  2.22308
4  4.1  1.76757
4  4.3  1.44756
4  4.5  1.20071
4  4.7  1.0044
4  4.9  0.845904
4  5.1  0.717705
4  5.3  0.612633
4  5.5  0.526278
4  5.7  0.454243
4  5.9  0.394065
4  6.1  0.343638
4  6.3  0.300786
4  6.5  0.264345
4  6.7  0.233463
4  6.9  0.206818
4  7.1  0.183901
4  7.3  0.163946
4  7.5  0.146713
4  7.7  0.131657
4  7.9  0.118463
4  8.1  0.106788
4  8.3  0.0966122
4  8.5  0.0875301
4  8.7  0.079652
4  8.9  0.0724118
4  9.1  0.0661848
4  9.3  0.060449
4  9.5  0.0553822
4  9.7  0.0508691
4  9.9  0.0467471
4  10.1  0.0430325
4  10.3  0.0396606
4  10.5  0.0366719
4  10.7  0.0339184
4  10.9  0.0314189
4  11.1  0.0291534
4  11.3  0.0270433
4  11.5  0.0251453
4  11.7  0.0234339
4  11.9  0.0218595
6  0.1  618.765
6  0.3  492.654
6  0.5  385.444
6  0.7  291.885
6  0.9  215.446
6  1.1  155.766
6  1.3  111.119
6  1.5  78.6107
6  1.7  55.4894
6  1.9  39.298
6  2.1  28.0249
6  2.3  20.1724
6  2.5  14.6721
6  2.7  10.8126
6  2.9  8.05147
6  3.1  6.07642
6  3.3  4.6372
6  3.5  3.58006
6  3.7  2.79343
6  3.9  2.20068
6  4.1  1.74958
6  4.3  1.43309
6  4.5  1.18863
6  4.7  0.994212
6  4.9  0.837435
6  5.1  0.710554
6  5.3  0.606575
6  5.5  0.521059
6  5.7  0.449842
6  5.9  0.390191
6  6.1  0.340187
6  6.3  0.297759
6  6.5  0.26174
6  6.7  0.231115
6  6.9  0.204844
6  7.1  0.182015
6  7.3  0.162356
6  7.5  0.14527
6  7.7  0.130347
6  7.9  0.117295
