# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0087.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 4.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  9.828
0  0.3  6.9603
0  0.5  4.41259
0  0.7  2.52971
0  0.9  1.36552
0  1.1  0.713523
0  1.3  0.367407
0  1.5  0.188132
0  1.7  0.0964777
0  1.9  0.0497904
0  2.1  0.0258877
0  2.3  0.0135721
0  2.5  0.00719713
0  2.7  0.0038576
0  2.9  0.00208694
0  3.1  0.00114103
0  3.3  0.000629904
0  3.5  0.000351298
0  3.7  0.000197618
0  3.9  0.000112164
0  4.1  6.42186e-05
0  4.3  3.70582e-05
0  4.5  2.15448e-05
0  4.7  1.2625e-05
0  4.9  7.44509e-06
0  5.1  4.42431e-06
0  5.3  2.64259e-06
0  5.5  1.58933e-06
0  5.7  9.60509e-07
0  5.9  5.83828e-07
0  6.1  3.56781e-07
0  6.3  2.19015e-07
0  6.5  1.35123e-07
0  6.7  8.37517e-08
0  6.9  5.21374e-08
0  7.1  3.25861e-08
0  7.3  2.04407e-08
0  7.5  1.28803e-08
0  7.7  8.14507e-09
0  7.9  5.16512e-09
0  8.1  3.28902e-09
0  8.3  2.10132e-09
0  8.5  1.34578e-09
0  8.7  8.64907e-10
0  8.9  5.57748e-10
0  9.1  3.60429e-10
0  9.3  2.33555e-10
0  9.5  1.51877e-10
0  9.7  9.89409e-11
0  9.9  6.46004e-11
0  10.1  4.2299e-11
0  10.3  2.77559e-11
0  10.5  1.82531e-11
0  10.7  1.20321e-11
0  10.9  7.94422e-12
0  11.1  5.2599e-12
0  11.3  3.48795e-12
0  11.5  2.31835e-12
0  11.7  1.54292e-12
0  11.9  1.0295e-12
2  0.1  9.82176
2  0.3  6.95583
2  0.5  4.40969
2  0.7  2.52804
2  0.9  1.36457
2  1.1  0.713005
2  1.3  0.367129
2  1.5  0.187982
2  1.7  0.0963977
2  1.9  0.0497477
2  2.1  0.0258642
2  2.3  0.0135593
2  2.5  0.0071903
2  2.7  0.00385376
2  2.9  0.00208478
2  3.1  0.00113982
2  3.3  0.000629222
2  3.5  0.000350909
2  3.7  0.000197395
2  3.9  0.000112036
2  4.1  6.41438e-05
2  4.3  3.70143e-05
2  4.5  2.1519e-05
2  4.7  1.26097e-05
2  4.9  7.43595e-06
2  5.1  4.41884e-06
2  5.3  2.63928e-06
2  5.5  1.58733e-06
2  5.7  9.59293e-07
2  5.9  5.83083e-07
2  6.1  3.56323e-07
2  6.3  2.18733e-07
2  6.5  1.34947e-07
2  6.7  8.36423e-08
2  6.9  5.20687e-08
2  7.1  3.25428e-08
2  7.3  2.04134e-08
2  7.5  1.2863e-08
2  7.7  8.13408e-09
2  7.9  5.15833e-09
2  8.1  3.28467e-09
2  8.3  2.09854e-09
2  8.5  1.34399e-09
2  8.7  8.63756e-10
2  8.9  5.57008e-10
2  9.1  3.59925e-10
2  9.3  2.33228e-10
2  9.5  1.51663e-10
2  9.7  9.8801e-11
2  9.9  6.45087e-11
2  10.1  4.22386e-11
2  10.3  2.77162e-11
2  10.5  1.82268e-11
2  10.7  1.20142e-11
2  10.9  7.93294e-12
2  11.1  5.25229e-12
2  11.3  3.48292e-12
2  11.5  2.31494e-12
2  11.7  1.54063e-12
2  11.9  1.02799e-12
4  0.1  9.80293
4  0.3  6.94235
4  0.5  4.40099
4  0.7  2.52299
4  0.9  1.36172
4  1.1  0.711453
4  1.3  0.366287
4  1.5  0.187529
4  1.7  0.0961506
4  1.9  0.0496158
4  2.1  0.0257932
4  2.3  0.0135209
4  2.5  0.00716905
4  2.7  0.00384192
4  2.9  0.00207821
4  3.1  0.00113616
4  3.3  0.000627161
4  3.5  0.000349736
4  3.7  0.000196721
4  3.9  0.000111647
4  4.1  6.39176e-05
4  4.3  3.68823e-05
4  4.5  2.14412e-05
4  4.7  1.25637e-05
4  4.9  7.40852e-06
4  5.1  4.40239e-06
4  5.3  2.62885e-06
4  5.5  1.58125e-06
4  5.7  9.55602e-07
4  5.9  5.80797e-07
4  6.1  3.54918e-07
4  6.3  2.17856e-07
4  6.5  1.34452e-07
4  6.7  8.33017e-08
4  6.9  5.18585e-08
4  7.1  3.24097e-08
4  7.3  2.03294e-08
4  7.5  1.28101e-08
4  7.7  8.0989e-09
4  7.9  5.13682e-09
4  8.1  3.27114e-09
4  8.3  2.0897e-09
4  8.5  1.3384e-09
4  8.7  8.60125e-10
4  8.9  5.54642e-10
4  9.1  3.58436e-10
4  9.3  2.32248e-10
4  9.5  1.51008e-10
4  9.7  9.83859e-11
4  9.9  6.42523e-11
4  10.1  4.20555e-11
4  10.3  2.75956e-11
4  10.5  1.81566e-11
4  10.7  1.19568e-11
4  10.9  7.90146e-12
4  11.1  5.23004e-12
4  11.3  3.46974e-12
4  11.5  2.30421e-12
4  11.7  1.53443e-12
4  11.9  1.02279e-12
6  0.1  9.77113
6  0.3  6.91956
6  0.5  4.38611
6  0.7  2.51444
6  0.9  1.35689
6  1.1  0.708824
6  1.3  0.364866
6  1.5  0.186766
6  1.7  0.0957412
6  1.9  0.0493933
6  2.1  0.0256734
6  2.3  0.0134556
6  2.5  0.00713328
6  2.7  0.00382217
6  2.9  0.00206724
6  3.1  0.00113001
6  3.3  0.000623695
6  3.5  0.000347763
6  3.7  0.000195591
6  3.9  0.000110995
6  4.1  6.35381e-05
6  4.3  3.66601e-05
6  4.5  2.13101e-05
6  4.7  1.24862e-05
6  4.9  7.3622e-06
6  5.1  4.37457e-06
6  5.3  2.61258e-06
6  5.5  1.57107e-06
6  5.7  9.49401e-07
6  5.9  5.77026e-07
6  6.1  3.52596e-07
6  6.3  2.16429e-07
6  6.5  1.33516e-07
6  6.7  8.27498e-08
6  6.9  5.15107e-08
6  7.1  3.21919e-08
6  7.3  2.01922e-08
6  7.5  1.2723e-08
6  7.7  8.04399e-09
6  7.9  5.10186e-09
6  8.1  3.24849e-09
6  8.3  2.0751e-09
6  8.5  1.32908e-09
6  8.7  8.54147e-10
6  8.9  5.50779e-10
6  9.1  3.55887e-10
6  9.3  2.30604e-10
6  9.5  1.4995e-10
6  9.7  9.76833e-11
6  9.9  6.37765e-11
6  10.1  4.17585e-11
6  10.3  2.74e-11
6  10.5  1.80184e-11
6  10.7  1.18762e-11
6  10.9  7.84162e-12
6  11.1  5.19169e-12
6  11.3  3.44252e-12
6  11.5  2.287e-12
6  11.7  1.52322e-12
6  11.9  1.01607e-12
8  0.1  9.72539
8  0.3  6.88669
8  0.5  4.36514
8  0.7  2.50222
8  0.9  1.34997
8  1.1  0.705032
8  1.3  0.362839
8  1.5  0.185655
8  1.7  0.09514
8  1.9  0.0490764
8  2.1  0.0254784
8  2.3  0.0133623
8  2.5  0.00708216
8  2.7  0.00379396
8  2.9  0.00205153
8  3.1  0.00112119
8  3.3  0.000618735
8  3.5  0.00034494
8  3.7  0.000193974
8  3.9  0.000110062
8  4.1  6.2996e-05
8  4.3  3.63421e-05
8  4.5  2.11231e-05
8  4.7  1.23754e-05
8  4.9  7.29616e-06
8  5.1  4.33494e-06
8  5.3  2.58861e-06
8  5.5  1.55655e-06
8  5.7  9.40542e-07
8  5.9  5.71594e-07
8  6.1  3.49258e-07
8  6.3  2.14366e-07
8  6.5  1.3224e-07
8  6.7  8.19436e-08
8  6.9  5.10114e-08
8  7.1  3.18782e-08
8  7.3  1.99943e-08
8  7.5  1.25976e-08
8  7.7  7.96437e-09
8  7.9  5.05168e-09
8  8.1  3.21604e-09
8  8.3  2.05429e-09
8  8.5  1.31569e-09
8  8.7  8.45519e-10
8  8.9  5.45165e-10
8  9.1  3.52262e-10
8  9.3  2.28246e-10
8  9.5  1.48417e-10
8  9.7  9.6678e-11
8  9.9  6.31189e-11
8  10.1  4.13244e-11
8  10.3  2.71146e-11
8  10.5  1.78377e-11
8  10.7  1.17526e-11
8  10.9  7.75955e-12
8  11.1  5.13701e-12
8  11.3  3.40667e-12
8  11.5  2.26301e-12
8  11.7  1.50598e-12
8  11.9  1.00526e-12
10  0.1  9.66484
10  0.3  6.84333
10  0.5  4.33712
10  0.7  2.4859
10  0.9  1.34077
10  1.1  0.700047
10  1.3  0.360145
10  1.5  0.184218
10  1.7  0.0943741
10  1.9  0.0486572
10  2.1  0.0252748
10  2.3  0.0132388
10  2.5  0.00701452
10  2.7  0.00375667
10  2.9  0.0020308
10  3.1  0.0011096
10  3.3  0.000612183
10  3.5  0.000341209
10  3.7  0.000191835
10  3.9  0.000108848
10  4.1  6.22791e-05
10  4.3  3.59235e-05
10  4.5  2.08762e-05
10  4.7  1.22293e-05
10  4.9  7.20902e-06
10  5.1  4.28266e-06
10  5.3  2.55719e-06
10  5.5  1.53746e-06
10  5.7  9.28917e-07
10  5.9  5.64451e-07
10  6.1  3.44866e-07
10  6.3  2.1164e-07
10  6.5  1.30527e-07
10  6.7  8.08823e-08
10  6.9  5.03517e-08
10  7.1  3.14631e-08
10  7.3  1.97326e-08
10  7.5  1.24319e-08
10  7.7  7.8587e-09
10  7.9  4.9847e-09
10  8.1  3.17318e-09
10  8.3  2.02666e-09
10  8.5  1.29804e-09
10  8.7  8.34201e-10
10  8.9  5.378e-10
10  9.1  3.47505e-10
10  9.3  2.25144e-10
10  9.5  1.46372e-10
10  9.7  9.53574e-11
10  9.9  6.22671e-11
10  10.1  4.07411e-11
10  10.3  2.67386e-11
10  10.5  1.75812e-11
10  10.7  1.15826e-11
10  10.9  7.65441e-12
10  11.1  5.0661e-12
10  11.3  3.3597e-12
10  11.5  2.23154e-12
10  11.7  1.48597e-12
10  11.9  9.90454e-13
12  0.1  9.58752
12  0.3  6.7879
12  0.5  4.30157
12  0.7  2.46511
12  0.9  1.32905
12  1.1  0.693672
12  1.3  0.356704
12  1.5  0.182369
12  1.7  0.0933817
12  1.9  0.0481222
12  2.1  0.0249858
12  2.3  0.0130821
12  2.5  0.00692863
12  2.7  0.00370932
12  2.9  0.00200452
12  3.1  0.00109485
12  3.3  0.000603888
12  3.5  0.000336491
12  3.7  0.000189137
12  3.9  0.00010729
12  4.1  6.13756e-05
12  4.3  3.53941e-05
12  4.5  2.05642e-05
12  4.7  1.20448e-05
12  4.9  7.09889e-06
12  5.1  4.21658e-06
12  5.3  2.51721e-06
12  5.5  1.51334e-06
12  5.7  9.14186e-07
12  5.9  5.55461e-07
12  6.1  3.39334e-07
12  6.3  2.08232e-07
12  6.5  1.28447e-07
12  6.7  7.9569e-08
12  6.9  4.95216e-08
12  7.1  3.09426e-08
12  7.3  1.94045e-08
12  7.5  1.22236e-08
12  7.7  7.72829e-09
12  7.9  4.89979e-09
12  8.1  3.11932e-09
12  8.3  1.99225e-09
12  8.5  1.27591e-09
12  8.7  8.1985e-10
12  8.9  5.28436e-10
12  9.1  3.41505e-10
12  9.3  2.21254e-10
12  9.5  1.43835e-10
12  9.7  9.36922e-11
12  9.9  6.11624e-11
12  10.1  4.00411e-11
12  10.3  2.62707e-11
12  10.5  1.72719e-11
12  10.7  1.13836e-11
12  10.9  7.51636e-12
12  11.1  4.97422e-12
12  11.3  3.29899e-12
12  11.5  2.19156e-12
12  11.7  1.45837e-12
12  11.9  9.73355e-13
14  0.1  9.49082
14  0.3  6.71864
14  0.5  4.25707
14  0.7  2.4391
14  0.9  1.31441
14  1.1  0.685719
14  1.3  0.352405
14  1.5  0.180065
14  1.7  0.0921454
14  1.9  0.0474559
14  2.1  0.0246271
14  2.3  0.0128884
14  2.5  0.00682217
14  2.7  0.00365069
14  2.9  0.00197196
14  3.1  0.00107664
14  3.3  0.000593618
14  3.5  0.000330655
14  3.7  0.000185795
14  3.9  0.000105365
14  4.1  6.026e-05
14  4.3  3.474e-05
14  4.5  2.01789e-05
14  4.7  1.18172e-05
14  4.9  6.9631e-06
14  5.1  4.13514e-06
14  5.3  2.46813e-06
14  5.5  1.48357e-06
14  5.7  8.96049e-07
14  5.9  5.44358e-07
14  6.1  3.32506e-07
14  6.3  2.04004e-07
14  6.5  1.25813e-07
14  6.7  7.79285e-08
14  6.9  4.85004e-08
14  7.1  3.03035e-08
14  7.3  1.90014e-08
14  7.5  1.19684e-08
14  7.7  7.56483e-09
14  7.9  4.79654e-09
14  8.1  3.05336e-09
14  8.3  1.94994e-09
14  8.5  1.24863e-09
14  8.7  8.02266e-10
14  8.9  5.17084e-10
14  9.1  3.34127e-10
14  9.3  2.16478e-10
14  9.5  1.40703e-10
14  9.7  9.16513e-11
14  9.9  5.9824e-11
14  10.1  3.91634e-11
14  10.3  2.56882e-11
14  10.5  1.68905e-11
14  10.7  1.11319e-11
14  10.9  7.34967e-12
14  11.1  4.86613e-12
14  11.3  3.22767e-12
14  11.5  2.14265e-12
14  11.7  1.42567e-12
14  11.9  9.50808e-13
16  0.1  9.3713
16  0.3  6.62987
16  0.5  4.20217
16  0.7  2.40703
16  0.9  1.29635
16  1.1  0.675909
16  1.3  0.347098
16  1.5  0.177225
16  1.7  0.090624
16  1.9  0.0466361
16  2.1  0.0241646
16  2.3  0.0126504
16  2.5  0.00669173
16  2.7  0.00357883
16  2.9  0.00193216
16  3.1  0.00105437
16  3.3  0.00058107
16  3.5  0.000323518
16  3.7  0.000181713
16  3.9  0.000103016
16  4.1  5.88921e-05
16  4.3  3.39434e-05
16  4.5  1.97105e-05
16  4.7  1.15394e-05
16  4.9  6.7978e-06
16  5.1  4.03603e-06
16  5.3  2.40843e-06
16  5.5  1.44737e-06
16  5.7  8.74002e-07
16  5.9  5.30875e-07
16  6.1  3.24178e-07
16  6.3  1.98872e-07
16  6.5  1.22631e-07
16  6.7  7.59335e-08
16  6.9  4.72594e-08
16  7.1  2.95236e-08
16  7.3  1.85101e-08
16  7.5  1.16569e-08
16  7.7  7.36873e-09
16  7.9  4.6706e-09
16  8.1  2.97291e-09
16  8.3  1.89835e-09
16  8.5  1.21557e-09
16  8.7  7.80949e-10
16  8.9  5.03255e-10
16  9.1  3.2517e-10
16  9.3  2.10641e-10
16  9.5  1.3691e-10
16  9.7  8.91743e-11
16  9.9  5.82036e-11
16  10.1  3.80996e-11
16  10.3  2.49917e-11
16  10.5  1.64288e-11
16  10.7  1.08265e-11
16  10.9  7.1479e-12
16  11.1  4.7302e-12
16  11.3  3.13643e-12
16  11.5  2.08353e-12
16  11.7  1.38624e-12
16  11.9  9.24446e-13
18  0.1  9.22372
18  0.3  6.52464
18  0.5  4.13444
18  0.7  2.36728
18  0.9  1.27409
18  1.1  0.663973
18  1.3  0.340559
18  1.5  0.173733
18  1.7  0.0887579
18  1.9  0.045633
18  2.1  0.0236259
18  2.3  0.0123592
18  2.5  0.00653232
18  2.7  0.00349112
18  2.9  0.00188364
18  3.1  0.00102722
18  3.3  0.00056581
18  3.5  0.000314856
18  3.7  0.000176759
18  3.9  0.000100164
18  4.1  5.72364e-05
18  4.3  3.29766e-05
18  4.5  1.91428e-05
18  4.7  1.12038e-05
18  4.9  6.5976e-06
18  5.1  3.91599e-06
18  5.3  2.33614e-06
18  5.5  1.40357e-06
18  5.7  8.47355e-07
18  5.9  5.14566e-07
18  6.1  3.14192e-07
18  6.3  1.92701e-07
18  6.5  1.18812e-07
18  6.7  7.35532e-08
18  6.9  4.57573e-08
18  7.1  2.85811e-08
18  7.3  1.79151e-08
18  7.5  1.12829e-08
18  7.7  7.13178e-09
18  7.9  4.51905e-09
18  8.1  2.87609e-09
18  8.3  1.83631e-09
18  8.5  1.17565e-09
18  8.7  7.55253e-10
18  8.9  4.86623e-10
18  9.1  3.14393e-10
18  9.3  2.03622e-10
18  9.5  1.32337e-10
18  9.7  8.61892e-11
18  9.9  5.62498e-11
18  10.1  3.68168e-11
18  10.3  2.41461e-11
18  10.5  1.5873e-11
18  10.7  1.04592e-11
18  10.9  6.90496e-12
18  11.1  4.5686e-12
18  11.3  3.02941e-12
18  11.5  2.01225e-12
18  11.7  1.33871e-12
18  11.9  8.92673e-13
20  0.1  9.04051
20  0.3  6.39409
20  0.5  4.05053
20  0.7  2.31785
20  0.9  1.24651
20  1.1  0.649002
20  1.3  0.33249
20  1.5  0.169434
20  1.7  0.0864614
20  1.9  0.0444053
20  2.1  0.0229635
20  2.3  0.0120014
20  2.5  0.00633718
20  2.7  0.00338376
20  2.9  0.00182429
20  3.1  0.000994071
20  3.3  0.000547196
20  3.5  0.00030429
20  3.7  0.000170727
20  3.9  9.66935e-05
20  4.1  5.52259e-05
20  4.3  3.18027e-05
20  4.5  1.84527e-05
20  4.7  1.07958e-05
20  4.9  6.35468e-06
20  5.1  3.77043e-06
20  5.3  2.24848e-06
20  5.5  1.35048e-06
20  5.7  8.1508e-07
20  5.9  4.94816e-07
20  6.1  3.0206e-07
20  6.3  1.85208e-07
20  6.5  1.1415e-07
20  6.7  7.06606e-08
20  6.9  4.39519e-08
20  7.1  2.7448e-08
20  7.3  1.71994e-08
20  7.5  1.08294e-08
20  7.7  6.84216e-09
20  7.9  4.33605e-09
20  8.1  2.75914e-09
20  8.3  1.76133e-09
20  8.5  1.12749e-09
20  8.7  7.24217e-10
20  8.9  4.66555e-10
20  9.1  3.01382e-10
20  9.3  1.95164e-10
20  9.5  1.2682e-10
20  9.7  8.25868e-11
20  9.9  5.38924e-11
20  10.1  3.52698e-11
20  10.3  2.31296e-11
20  10.5  1.52042e-11
20  10.7  1.00162e-11
20  10.9  6.60909e-12
20  11.1  4.37677e-12
20  11.3  2.89986e-12
20  11.5  1.92622e-12
20  11.7  1.28207e-12
20  11.9  8.54342e-13
22  0.1  8.80909
22  0.3  6.22991
22  0.5  3.94504
22  0.7  2.25575
22  0.9  1.21187
22  1.1  0.630022
22  1.3  0.322411
22  1.5  0.164059
22  1.7  0.0835975
22  1.9  0.0428721
22  2.1  0.0221406
22  2.3  0.0115573
22  2.5  0.00609588
22  2.7  0.00325096
22  2.9  0.0017512
22  3.1  0.000953265
22  3.3  0.000524336
22  3.5  0.000291304
22  3.7  0.000163326
22  3.9  9.24314e-05
22  4.1  5.27579e-05
22  4.3  3.03628e-05
22  4.5  1.76071e-05
22  4.7  1.02945e-05
22  4.9  6.05793e-06
22  5.1  3.59253e-06
22  5.3  2.14152e-06
22  5.5  1.28574e-06
22  5.7  7.75664e-07
22  5.9  4.70734e-07
22  6.1  2.87262e-07
22  6.3  1.76075e-07
22  6.5  1.08523e-07
22  6.7  6.71352e-08
22  6.9  4.17461e-08
22  7.1  2.60641e-08
22  7.3  1.63279e-08
22  7.5  1.02785e-08
22  7.7  6.49399e-09
22  7.9  4.11477e-09
22  8.1  2.61704e-09
22  8.3  1.67027e-09
22  8.5  1.06899e-09
22  8.7  6.86517e-10
22  8.9  4.42317e-10
22  9.1  2.85571e-10
22  9.3  1.84897e-10
22  9.5  1.20132e-10
22  9.7  7.82145e-11
22  9.9  5.10335e-11
22  10.1  3.33912e-11
22  10.3  2.18985e-11
22  10.5  1.43923e-11
22  10.7  9.47909e-12
22  10.9  6.25723e-12
22  11.1  4.14112e-12
22  11.3  2.74371e-12
22  11.5  1.82203e-12
22  11.7  1.21251e-12
22  11.9  8.08326e-13
24  0.1  8.51311
24  0.3  6.02233
24  0.5  3.81035
24  0.7  2.17647
24  0.9  1.16764
24  1.1  0.606005
24  1.3  0.309562
24  1.5  0.157241
24  1.7  0.0799673
24  1.9  0.0409356
24  2.1  0.0211054
24  2.3  0.0109981
24  2.5  0.00579267
24  2.7  0.00308459
24  2.9  0.0016594
24  3.1  0.000902298
24  3.3  0.000495662
24  3.5  0.000275112
24  3.7  0.000154112
24  3.9  8.71381e-05
24  4.1  4.96959e-05
24  4.3  2.85788e-05
24  4.5  1.65607e-05
24  4.7  9.67862e-06
24  4.9  5.69081e-06
24  5.1  3.37275e-06
24  5.3  2.00946e-06
24  5.5  1.20516e-06
24  5.7  7.271e-07
24  5.9  4.41055e-07
24  6.1  2.69048e-07
24  6.3  1.64835e-07
24  6.5  1.01553e-07
24  6.7  6.28023e-08
24  6.9  3.90376e-08
24  7.1  2.43648e-08
24  7.3  1.52581e-08
24  7.5  9.60231e-09
24  7.7  6.06513e-09
24  7.9  3.8418e-09
24  8.1  2.44279e-09
