# fragmentation : BCFY (r=0.1)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -1.5
# ============================================================
# b  pD0  dsigma_dy
0  0.1  1169.34
0  0.3  926.567
0  0.5  736.647
0  0.7  579.1
0  0.9  451.159
0  1.1  349.487
0  1.3  269.787
0  1.5  207.568
0  1.7  159.464
0  1.9  122.391
0  2.1  94.1026
0  2.3  72.5521
0  2.5  56.2151
0  2.7  43.7685
0  2.9  34.3264
0  3.1  27.1026
0  3.3  21.5568
0  3.5  17.277
0  3.7  13.9467
0  3.9  11.3402
0  4.1  9.28093
0  4.3  7.64891
0  4.5  6.34403
0  4.7  5.2932
0  4.9  4.44134
0  5.1  3.74532
0  5.3  3.17674
0  5.5  2.70628
0  5.7  2.3173
0  5.9  1.99214
0  6.1  1.71984
0  6.3  1.49016
0  6.5  1.29639
0  6.7  1.13309
0  6.9  0.992581
0  7.1  0.872406
0  7.3  0.768893
0  7.5  0.67975
0  7.7  0.602382
0  7.9  0.535347
0  8.1  0.477284
0  8.3  0.42623
0  8.5  0.382087
0  8.7  0.342762
0  8.9  0.308544
0  9.1  0.27805
0  9.3  0.251087
0  9.5  0.227127
0  9.7  0.205805
0  9.9  0.186994
0  10.1  0.170171
0  10.3  0.155121
0  10.5  0.14158
0  10.7  0.129442
0  10.9  0.11839
0  11.1  0.108531
0  11.3  0.0995915
0  11.5  0.0915343
0  11.7  0.084219
0  11.9  0.0777562
2  0.1  1167.98
2  0.3  925.805
2  0.5  735.803
2  0.7  578.425
2  0.9  450.613
2  1.1  349.035
2  1.3  269.43
2  1.5  207.28
2  1.7  159.231
2  1.9  122.204
2  2.1  93.9531
2  2.3  72.439
2  2.5  56.1205
2  2.7  43.6932
2  2.9  34.2663
2  3.1  27.0546
2  3.3  21.5181
2  3.5  17.2458
2  3.7  13.9214
2  3.9  11.3197
2  4.1  9.26402
2  4.3  7.63474
2  4.5  6.33217
2  4.7  5.28336
2  4.9  4.43308
2  5.1  3.73876
2  5.3  3.17077
2  5.5  2.70139
2  5.7  2.31281
2  5.9  1.98842
2  6.1  1.71662
2  6.3  1.4874
2  6.5  1.29397
2  6.7  1.13096
2  6.9  0.99073
2  7.1  0.870738
2  7.3  0.766985
2  7.5  0.678469
2  7.7  0.601233
