# fragmentation : BCFY (r=0.1)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 3.5
# ============================================================
# b  pD0  dsigma_dy
0  0.1  68.7622
0  0.3  50.0982
0  0.5  35.3715
0  0.7  23.8898
0  0.9  15.6518
0  1.1  10.0579
0  1.3  6.40164
0  1.5  4.0598
0  1.7  2.56928
0  1.9  1.62829
0  2.1  1.03508
0  2.3  0.660811
0  2.5  0.423985
0  2.7  0.273647
0  2.9  0.177494
0  3.1  0.1159
0  3.3  0.0761522
0  3.5  0.0503469
0  3.7  0.033501
0  3.9  0.0224183
0  4.1  0.0150826
0  4.3  0.0102104
0  4.5  0.00695624
0  4.7  0.00475583
0  4.9  0.00327055
0  5.1  0.00226051
0  5.3  0.00156941
0  5.5  0.0010943
0  5.7  0.000766618
0  5.9  0.000539124
0  6.1  0.000380624
0  6.3  0.000269615
0  6.5  0.000191777
0  6.7  0.000136878
0  6.9  9.80162e-05
0  7.1  7.04014e-05
0  7.3  5.07173e-05
0  7.5  3.66544e-05
0  7.7  2.65447e-05
0  7.9  1.92828e-05
0  8.1  1.40533e-05
0  8.3  1.02652e-05
0  8.5  7.51555e-06
0  8.7  5.51713e-06
0  8.9  4.05821e-06
0  9.1  2.99125e-06
0  9.3  2.20945e-06
0  9.5  1.63501e-06
0  9.7  1.21253e-06
0  9.9  9.01153e-07
0  10.1  6.70968e-07
0  10.3  5.0055e-07
0  10.5  3.73986e-07
0  10.7  2.7978e-07
0  10.9  2.09804e-07
0  11.1  1.5745e-07
0  11.3  1.18433e-07
0  11.5  8.91763e-08
0  11.7  6.72489e-08
0  11.9  5.07792e-08
2  0.1  68.7159
2  0.3  50.0641
2  0.5  35.3472
2  0.7  23.8731
2  0.9  15.6409
2  1.1  10.0505
2  1.3  6.39671
2  1.5  4.05655
2  1.7  2.56711
2  1.9  1.62685
2  2.1  1.03412
2  2.3  0.660177
2  2.5  0.42356
2  2.7  0.273364
2  2.9  0.177306
2  3.1  0.115774
2  3.3  0.0760677
2  3.5  0.0502896
2  3.7  0.0334621
2  3.9  0.0223918
2  4.1  0.0150644
2  4.3  0.0101979
2  4.5  0.00694762
2  4.7  0.00474992
2  4.9  0.00326644
2  5.1  0.00225753
2  5.3  0.00156738
2  5.5  0.00109287
2  5.7  0.000765607
2  5.9  0.000538408
2  6.1  0.000380131
2  6.3  0.000269253
2  6.5  0.000191518
2  6.7  0.000136692
2  6.9  9.78821e-05
2  7.1  7.03045e-05
2  7.3  5.06472e-05
2  7.5  3.66035e-05
2  7.7  2.65075e-05
2  7.9  1.92557e-05
2  8.1  1.40335e-05
2  8.3  1.02507e-05
2  8.5  7.50485e-06
2  8.7  5.50916e-06
2  8.9  4.05236e-06
2  9.1  2.98691e-06
2  9.3  2.20633e-06
2  9.5  1.63262e-06
2  9.7  1.21072e-06
2  9.9  8.99809e-07
2  10.1  6.69967e-07
2  10.3  4.99799e-07
2  10.5  3.73422e-07
2  10.7  2.79356e-07
2  10.9  2.09486e-07
2  11.1  1.57217e-07
2  11.3  1.18248e-07
2  11.5  8.90397e-08
2  11.7  6.71461e-08
2  11.9  5.07005e-08
4  0.1  68.5759
4  0.3  49.9612
4  0.5  35.2738
4  0.7  23.8228
4  0.9  15.6065
4  1.1  10.0277
4  1.3  6.38164
4  1.5  4.04659
4  1.7  2.56064
4  1.9  1.6225
4  2.1  1.03126
4  2.3  0.658268
4  2.5  0.42229
4  2.7  0.27251
4  2.9  0.176739
4  3.1  0.115389
4  3.3  0.0758093
4  3.5  0.0501137
4  3.7  0.0333434
4  3.9  0.022311
4  4.1  0.015014
4  4.3  0.0101598
4  4.5  0.00692141
4  4.7  0.00473167
4  4.9  0.00325371
4  5.1  0.00224874
4  5.3  0.00156135
4  5.5  0.00108849
4  5.7  0.000762537
4  5.9  0.000536429
4  6.1  0.000378607
4  6.3  0.000268121
4  6.5  0.000190732
4  6.7  0.000136133
4  6.9  9.749e-05
4  7.1  7.00117e-05
4  7.3  5.04413e-05
4  7.5  3.64447e-05
4  7.7  2.64031e-05
4  7.9  1.9177e-05
4  8.1  1.39708e-05
4  8.3  1.02054e-05
4  8.5  7.47361e-06
4  8.7  5.48308e-06
4  8.9  4.03486e-06
4  9.1  2.97306e-06
4  9.3  2.19574e-06
4  9.5  1.62579e-06
4  9.7  1.20543e-06
4  9.9  8.95815e-07
4  10.1  6.66968e-07
4  10.3  4.9738e-07
4  10.5  3.71717e-07
4  10.7  2.78213e-07
4  10.9  2.08554e-07
4  11.1  1.56576e-07
4  11.3  1.1771e-07
4  11.5  8.8626e-08
4  11.7  6.68308e-08
4  11.9  5.04659e-08
6  0.1  68.3395
6  0.3  49.7871
6  0.5  35.1499
6  0.7  23.7377
6  0.9  15.5493
6  1.1  9.98962
6  1.3  6.3565
6  1.5  4.03013
6  1.7  2.54951
6  1.9  1.61518
6  2.1  1.02639
6  2.3  0.655034
6  2.5  0.420138
6  2.7  0.271077
6  2.9  0.175781
6  3.1  0.11475
6  3.3  0.075378
6  3.5  0.0498244
6  3.7  0.0331463
6  3.9  0.0221768
6  4.1  0.0149173
6  4.3  0.0100969
6  4.5  0.00687806
6  4.7  0.00470169
6  4.9  0.00323287
6  5.1  0.00223377
6  5.3  0.00155104
6  5.5  0.0010814
6  5.7  0.000757509
6  5.9  0.000532664
6  6.1  0.000376064
6  6.3  0.000266347
6  6.5  0.00018944
6  6.7  0.000135196
6  6.9  9.68056e-05
6  7.1  6.95242e-05
6  7.3  5.00815e-05
6  7.5  3.61911e-05
6  7.7  2.62083e-05
6  7.9  1.90368e-05
6  8.1  1.38733e-05
6  8.3  1.01331e-05
6  8.5  7.4186e-06
6  8.7  5.44405e-06
6  8.9  4.00537e-06
6  9.1  2.95227e-06
6  9.3  2.1802e-06
6  9.5  1.61356e-06
6  9.7  1.19669e-06
6  9.9  8.89192e-07
6  10.1  6.62083e-07
6  10.3  4.93887e-07
6  10.5  3.69008e-07
6  10.7  2.76041e-07
6  10.9  2.0699e-07
6  11.1  1.55407e-07
6  11.3  1.16841e-07
6  11.5  8.79731e-08
6  11.7  6.6338e-08
6  11.9  5.00927e-08
8  0.1  67.999
8  0.3  49.5366
8  0.5  34.9719
8  0.7  23.6155
8  0.9  15.4671
8  1.1  9.93494
8  1.3  6.32037
8  1.5  4.00644
8  1.7  2.53366
8  1.9  1.60469
8  2.1  1.01944
8  2.3  0.650406
8  2.5  0.417062
8  2.7  0.269025
8  2.9  0.174412
8  3.1  0.113831
8  3.3  0.0747599
8  3.5  0.0494076
8  3.7  0.0328635
8  3.9  0.0219842
8  4.1  0.0147856
8  4.3  0.0100065
8  4.5  0.00681562
8  4.7  0.00465854
8  4.9  0.00320284
8  5.1  0.00221279
8  5.3  0.00153633
8  5.5  0.00107107
8  5.7  0.000750217
8  5.9  0.000527443
8  6.1  0.000372354
8  6.3  0.00026371
8  6.5  0.00018755
8  6.7  0.000133852
8  6.9  9.58354e-05
8  7.1  6.88245e-05
8  7.3  4.95752e-05
8  7.5  3.5823e-05
8  7.7  2.59519e-05
8  7.9  1.88414e-05
8  8.1  1.37305e-05
8  8.3  1.00285e-05
8  8.5  7.34147e-06
8  8.7  5.38882e-06
8  8.9  3.96339e-06
8  9.1  2.92033e-06
8  9.3  2.15764e-06
8  9.5  1.59661e-06
8  9.7  1.18391e-06
8  9.9  8.79837e-07
8  10.1  6.55064e-07
8  10.3  4.88648e-07
8  10.5  3.65073e-07
8  10.7  2.73092e-07
8  10.9  2.04781e-07
8  11.1  1.53679e-07
8  11.3  1.15587e-07
8  11.5  8.70286e-08
8  11.7  6.56266e-08
8  11.9  4.95463e-08
10  0.1  67.5483
10  0.3  49.2037
