# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -0.5
# ============================================================
# b  pD0  dsigma_dy
0  0.1  1264.77
0  0.3  833.796
0  0.5  577.412
0  0.7  407.058
0  0.9  290.29
0  1.1  209.157
0  1.3  151.912
0  1.5  111.192
0  1.7  82.0138
0  1.9  60.9871
0  2.1  45.7415
0  2.3  34.6035
0  2.5  26.4309
0  2.7  20.3744
0  2.9  15.8458
0  3.1  12.4324
0  3.3  9.84108
0  3.5  7.85647
0  3.7  6.32136
0  3.9  5.12337
0  4.1  4.1813
0  4.3  3.43748
0  4.5  2.84446
0  4.7  2.36651
0  4.9  1.98122
0  5.1  1.66677
0  5.3  1.40982
0  5.5  1.19822
0  5.7  1.02284
0  5.9  0.876943
0  6.1  0.754595
0  6.3  0.651564
0  6.5  0.565348
0  6.7  0.492101
0  6.9  0.429767
0  7.1  0.376431
0  7.3  0.330751
0  7.5  0.291306
0  7.7  0.257338
0  7.9  0.227906
0  8.1  0.20241
0  8.3  0.180184
0  8.5  0.160755
0  8.7  0.143792
0  8.9  0.128837
0  9.1  0.115622
0  9.3  0.104043
0  9.5  0.09368
0  9.7  0.0845827
0  9.9  0.0765685
0  10.1  0.0693496
0  10.3  0.0629488
0  10.5  0.0572118
0  10.7  0.0520865
0  10.9  0.0474796
0  11.1  0.0433345
0  11.3  0.0396067
0  11.5  0.0362441
0  11.7  0.0332176
0  11.9  0.030484
2  0.1  1263.46
2  0.3  832.921
2  0.5  576.794
2  0.7  406.609
2  0.9  289.957
2  1.1  208.905
2  1.3  151.721
2  1.5  111.046
2  1.7  81.9001
2  1.9  60.8997
2  2.1  45.6737
2  2.3  34.551
2  2.5  26.3901
2  2.7  20.3424
2  2.9  15.8203
2  3.1  12.4123
2  3.3  9.82494
2  3.5  7.8435
2  3.7  6.31076
2  3.9  5.11484
2  4.1  4.17426
2  4.3  3.43163
2  4.5  2.83955
2  4.7  2.36242
2  4.9  1.9778
2  5.1  1.66388
2  5.3  1.40741
2  5.5  1.19617
2  5.7  1.02108
2  5.9  0.875425
2  6.1  0.753269
2  6.3  0.650421
2  6.5  0.564341
2  6.7  0.491235
2  6.9  0.429011
2  7.1  0.375767
2  7.3  0.330172
2  7.5  0.290786
2  7.7  0.25689
2  7.9  0.227495
2  8.1  0.202049
2  8.3  0.179867
2  8.5  0.160471
2  8.7  0.14352
2  8.9  0.128605
2  9.1  0.115409
2  9.3  0.103854
2  9.5  0.0935087
2  9.7  0.0844373
2  9.9  0.0764292
2  10.1  0.0692227
2  10.3  0.0628336
2  10.5  0.0571094
2  10.7  0.0519873
2  10.9  0.0473886
2  11.1  0.0432549
2  11.3  0.0395366
2  11.5  0.0361831
2  11.7  0.0331597
2  11.9  0.0304256
4  0.1  1259.56
4  0.3  830.292
4  0.5  574.934
4  0.7  405.259
4  0.9  288.952
4  1.1  208.147
4  1.3  151.146
4  1.5  110.603
4  1.7  81.5583
4  1.9  60.6362
4  2.1  45.4702
4  2.3  34.3929
4  2.5  26.2666
4  2.7  20.2453
4  2.9  15.7438
4  3.1  12.3511
4  3.3  9.77612
4  3.5  7.80421
4  3.7  6.27898
4  3.9  5.08861
4  4.1  4.15298
4  4.3  3.41469
4  4.5  2.82505
4  4.7  2.3502
4  4.9  1.9675
4  5.1  1.65521
4  5.3  1.39996
4  5.5  1.18983
4  5.7  1.01573
4  5.9  0.870713
4  6.1  0.749375
4  6.3  0.647262
4  6.5  0.561412
4  6.7  0.488601
4  6.9  0.426695
4  7.1  0.373669
4  7.3  0.328316
4  7.5  0.289211
4  7.7  0.255568
4  7.9  0.226304
4  8.1  0.20096
4  8.3  0.178857
4  8.5  0.159653
4  8.7  0.142725
4  8.9  0.127929
4  9.1  0.114819
4  9.3  0.10328
4  9.5  0.0930186
4  9.7  0.0839728
4  9.9  0.0759743
4  10.1  0.0688425
4  10.3  0.0624955
4  10.5  0.0568031
4  10.7  0.051687
4  10.9  0.0471192
4  11.1  0.0430458
4  11.3  0.0393291
4  11.5  0.0359867
4  11.7  0.0329665
4  11.9  0.0302646
6  0.1  1252.98
6  0.3  825.845
6  0.5  571.79
6  0.7  402.977
6  0.9  287.256
6  1.1  206.865
6  1.3  150.168
6  1.5  109.855
6  1.7  80.9987
6  1.9  60.1928
6  2.1  45.1272
6  2.3  34.1266
6  2.5  26.0585
6  2.7  20.0822
6  2.9  15.6153
6  3.1  12.2491
6  3.3  9.69428
6  3.5  7.7382
6  3.7  6.22541
6  3.9  5.04514
6  4.1  4.11706
6  4.3  3.38439
6  4.5  2.80028
6  4.7  2.32961
6  4.9  1.95023
6  5.1  1.64061
6  5.3  1.38764
6  5.5  1.17929
6  5.7  1.00663
6  5.9  0.862947
6  6.1  0.742653
6  6.3  0.641514
6  6.5  0.556297
6  6.7  0.484182
6  6.9  0.42282
6  7.1  0.370377
6  7.3  0.325392
6  7.5  0.286613
6  7.7  0.253156
6  7.9  0.224212
6  8.1  0.199139
6  8.3  0.177264
6  8.5  0.158155
6  8.7  0.141461
6  8.9  0.126737
6  9.1  0.113773
6  9.3  0.102319
6  9.5  0.0921956
6  9.7  0.0832021
6  9.9  0.075263
6  10.1  0.068209
6  10.3  0.0619107
6  10.5  0.05627
6  10.7  0.0512183
6  10.9  0.0466996
6  11.1  0.0426153
6  11.3  0.0389467
6  11.5  0.0356445
6  11.7  0.0326713
6  11.9  0.0299785
8  0.1  1243.56
8  0.3  819.493
8  0.5  567.303
8  0.7  399.719
8  0.9  284.835
8  1.1  205.058
8  1.3  148.778
8  1.5  108.791
8  1.7  80.1637
8  1.9  59.5611
8  2.1  44.6404
8  2.3  33.7477
8  2.5  25.7627
8  2.7  19.8495
8  2.9  15.432
8  3.1  12.1035
8  3.3  9.57793
8  3.5  7.64452
8  3.7  6.14935
8  3.9  4.98306
8  4.1  4.06614
8  4.3  3.34228
8  4.5  2.76531
8  4.7  2.30018
8  4.9  1.92565
8  5.1  1.61982
8  5.3  1.36996
8  5.5  1.16426
8  5.7  0.993794
8  5.9  0.851716
8  6.1  0.733154
8  6.3  0.633248
8  6.5  0.549113
8  6.7  0.477952
8  6.9  0.417354
8  7.1  0.365468
8  7.3  0.321105
8  7.5  0.282887
8  7.7  0.249882
8  7.9  0.221322
8  8.1  0.196509
8  8.3  0.174912
8  8.5  0.156068
8  8.7  0.139516
8  8.9  0.125066
8  9.1  0.112276
8  9.3  0.100958
8  9.5  0.0909479
8  9.7  0.0821003
8  9.9  0.0742606
8  10.1  0.0673093
8  10.3  0.0610934
8  10.5  0.055516
8  10.7  0.0505537
8  10.9  0.0460665
8  11.1  0.0420512
8  11.3  0.0384347
8  11.5  0.035169
8  11.7  0.0322286
8  11.9  0.0295697
10  0.1  1230.72
10  0.3  810.974
10  0.5  561.36
