# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 1.0
# ============================================================
# b  pD0  dsigma_dy
0  0.1  1038.26
0  0.3  668.817
0  0.5  452.503
0  0.7  310.978
0  0.9  216.523
0  1.1  152.484
0  1.3  108.37
0  1.5  77.7794
0  1.7  56.3256
0  1.9  41.153
0  2.1  30.3377
0  2.3  22.5622
0  2.5  16.9422
0  2.7  12.8331
0  2.9  9.80737
0  3.1  7.56126
0  3.3  5.87886
0  3.5  4.60672
0  3.7  3.6368
0  3.9  2.89456
0  4.1  2.31794
0  4.3  1.86986
0  4.5  1.51728
0  4.7  1.23838
0  4.9  1.01669
0  5.1  0.83916
0  5.3  0.696024
0  5.5  0.580022
0  5.7  0.485629
0  5.9  0.408401
0  6.1  0.344875
0  6.3  0.292378
0  6.5  0.2488
0  6.7  0.212427
0  6.9  0.181999
0  7.1  0.156394
0  7.3  0.134854
0  7.5  0.116639
0  7.7  0.101172
0  7.9  0.0879924
0  8.1  0.0767151
0  8.3  0.0670545
0  8.5  0.0587487
0  8.7  0.0515883
0  8.9  0.0454169
0  9.1  0.0400672
0  9.3  0.0354154
0  9.5  0.0313636
0  9.7  0.0278321
0  9.9  0.0247378
0  10.1  0.0220264
0  10.3  0.0196448
0  10.5  0.0175436
0  10.7  0.0156964
0  10.9  0.0140697
0  11.1  0.01263
0  11.3  0.0113547
0  11.5  0.0102228
0  11.7  0.00921465
0  11.9  0.0083179
2  0.1  1037.33
2  0.3  668.213
2  0.5  452.087
2  0.7  310.685
2  0.9  216.311
2  1.1  152.328
2  1.3  108.254
2  1.5  77.6922
2  1.7  56.2595
2  1.9  41.103
2  2.1  30.2994
2  2.3  22.533
2  2.5  16.9196
2  2.7  12.8155
2  2.9  9.79368
2  3.1  7.55048
2  3.3  5.87037
2  3.5  4.59997
2  3.7  3.63143
2  3.9  2.89025
2  4.1  2.31445
2  4.3  1.867
2  4.5  1.51494
2  4.7  1.23646
2  4.9  1.01511
2  5.1  0.837859
2  5.3  0.694939
2  5.5  0.579104
2  5.7  0.48486
2  5.9  0.407746
2  6.1  0.344312
2  6.3  0.291906
2  6.5  0.248388
2  6.7  0.212076
2  6.9  0.181697
2  7.1  0.156133
2  7.3  0.13463
2  7.5  0.116446
2  7.7  0.101005
2  7.9  0.087846
2  8.1  0.0765878
2  8.3  0.0669434
2  8.5  0.0586523
2  8.7  0.051504
2  8.9  0.0453426
2  9.1  0.0400022
2  9.3  0.0353578
2  9.5  0.0313125
2  9.7  0.0277865
2  9.9  0.0246965
2  10.1  0.021989
2  10.3  0.0196121
2  10.5  0.0175147
2  10.7  0.0156709
2  10.9  0.0140469
2  11.1  0.0126086
2  11.3  0.011336
2  11.5  0.0102051
2  11.7  0.00919887
2  11.9  0.00830388
4  0.1  1034.77
4  0.3  666.353
4  0.5  450.827
4  0.7  309.792
4  0.9  215.669
4  1.1  151.877
4  1.3  107.914
4  1.5  77.4617
4  1.7  56.0941
4  1.9  40.9794
4  2.1  30.2123
4  2.3  22.4733
4  2.5  16.8775
4  2.7  12.7996
4  2.9  9.78191
4  3.1  7.54986
4  3.3  5.87217
4  3.5  4.60775
4  3.7  3.64514
4  3.9  2.9041
4  4.1  2.33202
4  4.3  1.88379
4  4.5  1.53204
4  4.7  1.25098
4  4.9  1.02263
4  5.1  0.840434
4  5.3  0.693828
4  5.5  0.576806
4  5.7  0.48254
4  5.9  0.405779
4  6.1  0.342656
4  6.3  0.290494
4  6.5  0.247183
4  6.7  0.211048
4  6.9  0.180813
4  7.1  0.155371
4  7.3  0.133972
4  7.5  0.115876
4  7.7  0.100506
4  7.9  0.0874138
4  8.1  0.0762106
4  8.3  0.0666126
4  8.5  0.0583619
4  8.7  0.0512484
4  8.9  0.0451158
4  9.1  0.0398018
4  9.3  0.0351832
4  9.5  0.0311552
4  9.7  0.0276448
4  9.9  0.0245716
4  10.1  0.0218779
4  10.3  0.0195121
4  10.5  0.0174262
4  10.7  0.015591
4  10.9  0.0139743
4  11.1  0.012544
4  11.3  0.0112778
4  11.5  0.0101528
4  11.7  0.00915161
4  11.9  0.00826117
6  0.1  1029.84
6  0.3  663.318
6  0.5  448.444
6  0.7  308.307
6  0.9  214.592
6  1.1  151.065
6  1.3  107.315
6  1.5  76.9864
6  1.7  55.7251
6  1.9  40.6962
6  2.1  29.9901
6  2.3  22.2967
6  2.5  16.7365
6  2.7  12.673
6  2.9  9.68279
6  3.1  7.4636
6  3.3  5.80196
6  3.5  4.54548
6  3.7  3.58813
6  3.9  2.85508
6  4.1  2.28623
6  4.3  1.84303
6  4.5  1.49609
6  4.7  1.22097
6  4.9  1.0023
6  5.1  0.827214
6  5.3  0.68608
6  5.5  0.571712
6  5.7  0.478647
6  5.9  0.402478
6  6.1  0.339862
6  6.3  0.288108
6  6.5  0.245149
6  6.7  0.209307
6  6.9  0.179318
6  7.1  0.154083
6  7.3  0.13286
6  7.5  0.11491
6  7.7  0.0996668
6  7.9  0.0866798
6  8.1  0.0755672
6  8.3  0.0660492
6  8.5  0.0578663
6  8.7  0.0508135
6  8.9  0.0447327
6  9.1  0.0394631
6  9.3  0.0348817
6  9.5  0.0308875
6  9.7  0.0274076
6  9.9  0.0243592
6  10.1  0.0216893
6  10.3  0.0193444
6  10.5  0.0172754
6  10.7  0.0154553
6  10.9  0.0138521
6  11.1  0.0124338
6  11.3  0.0111791
6  11.5  0.010064
6  11.7  0.00907077
6  11.9  0.00818849
8  0.1  1023.14
8  0.3  658.932
8  0.5  445.419
8  0.7  306.171
8  0.9  213.048
8  1.1  149.932
8  1.3  106.471
8  1.5  76.351
8  1.7  55.2455
8  1.9  40.3333
8  2.1  29.7124
8  2.3  22.083
8  2.5  16.5728
8  2.7  12.5466
8  2.9  9.58407
8  3.1  7.38616
8  3.3  5.74063
8  3.5  4.49691
8  3.7  3.54915
8  3.9  2.82412
8  4.1  2.26096
8  4.3  1.82353
8  4.5  1.4794
8  4.7  1.20727
8  4.9  0.990985
8  5.1  0.817818
8  5.3  0.678231
8  5.5  0.565111
8  5.7  0.473101
8  5.9  0.397811
8  6.1  0.335903
8  6.3  0.284742
8  6.5  0.242279
8  6.7  0.206848
8  6.9  0.177204
8  7.1  0.152257
8  7.3  0.131283
8  7.5  0.113541
8  7.7  0.0984758
8  7.9  0.0856417
8  8.1  0.0746607
8  8.3  0.0652542
8  8.5  0.0571696
8  8.7  0.0502011
8  8.9  0.0441914
8  9.1  0.0389836
8  9.3  0.0344599
8  9.5  0.030513
8  9.7  0.0270756
8  9.9  0.0240638
8  10.1  0.0214256
8  10.3  0.0191084
8  10.5  0.0170641
8  10.7  0.0152665
8  10.9  0.013683
8  11.1  0.0122818
8  11.3  0.0110416
8  11.5  0.00993972
8  11.7  0.0089583
8  11.9  0.00808679
10  0.1  1014.26
10  0.3  653.06
10  0.5  441.67
10  0.7  303.537
10  0.9  211.014
