# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -1.5
# ============================================================
# b  pD0  dsigma_dy
0  0.1  1205.82
0  0.3  797.727
0  0.5  553.978
0  0.7  391.228
0  0.9  279.215
0  1.1  200.666
0  1.3  145.071
0  1.5  105.531
0  1.7  77.2716
0  1.9  56.9773
0  2.1  42.3633
0  2.3  31.7785
0  2.5  24.0725
0  2.7  18.398
0  2.9  14.2185
0  3.1  11.0868
0  3.3  8.72742
0  3.5  6.93473
0  3.7  5.55724
0  3.9  4.48979
0  4.1  3.65515
0  4.3  2.99863
0  4.5  2.47699
0  4.7  2.05775
0  4.9  1.72207
0  5.1  1.44704
0  5.3  1.22481
0  5.5  1.04074
0  5.7  0.889331
0  5.9  0.76319
0  6.1  0.65742
0  6.3  0.56853
0  6.5  0.493589
0  6.7  0.430707
0  6.9  0.376835
0  7.1  0.330794
0  7.3  0.291203
0  7.5  0.256942
0  7.7  0.227501
0  7.9  0.201968
0  8.1  0.180023
0  8.3  0.160658
0  8.5  0.143779
0  8.7  0.128938
0  8.9  0.115885
0  9.1  0.104407
0  9.3  0.094207
0  9.5  0.0851515
0  9.7  0.0770026
0  9.9  0.0700199
0  10.1  0.0636841
0  10.3  0.0579896
0  10.5  0.0529162
0  10.7  0.048284
0  10.9  0.0441892
0  11.1  0.0404829
0  11.3  0.0371404
0  11.5  0.0341565
0  11.7  0.0313736
0  11.9  0.0289542
2  0.1  1204.42
2  0.3  796.796
2  0.5  553.329
2  0.7  390.759
2  0.9  278.865
2  1.1  200.396
2  1.3  144.866
2  1.5  105.304
2  1.7  77.1523
2  1.9  56.8862
2  2.1  42.2935
2  2.3  31.7249
2  2.5  24.0311
2  2.7  18.3661
2  2.9  14.1933
2  3.1  11.0671
2  3.3  8.71166
2  3.5  6.92218
2  3.7  5.54714
2  3.9  4.4816
2  4.1  3.64847
2  4.3  2.99312
2  4.5  2.47257
2  4.7  2.05564
2  4.9  1.71886
2  5.1  1.44434
2  5.3  1.22173
2  5.5  1.03903
2  5.7  0.887678
2  5.9  0.761636
2  6.1  0.656125
2  6.3  0.567447
2  6.5  0.492663
2  6.7  0.429896
2  6.9  0.375885
2  7.1  0.330162
2  7.3  0.290679
2  7.5  0.256504
2  7.7  0.22727
2  7.9  0.201582
2  8.1  0.179717
2  8.3  0.160279
2  8.5  0.143503
2  8.7  0.128695
2  8.9  0.115667
2  9.1  0.104199
2  9.3  0.0940223
2  9.5  0.0849889
2  9.7  0.0768561
2  9.9  0.0698959
2  10.1  0.0635127
2  10.3  0.057898
2  10.5  0.0527712
2  10.7  0.0482016
2  10.9  0.0441064
2  11.1  0.0404121
2  11.3  0.0370716
2  11.5  0.0340877
2  11.7  0.0313145
2  11.9  0.0288906
4  0.1  1200.37
4  0.3  793.969
4  0.5  551.354
4  0.7  389.307
4  0.9  277.767
4  1.1  199.591
4  1.3  144.224
4  1.5  104.894
4  1.7  76.7954
4  1.9  56.6127
4  2.1  42.083
4  2.3  31.5632
4  2.5  23.8964
4  2.7  18.2794
4  2.9  14.1179
4  3.1  11.01
4  3.3  8.6631
4  3.5  6.88512
4  3.7  5.51765
4  3.9  4.45748
4  4.1  3.62807
4  4.3  2.97766
4  4.5  2.4581
4  4.7  2.04379
4  4.9  1.70952
4  5.1  1.4362
4  5.3  1.21484
4  5.5  1.03274
4  5.7  0.882697
4  5.9  0.757343
4  6.1  0.652434
4  6.3  0.564237
4  6.5  0.489875
4  6.7  0.427462
4  6.9  0.373865
4  7.1  0.328309
4  7.3  0.289099
4  7.5  0.255198
4  7.7  0.225994
4  7.9  0.200441
4  8.1  0.178499
4  8.3  0.159433
4  8.5  0.142687
4  8.7  0.127957
4  8.9  0.115005
4  9.1  0.103613
4  9.3  0.0934891
4  9.5  0.0844379
4  9.7  0.0764129
4  9.9  0.0693883
4  10.1  0.0631954
4  10.3  0.0575587
4  10.5  0.0525161
4  10.7  0.0479445
4  10.9  0.0438538
4  11.1  0.0401761
4  11.3  0.036902
4  11.5  0.0338959
4  11.7  0.0311262
4  11.9  0.028728
6  0.1  1193.68
6  0.3  789.165
6  0.5  548.037
6  0.7  386.947
6  0.9  275.961
6  1.1  198.125
6  1.3  143.192
6  1.5  104.121
6  1.7  76.1859
6  1.9  56.1469
6  2.1  41.7269
6  2.3  31.2905
6  2.5  23.6948
6  2.7  18.1079
6  2.9  13.9899
6  3.1  10.9071
6  3.3  8.5847
6  3.5  6.82063
6  3.7  5.46547
6  3.9  4.41535
6  4.1  3.59438
6  4.3  2.94859
6  4.5  2.43545
6  4.7  2.02495
6  4.9  1.6933
6  5.1  1.42273
6  5.3  1.20371
6  5.5  1.02361
6  5.7  0.874226
6  5.9  0.750144
6  6.1  0.646255
6  6.3  0.558942
6  6.5  0.485187
6  6.7  0.423337
6  6.9  0.370381
6  7.1  0.325027
6  7.3  0.286278
6  7.5  0.252736
6  7.7  0.223845
6  7.9  0.198459
6  8.1  0.176929
6  8.3  0.157813
6  8.5  0.141315
6  8.7  0.12672
6  8.9  0.113898
6  9.1  0.102588
6  9.3  0.0925818
6  9.5  0.0836868
6  9.7  0.0756801
6  9.9  0.0688102
6  10.1  0.0625756
6  10.3  0.0569178
6  10.5  0.0519289
6  10.7  0.0474483
6  10.9  0.0434008
6  11.1  0.0397899
6  11.3  0.0365352
6  11.5  0.0335426
6  11.7  0.0308699
6  11.9  0.0284455
8  0.1  1183.69
8  0.3  782.388
8  0.5  543.285
8  0.7  383.483
8  0.9  273.388
8  1.1  196.161
8  1.3  141.698
8  1.5  102.913
8  1.7  75.3166
8  1.9  55.4925
8  2.1  41.2221
8  2.3  30.9034
8  2.5  23.3975
8  2.7  17.8764
8  2.9  13.8047
8  3.1  10.7643
8  3.3  8.47186
8  3.5  6.73008
8  3.7  5.393
8  3.9  4.35681
8  4.1  3.5467
8  4.3  2.90934
8  4.5  2.40276
8  4.7  1.9973
8  4.9  1.67017
8  5.1  1.40333
8  5.3  1.1877
8  5.5  1.00949
8  5.7  0.862611
8  5.9  0.739851
8  6.1  0.637463
8  6.3  0.551325
8  6.5  0.47877
8  6.7  0.417528
8  6.9  0.365159
8  7.1  0.320624
8  7.3  0.282255
8  7.5  0.249368
8  7.7  0.220764
8  7.9  0.195999
8  8.1  0.174473
8  8.3  0.155846
8  8.5  0.139427
8  8.7  0.125058
8  8.9  0.112379
8  9.1  0.101203
8  9.3  0.0913016
8  9.5  0.0825079
8  9.7  0.0746616
8  9.9  0.0677658
8  10.1  0.061664
8  10.3  0.0561633
8  10.5  0.0511989
8  10.7  0.0467822
8  10.9  0.0428138
8  11.1  0.0392293
8  11.3  0.0360109
8  11.5  0.0330956
8  11.7  0.030395
8  11.9  0.0280495
10  0.1  1170.54
10  0.3  773.561
10  0.5  537.041
10  0.7  378.904
10  0.9  269.963
10  1.1  193.574
10  1.3  139.75
10  1.5  101.503
10  1.7  74.1905
10  1.9  54.6211
10  2.1  40.5592
10  2.3  30.3947
10  2.5  23.0054
10  2.7  17.582
10  2.9  13.5715
10  3.1  10.5779
10  3.3  8.32376
10  3.5  6.61201
10  3.7  5.29785
10  3.9  4.27914
10  4.1  3.48289
10  4.3  2.85703
10  4.5  2.35957
10  4.7  1.9619
10  4.9  1.63892
10  5.1  1.37927
10  5.3  1.16593
10  5.5  0.991405
10  5.7  0.846331
10  5.9  0.726562
10  6.1  0.625791
10  6.3  0.541321
10  6.5  0.470156
10  6.7  0.409855
10  6.9  0.358384
10  7.1  0.314752
10  7.3  0.277137
10  7.5  0.244577
10  7.7  0.216535
10  7.9  0.192352
10  8.1  0.171293
10  8.3  0.152856
10  8.5  0.136702
10  8.7  0.122681
10  8.9  0.110236
10  9.1  0.099204
10  9.3  0.0896171
10  9.5  0.0808823
10  9.7  0.0732593
10  9.9  0.0666024
10  10.1  0.0605633
10  10.3  0.0551194
10  10.5  0.0502498
10  10.7  0.0459081
10  10.9  0.0420417
10  11.1  0.0385117
10  11.3  0.0353583
10  11.5  0.0324606
10  11.7  0.0298744
10  11.9  0.0275273
12  0.1  1153.59
12  0.3  762.4
12  0.5  529.073
12  0.7  373.076
12  0.9  265.611
12  1.1  190.316
12  1.3  137.297
12  1.5  99.6166
12  1.7  72.7608
12  1.9  53.5366
12  2.1  39.7252
12  2.3  29.7557
12  2.5  22.5137
12  2.7  17.1914
12  2.9  13.2694
12  3.1  10.3416
12  3.3  8.13842
12  3.5  6.46385
12  3.7  5.17808
12  3.9  4.18213
12  4.1  3.40402
12  4.3  2.79211
12  4.5  2.30623
12  4.7  1.91698
12  4.9  1.60141
12  5.1  1.34759
12  5.3  1.13964
12  5.5  0.967971
12  5.7  0.827238
12  5.9  0.70962
12  6.1  0.611199
12  6.3  0.528684
12  6.5  0.459187
12  6.7  0.40041
12  6.9  0.35031
12  7.1  0.307447
12  7.3  0.270697
12  7.5  0.238885
12  7.7  0.211638
12  7.9  0.187859
12  8.1  0.167292
12  8.3  0.149279
12  8.5  0.133595
12  8.7  0.119708
12  8.9  0.107655
12  9.1  0.0969847
12  9.3  0.0875115
12  9.5  0.079086
12  9.7  0.0715138
12  9.9  0.0649436
12  10.1  0.0590918
12  10.3  0.0537914
12  10.5  0.0490811
12  10.7  0.0448287
12  10.9  0.0410791
12  11.1  0.0375938
12  11.3  0.0345179
12  11.5  0.031721
12  11.7  0.0291723
12  11.9  0.0269138
14  0.1  1133.12
14  0.3  748.352
14  0.5  519.162
14  0.7  365.904
14  0.9  260.301
14  1.1  186.376
14  1.3  134.264
14  1.5  97.315
14  1.7  71.0052
14  1.9  52.1993
14  2.1  38.7016
14  2.3  28.9755
14  2.5  21.8973
14  2.7  16.7234
14  2.9  12.9059
14  3.1  10.0583
14  3.3  7.91115
14  3.5  6.28337
14  3.7  5.03401
14  3.9  4.06428
14  4.1  3.30803
14  4.3  2.71272
14  4.5  2.24059
14  4.7  1.86066
14  4.9  1.55712
14  5.1  1.30889
14  5.3  1.10691
14  5.5  0.94041
14  5.7  0.803188
14  5.9  0.689261
14  6.1  0.593602
14  6.3  0.513194
14  6.5  0.445584
14  6.7  0.388872
14  6.9  0.340112
14  7.1  0.298445
14  7.3  0.262589
14  7.5  0.231992
14  7.7  0.205411
14  7.9  0.182246
14  8.1  0.162378
14  8.3  0.144938
14  8.5  0.129715
14  8.7  0.116338
14  8.9  0.104437
14  9.1  0.0940622
14  9.3  0.0849423
