# fragmentation : Kniehl & Kramer (N=0.694, eps=0.101)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 3.0
# ============================================================
# b  pD0  dsigma_dy
0  0.1  179.07
0  0.3  105.737
0  0.5  64.9943
0  0.7  40.0355
0  0.9  24.7827
0  1.1  15.4338
0  1.3  9.69796
0  1.5  6.15136
0  1.7  3.94022
0  1.9  2.54888
0  2.1  1.66578
0  2.3  1.09946
0  2.5  0.732928
0  2.7  0.49323
0  2.9  0.335104
0  3.1  0.229661
0  3.3  0.158821
0  3.5  0.110749
0  3.7  0.0778289
0  3.9  0.0551194
0  4.1  0.0393104
0  4.3  0.0282256
0  4.5  0.0204011
0  4.7  0.0148358
0  4.9  0.0108523
0  5.1  0.00798151
0  5.3  0.00589884
0  5.5  0.00438355
0  5.7  0.00327399
0  5.9  0.00245481
0  6.1  0.00184933
0  6.3  0.00139884
0  6.5  0.00106308
0  6.7  0.000810224
0  6.9  0.000619798
0  7.1  0.000475552
0  7.3  0.000366332
0  7.5  0.000283077
0  7.7  0.000219286
0  7.9  0.000170417
0  8.1  0.000132798
0  8.3  0.000103846
0  8.5  8.12897e-05
0  8.7  6.38525e-05
0  8.9  5.02722e-05
0  9.1  3.96921e-05
0  9.3  3.13786e-05
0  9.5  2.48694e-05
0  9.7  1.97469e-05
0  9.9  1.5721e-05
0  10.1  1.25341e-05
0  10.3  1.00127e-05
0  10.5  8.00771e-06
0  10.7  6.41817e-06
0  10.9  5.15342e-06
0  11.1  4.14449e-06
0  11.3  3.33895e-06
0  11.5  2.69488e-06
0  11.7  2.17655e-06
0  11.9  1.76123e-06
2  0.1  178.941
2  0.3  105.66
2  0.5  64.9461
2  0.7  40.0051
2  0.9  24.7632
2  1.1  15.4212
2  1.3  9.68968
2  1.5  6.14585
2  1.7  3.93654
2  1.9  2.54639
2  2.1  1.66409
2  2.3  1.0983
2  2.5  0.732134
2  2.7  0.492681
2  2.9  0.334721
2  3.1  0.22939
2  3.3  0.15863
2  3.5  0.110613
2  3.7  0.0777324
2  3.9  0.0550499
2  4.1  0.0392602
2  4.3  0.028189
2  4.5  0.0203744
2  4.7  0.0148162
2  4.9  0.0108378
2  5.1  0.00797074
2  5.3  0.0058908
2  5.5  0.00437754
2  5.7  0.00326948
2  5.9  0.00245138
2  6.1  0.00184672
2  6.3  0.00139685
2  6.5  0.00106157
2  6.7  0.000809061
2  6.9  0.000618898
2  7.1  0.000474859
2  7.3  0.000365797
2  7.5  0.000282664
2  7.7  0.000218965
2  7.9  0.000170166
2  8.1  0.0001326
2  8.3  0.000103682
2  8.5  8.11684e-05
2  8.7  6.37567e-05
2  8.9  5.01964e-05
2  9.1  3.96321e-05
2  9.3  3.1331e-05
2  9.5  2.48315e-05
2  9.7  1.97168e-05
2  9.9  1.56969e-05
2  10.1  1.25149e-05
2  10.3  9.99731e-06
2  10.5  7.99531e-06
2  10.7  6.40815e-06
2  10.9  5.14542e-06
2  11.1  4.13803e-06
2  11.3  3.33371e-06
2  11.5  2.69064e-06
2  11.7  2.17312e-06
2  11.9  1.75845e-06
4  0.1  178.552
4  0.3  105.427
4  0.5  64.8002
4  0.7  39.9134
4  0.9  24.7042
4  1.1  15.383
4  1.3  9.66466
4  1.5  6.12846
4  1.7  3.92548
4  1.9  2.53888
4  2.1  1.65888
4  2.3  1.09482
4  2.5  0.729717
4  2.7  0.491011
4  2.9  0.333558
4  3.1  0.228573
4  3.3  0.158055
4  3.5  0.110197
4  3.7  0.0774375
4  3.9  0.0548391
4  4.1  0.0391078
4  4.3  0.0280799
4  4.5  0.0202942
4  4.7  0.0147573
4  4.9  0.0107945
4  5.1  0.00793854
4  5.3  0.00586915
4  5.5  0.00436093
4  5.7  0.00325614
4  5.9  0.00244134
4  6.1  0.00183976
4  6.3  0.00139096
4  6.5  0.00105697
4  6.7  0.000805643
4  6.9  0.000616302
4  7.1  0.000472964
4  7.3  0.00036424
4  7.5  0.000281454
4  7.7  0.00021814
4  7.9  0.000169417
4  8.1  0.000132015
4  8.3  0.000103156
4  8.5  8.08394e-05
4  8.7  6.34704e-05
4  8.9  4.99942e-05
4  9.1  3.94352e-05
4  9.3  3.11971e-05
4  9.5  2.47255e-05
4  9.7  1.9647e-05
4  9.9  1.5629e-05
4  10.1  1.24604e-05
4  10.3  9.94941e-06
4  10.5  7.95896e-06
4  10.7  6.38163e-06
4  10.9  5.12332e-06
4  11.1  4.12128e-06
4  11.3  3.31925e-06
4  11.5  2.67792e-06
4  11.7  2.1644e-06
4  11.9  1.75212e-06
6  0.1  177.897
6  0.3  105.104
6  0.5  64.5548
6  0.7  39.7587
6  0.9  24.6053
6  1.1  15.3188
6  1.3  9.62247
6  1.5  6.10051
6  1.7  3.9066
6  1.9  2.52619
6  2.1  1.65038
6  2.3  1.0889
6  2.5  0.72568
6  2.7  0.4882
6  2.9  0.331555
6  3.1  0.227208
6  3.3  0.157092
6  3.5  0.109522
6  3.7  0.0769501
6  3.9  0.0544888
6  4.1  0.0388542
6  4.3  0.0278943
6  4.5  0.0201585
6  4.7  0.014657
6  4.9  0.0107202
6  5.1  0.00788381
6  5.3  0.00582595
6  5.5  0.0043289
6  5.7  0.00323297
6  5.9  0.00242386
6  6.1  0.00182587
6  6.3  0.00138097
6  6.5  0.00104943
6  6.7  0.000799784
6  6.9  0.000611778
6  7.1  0.000469359
6  7.3  0.000361541
6  7.5  0.000279371
6  7.7  0.000216398
6  7.9  0.000168162
6  8.1  0.000131033
6  8.3  0.00010246
6  8.5  8.02031e-05
6  8.7  6.29982e-05
6  8.9  4.95962e-05
6  9.1  3.91562e-05
6  9.3  3.09534e-05
6  9.5  2.45306e-05
6  9.7  1.94756e-05
6  9.9  1.55077e-05
6  10.1  1.23633e-05
6  10.3  9.86992e-06
6  10.5  7.90122e-06
6  10.7  6.33242e-06
6  10.9  5.08338e-06
6  11.1  4.08755e-06
6  11.3  3.29269e-06
6  11.5  2.65649e-06
6  11.7  2.14798e-06
6  11.9  1.73654e-06
8  0.1  176.956
8  0.3  104.542
8  0.5  64.2028
8  0.7  39.5368
8  0.9  24.448
8  1.1  15.2268
8  1.3  9.562
8  1.5  6.06032
8  1.7  3.87966
8  1.9  2.50803
8  2.1  1.63808
8  2.3  1.08045
8  2.5  0.719877
8  2.7  0.484179
8  2.9  0.328759
8  3.1  0.225248
8  3.3  0.155711
8  3.5  0.108539
8  3.7  0.0762512
8  3.9  0.0539855
8  4.1  0.0384907
8  4.3  0.0276297
8  4.5  0.0199651
8  4.7  0.014515
8  4.9  0.0106153
8  5.1  0.00780608
8  5.3  0.00576803
8  5.5  0.00428562
8  5.7  0.00320042
8  5.9  0.00239926
8  6.1  0.00180727
8  6.3  0.00136682
8  6.5  0.00103866
8  6.7  0.000791514
8  6.9  0.000605401
8  7.1  0.000464457
8  7.3  0.000357752
8  7.5  0.00027642
8  7.7  0.000214108
8  7.9  0.000166377
8  8.1  0.000129638
8  8.3  0.000101365
8  8.5  7.9343e-05
8  8.7  6.23179e-05
8  8.9  4.90604e-05
8  9.1  3.87329e-05
8  9.3  3.06186e-05
8  9.5  2.4265e-05
8  9.7  1.92658e-05
8  9.9  1.53375e-05
8  10.1  1.22279e-05
8  10.3  9.76732e-06
8  10.5  7.81099e-06
8  10.7  6.25991e-06
8  10.9  5.02614e-06
8  11.1  4.04199e-06
8  11.3  3.25626e-06
8  11.5  2.62803e-06
8  11.7  2.12242e-06
8  11.9  1.71737e-06
10  0.1  175.706
10  0.3  103.794
10  0.5  63.7347
10  0.7  39.2423
10  0.9  24.2595
10  1.1  15.1045
10  1.3  9.48181
10  1.5  6.007
10  1.7  3.84408
10  1.9  2.48402
10  2.1  1.62173
10  2.3  1.06932
10  2.5  0.712187
10  2.7  0.478868
10  2.9  0.325065
10  3.1  0.222654
10  3.3  0.153881
10  3.5  0.107233
10  3.7  0.0753225
10  3.9  0.0533182
10  4.1  0.0380097
10  4.3  0.0272817
10  4.5  0.0197109
10  4.7  0.0143291
10  4.9  0.0104786
10  5.1  0.00770423
10  5.3  0.00569461
10  5.5  0.00423036
10  5.7  0.00315656
10  5.9  0.00236723
10  6.1  0.00178354
10  6.3  0.00134818
10  6.5  0.00102428
10  6.7  0.000780606
10  6.9  0.000597066
10  7.1  0.000458103
10  7.3  0.00035281
10  7.5  0.0002726
10  7.7  0.000211225
10  7.9  0.000164116
10  8.1  0.000127797
10  8.3  9.98499e-05
10  8.5  7.82432e-05
10  8.7  6.14227e-05
10  8.9  4.83749e-05
10  9.1  3.81585e-05
10  9.3  3.01828e-05
10  9.5  2.39135e-05
10  9.7  1.89999e-05
10  9.9  1.51131e-05
10  10.1  1.20473e-05
10  10.3  9.61908e-06
10  10.5  7.69712e-06
10  10.7  6.16916e-06
10  10.9  4.9544e-06
10  11.1  3.98319e-06
10  11.3  3.20876e-06
10  11.5  2.58811e-06
10  11.7  2.09318e-06
10  11.9  1.69224e-06
12  0.1  174.116
12  0.3  102.844
12  0.5  63.1394
12  0.7  38.8677
12  0.9  24.02
12  1.1  14.9492
12  1.3  9.37823
12  1.5  5.93941
12  1.7  3.79879
12  1.9  2.45353
12  2.1  1.60111
12  2.3  1.05516
12  2.5  0.702465
12  2.7  0.472135
12  2.9  0.320396
12  3.1  0.219388
12  3.3  0.15158
12  3.5  0.105615
12  3.7  0.0741606
12  3.9  0.0524814
12  4.1  0.0374061
12  4.3  0.026841
12  4.5  0.0193893
12  4.7  0.0140925
12  4.9  0.0103033
12  5.1  0.00757472
12  5.3  0.00559579
12  5.5  0.00415675
12  5.7  0.0031035
12  5.9  0.00232619
12  6.1  0.00175188
12  6.3  0.00132469
12  6.5  0.00100647
12  6.7  0.000766863
12  6.9  0.000586447
12  7.1  0.000449843
12  7.3  0.000346447
12  7.5  0.000267658
12  7.7  0.000207291
12  7.9  0.00016106
12  8.1  0.000125483
12  8.3  9.81067e-05
12  8.5  7.67841e-05
12  8.7  6.03015e-05
12  8.9  4.74677e-05
12  9.1  3.74722e-05
12  9.3  2.96155e-05
12  9.5  2.34704e-05
12  9.7  1.86319e-05
12  9.9  1.48333e-05
12  10.1  1.18254e-05
12  10.3  9.44509e-06
12  10.5  7.55242e-06
12  10.7  6.0522e-06
12  10.9  4.85907e-06
12  11.1  3.90746e-06
12  11.3  3.1477e-06
12  11.5  2.54013e-06
12  11.7  2.0521e-06
12  11.9  1.65979e-06
14  0.1  172.129
14  0.3  101.658
14  0.5  62.3651
14  0.7  38.4007
14  0.9  23.7216
14  1.1  14.7557
14  1.3  9.25145
14  1.5  5.85533
14  1.7  3.74261
14  1.9  2.4157
14  2.1  1.57563
14  2.3  1.03768
14  2.5  0.690502
14  2.7  0.46384
14  2.9  0.31462
14  3.1  0.215351
14  3.3  0.148738
14  3.5  0.103601
14  3.7  0.0727214
14  3.9  0.0514474
14  4.1  0.0366585
14  4.3  0.0262989
14  4.5  0.0189935
14  4.7  0.013802
14  4.9  0.0100898
14  5.1  0.00741601
14  5.3  0.00547735
14  5.5  0.00406812
14  5.7  0.00303694
14  5.9  0.00227598
14  6.1  0.00171387
14  6.3  0.00129579
14  6.5  0.000984392
14  6.7  0.000749978
14  6.9  0.000573478
14  7.1  0.000439844
14  7.3  0.000338721
14  7.5  0.000261667
14  7.7  0.000202631
14  7.9  0.000157425
14  8.1  0.00012264
14  8.3  9.58771e-05
14  8.5  7.50328e-05
14  8.7  5.89215e-05
14  8.9  4.6378e-05
14  9.1  3.66102e-05
14  9.3  2.89323e-05
14  9.5  2.29272e-05
14  9.7  1.82135e-05
14  9.9  1.44887e-05
14  10.1  1.15495e-05
14  10.3  9.22466e-06
14  10.5  7.37575e-06
14  10.7  5.91027e-06
14  10.9  4.74488e-06
14  11.1  3.81551e-06
14  11.3  3.07338e-06
14  11.5  2.48005e-06
14  11.7  2.00352e-06
14  11.9  1.62183e-06
16  0.1  169.679
16  0.3  100.198
16  0.5  61.4511
16  0.7  37.8251
16  0.9  23.3544
16  1.1  14.5173
16  1.3  9.09555
16  1.5  5.75197
16  1.7  3.67368
16  1.9  2.36933
16  2.1  1.54425
16  2.3  1.01626
16  2.5  0.67572
16  2.7  0.453667
16  2.9  0.307578
16  3.1  0.210419
16  3.3  0.145273
16  3.5  0.101142
16  3.7  0.0709691
16  3.9  0.0501902
16  4.1  0.0357517
16  4.3  0.0256404
16  4.5  0.0185128
16  4.7  0.0134494
16  4.9  0.00982981
16  5.1  0.00722341
16  5.3  0.00533384
16  5.5  0.00396073
16  5.7  0.00295635
16  5.9  0.00221512
16  6.1  0.00166882
16  6.3  0.00126075
16  6.5  0.00095762
16  6.7  0.00072951
16  6.9  0.000557752
16  7.1  0.000427725
16  7.3  0.000329356
16  7.5  0.000254407
16  7.7  0.000196988
16  7.9  0.000153023
16  8.1  0.000119204
16  8.3  9.31839e-05
16  8.5  7.29188e-05
16  8.7  5.7255e-05
16  8.9  4.50621e-05
16  9.1  3.55509e-05
16  9.3  2.81073e-05
16  9.5  2.22708e-05
16  9.7  1.76915e-05
16  9.9  1.40723e-05
16  10.1  1.12167e-05
16  10.3  8.95841e-06
16  10.5  7.16218e-06
16  10.7  5.73868e-06
16  10.9  4.60691e-06
16  11.1  3.70433e-06
16  11.3  2.98368e-06
16  11.5  2.40743e-06
16  11.7  1.94474e-06
16  11.9  1.57416e-06
18  0.1  166.662
18  0.3  98.3388
18  0.5  60.3264
18  0.7  37.1268
18  0.9  22.9137
18  1.1  14.2251
18  1.3  8.90405
18  1.5  5.62566
18  1.7  3.58922
18  1.9  2.31278
18  2.1  1.5059
18  2.3  0.990184
18  2.5  0.657971
18  2.7  0.441369
18  2.9  0.299034
18  3.1  0.204444
18  3.3  0.14107
18  3.5  0.0981616
18  3.7  0.0688473
18  3.9  0.0486689
18  4.1  0.0346506
18  4.3  0.0248443
18  4.5  0.0179317
18  4.7  0.0130232
18  4.9  0.00951555
18  5.1  0.00699089
18  5.3  0.00516065
18  5.5  0.0038312
18  5.7  0.00285909
18  5.9  0.00214178
18  6.1  0.00161321
18  6.3  0.00121914
18  6.5  0.000925376
18  6.7  0.00070485
18  6.9  0.000538802
18  7.1  0.000413123
18  7.3  0.000318069
18  7.5  0.000245667
18  7.7  0.00019019
18  7.9  0.000147721
18  8.1  0.000115061
18  8.3  8.99352e-05
18  8.5  7.03791e-05
18  8.7  5.5245e-05
18  8.9  4.34742e-05
18  9.1  3.42953e-05
18  9.3  2.71132e-05
18  9.5  2.14793e-05
18  9.7  1.7049e-05
18  9.9  1.35705e-05
18  10.1  1.08161e-05
18  10.3  8.63765e-06
18  10.5  6.90497e-06
18  10.7  5.53212e-06
18  10.9  4.44098e-06
18  11.1  3.5706e-06
18  11.3  2.87571e-06
18  11.5  2.3199e-06
18  11.7  1.87409e-06
18  11.9  1.51684e-06
20  0.1  162.932
20  0.3  96.1163
20  0.5  58.9377
20  0.7  36.2505
20  0.9  22.3552
20  1.1  13.8645
20  1.3  8.66838
20  1.5  5.47037
20  1.7  3.48568
20  1.9  2.24333
20  2.1  1.45909
20  2.3  0.958307
20  2.5  0.636146
20  2.7  0.426378
20  2.9  0.288625
20  3.1  0.197173
20  3.3  0.135969
20  3.5  0.0945419
20  3.7  0.0662722
20  3.9  0.0468239
20  4.1  0.0333206
20  4.3  0.0238801
20  4.5  0.0172282
20  4.7  0.0125077
20  4.9  0.00913626
20  5.1  0.00670991
20  5.3  0.00495438
20  5.5  0.00367469
20  5.7  0.00274149
20  5.9  0.00205325
20  6.1  0.00154616
20  6.3  0.00116854
20  6.5  0.000886435
20  6.7  0.000675086
20  6.9  0.000515958
20  7.1  0.00039552
20  7.3  0.000304476
20  7.5  0.000235126
20  7.7  0.000182001
20  7.9  0.000141335
20  8.1  0.000110071
20  8.3  8.60232e-05
20  8.5  6.73067e-05
20  8.7  5.28267e-05
20  8.9  4.15639e-05
20  9.1  3.27854e-05
20  9.3  2.59163e-05
20  9.5  2.05277e-05
20  9.7  1.62927e-05
20  9.9  1.29671e-05
20  10.1  1.0334e-05
20  10.3  8.25208e-06
20  10.5  6.59601e-06
20  10.7  5.28395e-06
20  10.9  4.24161e-06
20  11.1  3.4098e-06
20  11.3  2.74602e-06
20  11.5  2.21487e-06
20  11.7  1.78832e-06
20  11.9  1.44809e-06
22  0.1  158.32
22  0.3  93.3302
22  0.5  57.2008
22  0.7  35.1593
22  0.9  21.6564
22  1.1  13.419
22  1.3  8.37618
22  1.5  5.27663
22  1.7  3.357
22  1.9  2.15726
22  2.1  1.40118
22  2.3  0.918989
22  2.5  0.609242
22  2.7  0.407941
22  2.9  0.275825
22  3.1  0.188253
22  3.3  0.129716
22  3.5  0.0901217
22  3.7  0.0631243
22  3.9  0.0445705
22  4.1  0.0316973
22  4.3  0.0227042
22  4.5  0.0163708
22  4.7  0.0118793
22  4.9  0.00867429
22  5.1  0.00636775
22  5.3  0.00469863
22  5.5  0.00348599
22  5.7  0.00259872
22  5.9  0.00194665
22  6.1  0.00146391
22  6.3  0.00110641
22  6.5  0.000839303
22  6.7  0.000639033
22  6.9  0.00048824
22  7.1  0.000374181
22  7.3  0.000288012
22  7.5  0.000222361
22  7.7  0.000172076
22  7.9  0.000133594
22  8.1  0.000104026
22  8.3  8.12868e-05
22  8.5  6.35846e-05
22  8.7  4.98993e-05
22  8.9  3.92544e-05
22  9.1  3.0957e-05
22  9.3  2.44738e-05
22  9.5  1.93757e-05
22  9.7  1.53905e-05
22  9.9  1.2232e-05
22  10.1  9.75062e-06
22  10.3  7.78498e-06
22  10.5  6.22207e-06
22  10.7  4.98359e-06
22  10.9  3.99988e-06
22  11.1  3.21553e-06
22  11.3  2.58888e-06
22  11.5  2.0874e-06
22  11.7  1.68664e-06
22  11.9  1.36488e-06
24  0.1  152.352
24  0.3  89.7729
24  0.5  54.9875
24  0.7  33.7646
24  0.9  20.7677
24  1.1  12.8463
24  1.3  8.00403
24  1.5  5.03207
24  1.7  3.19491
24  1.9  2.04922
24  2.1  1.32862
24  2.3  0.869941
24  2.5  0.575747
24  2.7  0.384941
24  2.9  0.259944
24  3.1  0.177243
24  3.3  0.121966
24  3.5  0.0846511
24  3.7  0.0592364
24  3.9  0.0417893
24  4.1  0.0296971
24  4.3  0.0212563
24  4.5  0.0153166
24  4.7  0.0111075
24  4.9  0.00810569
24  5.1  0.00594689
24  5.3  0.00438648
24  5.5  0.00325337
24  5.7  0.00242382
24  5.9  0.00181488
24  6.1  0.00136426
24  6.3  0.0010307
24  6.5  0.000780998
24  6.7  0.000594896
24  6.9  0.000454366
24  7.1  0.000348089
24  7.3  0.000267886
24  7.5  0.000206754
24  7.7  0.000159951
24  7.9  0.000124152
24  8.1  9.66487e-05
24  8.3  7.55079e-05
24  8.5  5.90503e-05
24  8.7  4.63361e-05
24  8.9  3.64445e-05
24  9.1  2.8731e-05
24  9.3  2.27045e-05
24  9.5  1.79779e-05
24  9.7  1.42641e-05
24  9.9  1.13435e-05
24  10.1  9.04141e-06
24  10.3  7.21797e-06
24  10.5  5.76754e-06
24  10.7  4.61866e-06
24  10.9  3.70665e-06
24  11.1  2.97921e-06
24  11.3  2.39887e-06
24  11.5  1.93353e-06
24  11.7  1.56096e-06
24  11.9  1.2639e-06
26  0.1  144.561
26  0.3  85.1465
26  0.5  52.1092
26  0.7  31.9415
26  0.9  19.6084
26  1.1  12.1066
26  1.3  7.52463
26  1.5  4.71868
26  1.7  2.98765
26  1.9  1.91139
26  2.1  1.23634
26  2.3  0.80775
26  2.5  0.533437
26  2.7  0.355998
26  2.9  0.239973
26  3.1  0.163371
26  3.3  0.112248
26  3.5  0.0778085
26  3.7  0.0543793
26  3.9  0.0383221
26  4.1  0.0272062
26  4.3  0.0194556
26  4.5  0.0140073
26  4.7  0.0101496
26  4.9  0.0074012
26  5.1  0.00542658
26  5.3  0.00399977
26  5.5  0.00296407
26  5.7  0.00220743
26  5.9  0.00165193
26  6.1  0.00124111
26  6.3  0.000937266
26  6.5  0.000710405
26  6.7  0.000540449
26  6.9  0.000412621
26  7.1  0.000315958
26  7.3  0.000243002
26  7.5  0.000187536
26  7.7  0.000145026
26  7.9  0.000112536
26  8.1  8.75786e-05
26  8.3  6.83931e-05
26  8.5  5.35047e-05
26  8.7  4.19352e-05
26  8.9  3.29776e-05
26  9.1  2.60097e-05
26  9.3  2.05389e-05
26  9.5  1.62579e-05
26  9.7  1.29041e-05
26  9.9  1.02538e-05
26  10.1  8.16611e-06
26  10.3  6.51963e-06
26  10.5  5.20872e-06
26  10.7  4.17081e-06
26  10.9  3.34824e-06
26  11.1  2.68901e-06
26  11.3  2.16446e-06
26  11.5  1.74501e-06
26  11.7  1.40892e-06
26  11.9  1.13916e-06
28  0.1  134.334
28  0.3  79.0515
28  0.5  48.3456
28  0.7  29.5656
28  0.9  18.1029
28  1.1  11.1405
28  1.3  6.90132
28  1.5  4.31227
28  1.7  2.72056
28  1.9  1.73464
28  2.1  1.11832
28  2.3  0.728516
28  2.5  0.479836
28  2.7  0.319404
28  2.9  0.214807
28  3.1  0.145948
28  3.3  0.100082
28  3.5  0.0692454
28  3.7  0.0483199
28  3.9  0.0340029
28  4.1  0.0241087
28  4.3  0.0172213
28  4.5  0.0123827
28  4.7  0.00896265
28  4.9  0.0065285
28  5.1  0.0047831
28  5.3  0.00352203
28  5.5  0.0026081
28  5.7  0.00194085
28  5.9  0.00145133
28  6.1  0.00108977
28  6.3  0.000822577
28  6.5  0.00062298
28  6.7  0.00047361
28  6.9  0.000361407
28  7.1  0.000276752
28  7.3  0.000212692
28  7.5  0.000164
28  7.7  0.000126764
28  7.9  9.83129e-05
28  8.1  7.64734e-05
28  8.3  5.96548e-05
28  8.5  4.66615e-05
28  8.7  3.65835e-05
28  8.9  2.87547e-05
28  9.1  2.2657e-05
28  9.3  1.78977e-05
28  9.5  1.41616e-05
28  9.7  1.12284e-05
28  9.9  8.92391e-06
28  10.1  7.10899e-06
28  10.3  5.67128e-06
28  10.5  4.52984e-06
28  10.7  3.62553e-06
28  10.9  2.90966e-06
28  11.1  2.33656e-06
28  11.3  1.88017e-06
28  11.5  1.51557e-06
28  11.7  1.22368e-06
28  11.9  9.8944e-07
30  0.1  120.992
30  0.3  71.1451
30  0.5  43.4357
30  0.7  26.4814
30  0.9  16.1533
30  1.1  9.89754
30  1.3  6.10218
30  1.5  3.79439
30  1.7  2.38189
30  1.9  1.51176
30  2.1  0.970465
30  2.3  0.629738
30  2.5  0.413338
30  2.7  0.27423
30  2.9  0.183882
30  3.1  0.12455
30  3.3  0.0852077
30  3.5  0.0588348
30  3.7  0.0409766
30  3.9  0.0287826
30  4.1  0.0203734
30  4.3  0.0145309
30  4.5  0.0104361
30  4.7  0.0075461
30  4.9  0.00549504
30  5.1  0.00402081
30  5.3  0.00295974
30  5.5  0.00219271
30  5.7  0.00163037
30  5.9  0.00121802
30  6.1  0.000913203
30  6.3  0.00068786
30  6.5  0.000520408
30  6.7  0.000395545
30  6.9  0.000301521
30  7.1  0.000231148
30  7.3  0.0001777
30  7.5  0.000137123
30  7.7  0.000106255
30  7.9  8.25606e-05
30  8.1  6.43735e-05
30  8.3  5.02961e-05
30  8.5  3.94513e-05
30  8.7  3.10083e-05
30  8.9  2.4481e-05
30  9.1  1.93793e-05
30  9.3  1.53788e-05
30  9.5  1.22494e-05
30  9.7  9.78209e-06
30  9.9  7.83167e-06
30  10.1  6.29188e-06
30  10.3  5.06181e-06
30  10.5  4.09109e-06
30  10.7  3.30742e-06
30  10.9  2.62835e-06
30  11.1  2.08552e-06
30  11.3  1.65821e-06
30  11.5  1.31885e-06
30  11.7  1.05216e-06
30  11.9  8.39023e-07
32  0.1  104.311
32  0.3  61.2431
32  0.5  37.3214
32  0.7  22.6678
32  0.9  13.7678
32  1.1  8.38686
32  1.3  5.13911
32  1.5  3.17817
32  1.7  1.98444
32  1.9  1.25287
32  2.1  0.800397
32  2.3  0.517856
32  2.5  0.338814
32  2.7  0.224243
32  2.9  0.150024
32  3.1  0.100857
32  3.3  0.0684952
32  3.5  0.0469881
32  3.7  0.0325945
32  3.9  0.0228357
32  4.1  0.0161277
32  4.3  0.0114757
32  4.5  0.00821828
32  4.7  0.00592731
32  4.9  0.00430499
32  5.1  0.00314414
32  5.3  0.00231059
32  5.5  0.00170666
32  5.7  0.00126637
32  5.9  0.000944744
32  6.1  0.000707831
32  6.3  0.000533061
32  6.5  0.000403583
32  6.7  0.00030631
32  6.9  0.000233382
32  7.1  0.00017859
32  7.3  0.000136743
32  7.5  0.000105125
