# fragmentation : HymnD (inputs/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=0.25*mt0=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  673.702
0  0.3  525.404
0  0.5  404.087
0  0.7  303.469
0  0.9  224.208
0  1.1  163.835
0  1.3  118.691
0  1.5  85.7083
0  1.7  61.9874
0  1.9  44.9601
0  2.1  32.8317
0  2.3  24.1669
0  2.5  17.9633
0  2.7  13.4917
0  2.9  10.238
0  3.1  7.8511
0  3.3  6.08183
0  3.5  4.76223
0  3.7  3.76271
0  3.9  2.9992
0  4.1  2.41111
0  4.3  1.99381
0  4.5  1.66937
0  4.7  1.40785
0  4.9  1.19611
0  5.1  1.02188
0  5.3  0.879127
0  5.5  0.75942
0  5.7  0.659733
0  5.9  0.573552
0  6.1  0.497511
0  6.3  0.433831
0  6.5  0.37987
0  6.7  0.334052
0  6.9  0.29493
0  7.1  0.261199
0  7.3  0.232251
0  7.5  0.207188
0  7.7  0.185269
0  7.9  0.166323
0  8.1  0.149687
0  8.3  0.134983
0  8.5  0.12209
0  8.7  0.110739
0  8.9  0.100607
0  9.1  0.0916256
0  9.3  0.0835121
0  9.5  0.0764305
0  9.7  0.0699327
0  9.9  0.0641819
0  10.1  0.0590099
0  10.3  0.054338
0  10.5  0.050181
0  10.7  0.0462804
0  10.9  0.0427936
0  11.1  0.039687
0  11.3  0.0368524
0  11.5  0.0342243
0  11.7  0.0318275
0  11.9  0.0296336
2  0.1  672.951
2  0.3  524.769
2  0.5  403.639
2  0.7  303.067
2  0.9  223.892
2  1.1  163.585
2  1.3  118.479
2  1.5  85.5652
2  1.7  61.8778
2  1.9  44.8857
2  2.1  32.7796
2  2.3  24.1297
2  2.5  17.9284
2  2.7  13.463
2  2.9  10.2176
2  3.1  7.83555
2  3.3  6.0696
2  3.5  4.75277
2  3.7  3.7552
2  3.9  2.99318
2  4.1  2.40695
2  4.3  1.98982
2  4.5  1.66605
2  4.7  1.40507
2  4.9  1.19386
2  5.1  1.01993
2  5.3  0.877285
2  5.5  0.757936
2  5.7  0.658437
2  5.9  0.572374
2  6.1  0.496547
2  6.3  0.433044
2  6.5  0.379134
2  6.7  0.333459
2  6.9  0.294384
2  7.1  0.260709
2  7.3  0.231756
2  7.5  0.20677
2  7.7  0.185126
2  7.9  0.166025
2  8.1  0.149387
2  8.3  0.134734
2  8.5  0.121855
2  8.7  0.110463
2  8.9  0.1004
2  9.1  0.0914319
2  9.3  0.0833552
2  9.5  0.0762833
2  9.7  0.0698044
2  9.9  0.0640571
2  10.1  0.0588968
2  10.3  0.0542318
2  10.5  0.0500859
2  10.7  0.0461927
2  10.9  0.0427056
2  11.1  0.0396072
2  11.3  0.0367819
2  11.5  0.0341579
2  11.7  0.0317675
2  11.9  0.0295775
4  0.1  669.78
4  0.3  522.796
4  0.5  402.018
4  0.7  301.862
4  0.9  222.916
4  1.1  162.85
4  1.3  117.89
4  1.5  85.1827
4  1.7  61.5515
4  1.9  44.6235
4  2.1  32.5853
4  2.3  23.9911
4  2.5  17.8249
4  2.7  13.3868
4  2.9  10.156
4  3.1  7.7886
4  3.3  6.03282
4  3.5  4.72427
4  3.7  3.73244
4  3.9  2.97499
4  4.1  2.39242
4  4.3  1.97795
4  4.5  1.65601
4  4.7  1.39667
4  4.9  1.18609
4  5.1  1.01387
4  5.3  0.871969
4  5.5  0.753522
4  5.7  0.654855
4  5.9  0.568737
4  6.1  0.493623
4  6.3  0.430615
4  6.5  0.376849
4  6.7  0.331475
4  6.9  0.292672
4  7.1  0.259186
4  7.3  0.230446
4  7.5  0.205564
4  7.7  0.184047
4  7.9  0.165019
4  8.1  0.148506
4  8.3  0.133953
4  8.5  0.121145
4  8.7  0.109868
4  8.9  0.0998298
4  9.1  0.0909309
4  9.3  0.0828704
4  9.5  0.0757599
4  9.7  0.0694751
4  9.9  0.0636793
4  10.1  0.0585536
4  10.3  0.0539763
4  10.5  0.0497871
4  10.7  0.0459254
4  10.9  0.042547
