# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=0.5*mt0=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 4.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  10.9984
0  0.3  7.47941
0  0.5  4.57137
0  0.7  2.5769
0  0.9  1.39546
0  1.1  0.743297
0  1.3  0.393985
0  1.5  0.209498
0  1.7  0.112005
0  1.9  0.0603841
0  2.1  0.032851
0  2.3  0.0180339
0  2.5  0.0100016
0  2.7  0.00549617
0  2.9  0.00299993
0  3.1  0.00165226
0  3.3  0.000919511
0  3.5  0.000515731
0  3.7  0.00029195
0  3.9  0.00016666
0  4.1  9.59118e-05
0  4.3  5.56219e-05
0  4.5  3.24903e-05
0  4.7  1.91206e-05
0  4.9  1.13287e-05
0  5.1  6.75325e-06
0  5.3  4.05083e-06
0  5.5  2.44444e-06
0  5.7  1.48357e-06
0  5.9  9.04413e-07
0  6.1  5.54855e-07
0  6.3  3.41792e-07
0  6.5  2.11382e-07
0  6.7  1.31507e-07
0  6.9  8.20746e-08
0  7.1  5.14612e-08
0  7.3  3.23871e-08
0  7.5  2.04654e-08
0  7.7  1.29733e-08
0  7.9  8.2529e-09
0  8.1  5.2679e-09
0  8.3  3.3749e-09
0  8.5  2.16713e-09
0  8.7  1.39594e-09
0  8.9  9.01792e-10
0  9.1  5.84702e-10
0  9.3  3.79607e-10
0  9.5  2.47338e-10
0  9.7  1.61691e-10
0  9.9  1.05814e-10
0  10.1  6.93888e-11
0  10.3  4.56423e-11
0  10.5  3.0089e-11
0  10.7  1.98721e-11
0  10.9  1.31509e-11
0  11.1  8.72914e-12
0  11.3  5.80186e-12
0  11.5  3.86115e-12
0  11.7  2.57348e-12
0  11.9  1.71926e-12
2  0.1  10.9913
2  0.3  7.47461
2  0.5  4.56842
2  0.7  2.57517
2  0.9  1.39449
2  1.1  0.74276
2  1.3  0.393687
2  1.5  0.209332
2  1.7  0.111913
2  1.9  0.0603319
2  2.1  0.0328215
2  2.3  0.0180171
2  2.5  0.00999208
2  2.7  0.00549074
2  2.9  0.00299687
2  3.1  0.00165053
2  3.3  0.000918522
2  3.5  0.000515165
2  3.7  0.000291622
2  3.9  0.000166471
2  4.1  9.58008e-05
2  4.3  5.55565e-05
2  4.5  3.24516e-05
2  4.7  1.90975e-05
2  4.9  1.13149e-05
2  5.1  6.74493e-06
