# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=0.5*mt0=0.751665)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -1.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  0
0  0.3  0
0  0.5  0
0  0.7  0
0  0.9  0
0  1.1  0
0  1.3  0
0  1.5  0
0  1.7  0
0  1.9  0
0  2.1  0
0  2.3  30.5159
0  2.5  22.8251
0  2.7  17.2101
0  2.9  13.1093
0  3.1  10.0775
0  3.3  7.82334
0  3.5  6.13216
0  3.7  4.8504
0  3.9  3.8692
0  4.1  3.11283
0  4.3  2.52375
0  4.5  2.06164
0  4.7  1.69548
0  4.9  1.40353
0  5.1  1.16761
0  5.3  0.97835
0  5.5  0.824669
0  5.7  0.698197
0  5.9  0.593877
0  6.1  0.507406
0  6.3  0.435638
0  6.5  0.375508
0  6.7  0.325091
0  6.9  0.282306
0  7.1  0.246256
0  7.3  0.215331
0  7.5  0.18879
0  7.7  0.166097
0  7.9  0.146572
0  8.1  0.129775
0  8.3  0.115201
0  8.5  0.102574
0  8.7  0.0914881
0  8.9  0.081716
0  9.1  0.0732838
0  9.3  0.0657061
0  9.5  0.0591816
0  9.7  0.0533529
0  9.9  0.0482187
0  10.1  0.043587
0  10.3  0.0395688
0  10.5  0.0359452
0  10.7  0.0326969
0  10.9  0.029782
0  11.1  0.0271824
0  11.3  0.0248321
0  11.5  0.0227297
0  11.7  0.0208201
0  11.9  0.019124
2  0.1  0
2  0.3  0
2  0.5  0
2  0.7  0
2  0.9  0
2  1.1  0
2  1.3  0
2  1.5  0
2  1.7  0
2  1.9  0
2  2.1  0
2  2.3  30.4648
2  2.5  22.7861
2  2.7  17.1801
2  2.9  13.0861
2  3.1  10.0596
2  3.3  7.80914
2  3.5  6.12105
2  3.7  4.84159
2  3.9  3.86213
2  4.1  3.10709
2  4.3  2.51911
2  4.5  2.05781
2  4.7  1.69231
2  4.9  1.40096
2  5.1  1.16544
2  5.3  0.976489
2  5.5  0.823133
2  5.7  0.696926
2  5.9  0.592762
2  6.1  0.506573
2  6.3  0.43481
2  6.5  0.37484
2  6.7  0.324482
2  6.9  0.281845
2  7.1  0.245684
2  7.3  0.214894
2  7.5  0.188575
2  7.7  0.165782
2  7.9  0.146298
2  8.1  0.129524
2  8.3  0.11498
2  8.5  0.102381
2  8.7  0.0913132
2  8.9  0.0815616
2  9.1  0.0731455
2  9.3  0.0655789
2  9.5  0.0590692
2  9.7  0.0532503
2  9.9  0.0481206
2  10.1  0.0435531
2  10.3  0.0394954
