# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=0.5*mt0=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 3.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  42.5989
0  0.3  30.1118
0  0.5  19.6902
0  0.7  12.1107
0  0.9  7.23534
0  1.1  4.27505
0  1.3  2.52694
0  1.5  1.49919
0  1.7  0.895866
0  1.9  0.540296
0  2.1  0.328646
0  2.3  0.202142
0  2.5  0.125499
0  2.7  0.0774813
0  2.9  0.047568
0  3.1  0.0294785
0  3.3  0.0184442
0  3.5  0.0116507
0  3.7  0.00742096
0  3.9  0.00476388
0  4.1  0.00308472
0  4.3  0.00201386
0  4.5  0.00132394
0  4.7  0.00087657
0  4.9  0.000584224
0  5.1  0.000391742
0  5.3  0.000264273
0  5.5  0.00017942
0  5.7  0.000122425
0  5.9  8.39625e-05
0  6.1  5.78736e-05
0  6.3  4.008e-05
0  6.5  2.78795e-05
0  6.7  1.94921e-05
0  6.9  1.36779e-05
0  7.1  9.63196e-06
0  7.3  6.81192e-06
0  7.5  4.83488e-06
0  7.7  3.44308e-06
0  7.9  2.4607e-06
0  8.1  1.76412e-06
0  8.3  1.2688e-06
0  8.5  9.15381e-07
0  8.7  6.62105e-07
0  8.9  4.80219e-07
0  9.1  3.4931e-07
0  9.3  2.54672e-07
0  9.5  1.86204e-07
0  9.7  1.36485e-07
0  9.9  1.00258e-07
0  10.1  7.37787e-08
0  10.3  5.44542e-08
0  10.5  4.02663e-08
0  10.7  2.98297e-08
0  10.9  2.21335e-08
0  11.1  1.64622e-08
0  11.3  1.22679e-08
0  11.5  9.15534e-09
0  11.7  6.84699e-09
0  11.9  5.12699e-09
2  0.1  42.5701
2  0.3  30.0913
2  0.5  19.6767
2  0.7  12.1021
2  0.9  7.2302
2  1.1  4.27178
2  1.3  2.52492
2  1.5  1.49793
2  1.7  0.895076
2  1.9  0.5398
2  2.1  0.328332
2  2.3  0.201942
2  2.5  0.12537
2  2.7  0.0773993
2  2.9  0.0475163
2  3.1  0.0294458
2  3.3  0.0184234
2  3.5  0.0116373
2  3.7  0.00741222
2  3.9  0.00475817
2  4.1  0.00308097
2  4.3  0.00201142
2  4.5  0.00132229
2  4.7  0.000875475
2  4.9  0.000583487
2  5.1  0.000391243
2  5.3  0.00026393
2  5.5  0.000179185
2  5.7  0.000122263
2  5.9  8.38505e-05
2  6.1  5.77959e-05
2  6.3  4.00259e-05
2  6.5  2.78417e-05
2  6.7  1.94655e-05
2  6.9  1.36592e-05
2  7.1  9.61866e-06
2  7.3  6.80247e-06
2  7.5  4.82814e-06
2  7.7  3.43826e-06
2  7.9  2.45724e-06
2  8.1  1.76162e-06
2  8.3  1.267e-06
2  8.5  9.14076e-07
2  8.7  6.61147e-07
2  8.9  4.79527e-07
2  9.1  3.48802e-07
2  9.3  2.543e-07
2  9.5  1.85933e-07
2  9.7  1.36282e-07
2  9.9  1.00108e-07
2  10.1  7.36685e-08
2  10.3  5.43725e-08
2  10.5  4.02054e-08
2  10.7  2.97845e-08
2  10.9  2.20999e-08
2  11.1  1.64378e-08
2  11.3  1.22487e-08
2  11.5  9.1413e-09
2  11.7  6.8365e-09
2  11.9  5.11909e-09
4  0.1  42.4832
4  0.3  30.0297
4  0.5  19.6359
4  0.7  12.0763
4  0.9  7.2141
4  1.1  4.26183
4  1.3  2.51883
4  1.5  1.49411
4  1.7  0.892687
4  1.9  0.538305
4  2.1  0.327387
4  2.3  0.201337
4  2.5  0.124984
4  2.7  0.0771533
4  2.9  0.0473607
4  3.1  0.0293466
4  3.3  0.0183596
4  3.5  0.0115962
4  3.7  0.00738547
4  3.9  0.00474076
4  4.1  0.00306947
4  4.3  0.00200383
4  4.5  0.00131724
4  4.7  0.000872079
4  4.9  0.000581204
4  5.1  0.00038973
4  5.3  0.000262894
4  5.5  0.000178483
4  5.7  0.000121774
4  5.9  8.34855e-05
4  6.1  5.75625e-05
4  6.3  3.98628e-05
4  6.5  2.77277e-05
4  6.7  1.93853e-05
4  6.9  1.36019e-05
4  7.1  9.57815e-06
4  7.3  6.77404e-06
4  7.5  4.80771e-06
4  7.7  3.42399e-06
4  7.9  2.447e-06
4  8.1  1.7541e-06
4  8.3  1.26159e-06
4  8.5  9.099e-07
4  8.7  6.58341e-07
4  8.9  4.77404e-07
4  9.1  3.47282e-07
4  9.3  2.53177e-07
4  9.5  1.85112e-07
4  9.7  1.35684e-07
4  9.9  9.96662e-08
4  10.1  7.3342e-08
4  10.3  5.41289e-08
4  10.5  4.00504e-08
4  10.7  2.9664e-08
4  10.9  2.20031e-08
4  11.1  1.63663e-08
4  11.3  1.21984e-08
4  11.5  9.102e-09
4  11.7  6.80256e-09
4  11.9  5.09402e-09
6  0.1  42.3363
6  0.3  29.9254
6  0.5  19.5668
6  0.7  12.0327
6  0.9  7.18705
6  1.1  4.24519
6  1.3  2.50852
6  1.5  1.48768
6  1.7  0.888661
6  1.9  0.535772
6  2.1  0.32579
6  2.3  0.200315
6  2.5  0.124333
6  2.7  0.0767365
6  2.9  0.0470983
6  3.1  0.0291801
6  3.3  0.0182533
6  3.5  0.0115279
6  3.7  0.00734127
6  3.9  0.00471189
6  4.1  0.00305053
6  4.3  0.00199006
6  4.5  0.00130891
6  4.7  0.000866507
6  4.9  0.000577449
6  5.1  0.000387177
6  5.3  0.000261162
6  5.5  0.000177294
6  5.7  0.000120962
6  5.9  8.29519e-05
6  6.1  5.71732e-05
6  6.3  3.95923e-05
6  6.5  2.75382e-05
6  6.7  1.92515e-05
6  6.9  1.35082e-05
6  7.1  9.51167e-06
6  7.3  6.72693e-06
6  7.5  4.77382e-06
6  7.7  3.39948e-06
6  7.9  2.42925e-06
6  8.1  1.74149e-06
6  8.3  1.25246e-06
6  8.5  9.03549e-07
6  8.7  6.53534e-07
6  8.9  4.73959e-07
6  9.1  3.44744e-07
6  9.3  2.51356e-07
6  9.5  1.83761e-07
6  9.7  1.34684e-07
6  9.9  9.89313e-08
6  10.1  7.28025e-08
6  10.3  5.37298e-08
6  10.5  3.97291e-08
6  10.7  2.94308e-08
6  10.9  2.18372e-08
6  11.1  1.62411e-08
6  11.3  1.21027e-08
6  11.5  9.03197e-09
6  11.7  6.75467e-09
6  11.9  5.05775e-09
8  0.1  42.1246
8  0.3  29.7747
8  0.5  19.4675
8  0.7  11.9702
8  0.9  7.14824
8  1.1  4.22132
8  1.3  2.49375
8  1.5  1.47846
8  1.7  0.882894
8  1.9  0.532146
8  2.1  0.323503
8  2.3  0.198852
8  2.5  0.1234
8  2.7  0.0761419
8  2.9  0.046724
8  3.1  0.028942
8  3.3  0.018101
8  3.5  0.0114298
8  3.7  0.00727776
8  3.9  0.00467315
8  4.1  0.00302329
8  4.3  0.00197207
8  4.5  0.00129693
8  4.7  0.000858488
8  4.9  0.000572047
8  5.1  0.000383519
8  5.3  0.00025867
8  5.5  0.00017559
8  5.7  0.00011979
8  5.9  8.21432e-05
8  6.1  5.66077e-05
8  6.3  3.91982e-05
8  6.5  2.72626e-05
8  6.7  1.90596e-05
8  6.9  1.33726e-05
8  7.1  9.41579e-06
8  7.3  6.65864e-06
8  7.5  4.72522e-06
8  7.7  3.3647e-06
8  7.9  2.40427e-06
8  8.1  1.72351e-06
8  8.3  1.23949e-06
8  8.5  8.94175e-07
8  8.7  6.46718e-07
8  8.9  4.68999e-07
8  9.1  3.4113e-07
8  9.3  2.48673e-07
8  9.5  1.81824e-07
8  9.7  1.33263e-07
8  9.9  9.7883e-08
8  10.1  7.20321e-08
8  10.3  5.31584e-08
8  10.5  3.93055e-08
8  10.7  2.91165e-08
8  10.9  2.16027e-08
8  11.1  1.60688e-08
8  11.3  1.19728e-08
8  11.5  8.93465e-09
8  11.7  6.68036e-09
8  11.9  5.00289e-09
10  0.1  41.8452
10  0.3  29.5752
10  0.5  19.3354
10  0.7  11.8871
10  0.9  7.09662
10  1.1  4.18967
10  1.3  2.47418
10  1.5  1.46593
10  1.7  0.875245
10  1.9  0.527351
10  2.1  0.320468
10  2.3  0.196925
10  2.5  0.122164
10  2.7  0.0753554
10  2.9  0.0462295
10  3.1  0.0286278
10  3.3  0.0178998
10  3.5  0.0113001
10  3.7  0.00719359
10  3.9  0.00461804
10  4.1  0.0029872
10  4.3  0.00194941
10  4.5  0.00128107
10  4.7  0.000847861
10  4.9  0.000564902
10  5.1  0.000378694
10  5.3  0.000255371
10  5.5  0.000173343
10  5.7  0.000118238
10  5.9  8.10429e-05
10  6.1  5.58699e-05
10  6.3  3.86822e-05
10  6.5  2.69024e-05
10  6.7  1.88046e-05
10  6.9  1.31928e-05
10  7.1  9.2886e-06
10  7.3  6.56818e-06
