# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 1.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  502.405
0  0.3  384.25
0  0.5  283.669
0  0.7  202.166
0  0.9  141.549
0  1.1  98.3311
0  1.3  68.1941
0  1.5  47.3881
0  1.7  33.1017
0  1.9  23.2821
0  2.1  16.5074
0  2.3  11.8197
0  2.5  8.54174
0  2.7  6.23449
0  2.9  4.59395
0  3.1  3.41809
0  3.3  2.56676
0  3.5  1.94446
0  3.7  1.48641
0  3.9  1.14506
0  4.1  0.88893
0  4.3  0.695232
0  4.5  0.547546
0  4.7  0.434248
0  4.9  0.346327
0  5.1  0.27804
0  5.3  0.224331
0  5.5  0.18208
0  5.7  0.148442
0  5.9  0.121627
0  6.1  0.100099
0  6.3  0.0827077
0  6.5  0.0686464
0  6.7  0.0571921
0  6.9  0.0478313
0  7.1  0.0401772
0  7.3  0.0337947
0  7.5  0.0285488
0  7.7  0.0241906
0  7.9  0.0205491
0  8.1  0.0175181
0  8.3  0.0149737
0  8.5  0.0128272
0  8.7  0.0110332
0  8.9  0.00949841
0  9.1  0.00819674
0  9.3  0.00707929
0  9.5  0.00614407
0  9.7  0.00533517
0  9.9  0.00464294
0  10.1  0.00404852
0  10.3  0.00353861
0  10.5  0.00309678
0  10.7  0.00271462
0  10.9  0.00238343
0  11.1  0.00209651
0  11.3  0.00184665
0  11.5  0.00162894
0  11.7  0.00143872
0  11.9  0.0012731
2  0.1  501.981
2  0.3  383.923
2  0.5  283.425
2  0.7  201.988
2  0.9  141.419
2  1.1  98.2363
2  1.3  68.125
2  1.5  47.3376
2  1.7  33.0647
2  1.9  23.2549
2  2.1  16.4874
2  2.3  11.8049
2  2.5  8.53076
2  2.7  6.22627
2  2.9  4.58777
2  3.1  3.4134
2  3.3  2.56318
2  3.5  1.94172
2  3.7  1.48429
2  3.9  1.14341
2  4.1  0.887634
2  4.3  0.694209
2  4.5  0.546734
2  4.7  0.433602
2  4.9  0.345806
2  5.1  0.277618
2  5.3  0.223988
2  5.5  0.181799
2  5.7  0.148213
2  5.9  0.121438
2  6.1  0.0999419
2  6.3  0.082579
2  6.5  0.0685397
2  6.7  0.0571023
2  6.9  0.0477562
2  7.1  0.0401138
2  7.3  0.03374
2  7.5  0.0285026
2  7.7  0.0241513
2  7.9  0.0205157
2  8.1  0.0174896
2  8.3  0.0149498
2  8.5  0.0128065
2  8.7  0.0110154
2  8.9  0.00948298
2  9.1  0.00818335
2  9.3  0.00706758
2  9.5  0.00613379
2  9.7  0.00532623
2  9.9  0.00463508
2  10.1  0.00404173
2  10.3  0.00353261
2  10.5  0.00309142
2  10.7  0.00271014
2  10.9  0.0023793
2  11.1  0.00209282
2  11.3  0.00184348
2  11.5  0.0016261
2  11.7  0.00143621
2  11.9  0.00127089
4  0.1  500.682
4  0.3  382.943
4  0.5  282.797
4  0.7  201.447
4  0.9  141.023
4  1.1  97.947
4  1.3  67.9146
4  1.5  47.1853
4  1.7  32.9506
4  1.9  23.1666
4  2.1  16.4363
4  2.3  11.757
4  2.5  8.49826
4  2.7  6.20175
4  2.9  4.57039
4  3.1  3.40024
4  3.3  2.55262
4  3.5  1.935
4  3.7  1.47969
4  3.9  1.14045
4  4.1  0.885774
4  4.3  0.692987
4  4.5  0.546348
4  4.7  0.43373
4  4.9  0.346257
4  5.1  0.278195
4  5.3  0.224882
4  5.5  0.182782
4  5.7  0.14924
4  5.9  0.122511
4  6.1  0.101125
4  6.3  0.0836577
4  6.5  0.0696777
4  6.7  0.058202
4  6.9  0.0488987
4  7.1  0.0411928
4  7.3  0.0348119
4  7.5  0.0295685
4  7.7  0.0251808
4  7.9  0.0214853
4  8.1  0.0181871
4  8.3  0.01544
4  8.5  0.0131275
4  8.7  0.0111949
4  8.9  0.0095613
4  9.1  0.00819146
4  9.3  0.00705087
4  9.5  0.00610474
4  9.7  0.00530038
4  9.9  0.00461222
4  10.1  0.00402166
4  10.3  0.00351514
4  10.5  0.00307613
4  10.7  0.00269661
4  10.9  0.00236744
4  11.1  0.00208251
4  11.3  0.00183431
4  11.5  0.00161796
4  11.7  0.00142892
4  11.9  0.00126458
6  0.1  498.542
6  0.3  381.276
6  0.5  281.45
6  0.7  200.541
6  0.9  140.366
6  1.1  97.4694
6  1.3  67.5644
6  1.5  46.9282
6  1.7  32.7655
6  1.9  23.0353
6  2.1  16.3258
6  2.3  11.6855
6  2.5  8.44204
6  2.7  6.15995
6  2.9  4.53791
6  3.1  3.37562
6  3.3  2.53429
6  3.5  1.91958
6  3.7  1.46682
6  3.9  1.13006
6  4.1  0.877189
6  4.3  0.685962
6  4.5  0.540191
6  4.7  0.428371
6  4.9  0.341612
6  5.1  0.274214
6  5.3  0.221229
6  5.5  0.17953
6  5.7  0.146371
6  5.9  0.119919
6  6.1  0.0987029
6  6.3  0.0815519
6  6.5  0.0676795
6  6.7  0.0563776
6  6.9  0.0471917
6  7.1  0.0395692
