# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 3.0
# ============================================================
# b  pD0  dsigma_dy
0  0.1  111.12
0  0.3  80.6022
0  0.5  55.0942
0  0.7  35.8918
0  0.9  22.8853
0  1.1  14.5069
0  1.3  9.20496
0  1.5  5.87622
0  1.7  3.78142
0  1.9  2.45349
0  2.1  1.60895
0  2.3  1.06477
0  2.5  0.711702
0  2.7  0.480653
0  2.9  0.32747
0  3.1  0.225176
0  3.3  0.156196
0  3.5  0.109242
0  3.7  0.0770342
0  3.9  0.0547293
0  4.1  0.0391746
0  4.3  0.0282106
0  4.5  0.0204726
0  4.7  0.014936
0  4.9  0.0109679
0  5.1  0.00809801
0  5.3  0.00601032
0  5.5  0.00448312
0  5.7  0.00336016
0  5.9  0.00253046
0  6.1  0.00191393
0  6.3  0.00145363
0  6.5  0.00110846
0  6.7  0.000847979
0  6.9  0.000651527
0  7.1  0.000502
0  7.3  0.00038827
0  7.5  0.000301405
0  7.7  0.00023446
0  7.9  0.00018311
0  8.1  0.000143359
0  8.3  0.000112443
0  8.5  8.84679e-05
0  8.7  6.97885e-05
0  8.9  5.51779e-05
0  9.1  4.37481e-05
0  9.3  3.47607e-05
0  9.5  2.7677e-05
0  9.7  2.20793e-05
0  9.9  1.765e-05
0  10.1  1.41382e-05
0  10.3  1.13435e-05
0  10.5  9.11794e-06
0  10.7  7.34283e-06
0  10.9  5.92792e-06
0  11.1  4.79025e-06
0  11.3  3.87491e-06
0  11.5  3.14153e-06
0  11.7  2.55169e-06
0  11.9  2.07444e-06
2  0.1  111.04
2  0.3  80.544
2  0.5  55.0538
2  0.7  35.8649
2  0.9  22.8676
2  1.1  14.4951
2  1.3  9.19714
2  1.5  5.871
2  1.7  3.77789
2  1.9  2.4511
2  2.1  1.60732
2  2.3  1.06365
2  2.5  0.710934
2  2.7  0.48012
2  2.9  0.327097
2  3.1  0.224912
2  3.3  0.156009
2  3.5  0.109109
2  3.7  0.076939
2  3.9  0.0546605
2  4.1  0.0391247
2  4.3  0.0281743
2  4.5  0.0204459
2  4.7  0.0149163
2  4.9  0.0109533
2  5.1  0.00808714
2  5.3  0.00600216
2  5.5  0.00447701
2  5.7  0.00335554
2  5.9  0.00252693
2  6.1  0.00191124
2  6.3  0.00145158
2  6.5  0.00110688
2  6.7  0.000846766
2  6.9  0.000650589
2  7.1  0.000501271
2  7.3  0.000387706
2  7.5  0.000300967
2  7.7  0.000234118
2  7.9  0.000182841
2  8.1  0.000143146
2  8.3  0.000112276
2  8.5  8.83364e-05
2  8.7  6.96843e-05
2  8.9  5.50952e-05
2  9.1  4.36822e-05
2  9.3  3.47083e-05
2  9.5  2.76351e-05
2  9.7  2.20457e-05
2  9.9  1.76231e-05
2  10.1  1.41166e-05
2  10.3  1.13261e-05
2  10.5  9.10387e-06
2  10.7  7.3314e-06
2  10.9  5.91874e-06
2  11.1  4.78281e-06
2  11.3  3.86884e-06
2  11.5  3.13659e-06
2  11.7  2.54768e-06
2  11.9  2.07118e-06
4  0.1  110.8
4  0.3  80.3675
4  0.5  54.9318
4  0.7  35.7838
4  0.9  22.8138
4  1.1  14.4595
4  1.3  9.17355
4  1.5  5.8551
4  1.7  3.76722
4  1.9  2.44385
4  2.1  1.6024
4  2.3  1.06027
4  2.5  0.708606
4  2.7  0.478477
4  2.9  0.325963
4  3.1  0.224118
4  3.3  0.155436
4  3.5  0.108708
4  3.7  0.0766495
4  3.9  0.0544477
4  4.1  0.0389662
4  4.3  0.0280634
4  4.5  0.0203514
4  4.7  0.0148616
4  4.9  0.0109097
4  5.1  0.00805456
4  5.3  0.0059777
4  5.5  0.00445876
4  5.7  0.00334173
4  5.9  0.00251603
4  6.1  0.00190265
4  6.3  0.00144501
4  6.5  0.00110225
4  6.7  0.000843097
4  6.9  0.000647571
4  7.1  0.000499083
4  7.3  0.000386067
4  7.5  0.000299694
4  7.7  0.000233247
4  7.9  0.000181925
4  8.1  0.000142508
4  8.3  0.000111836
4  8.5  8.79464e-05
4  8.7  6.93575e-05
4  8.9  5.48528e-05
4  9.1  4.3492e-05
4  9.3  3.45577e-05
4  9.5  2.75117e-05
4  9.7  2.19489e-05
4  9.9  1.75456e-05
4  10.1  1.40529e-05
4  10.3  1.12748e-05
4  10.5  9.06282e-06
4  10.7  7.30241e-06
4  10.9  5.88754e-06
4  11.1  4.75882e-06
4  11.3  3.85228e-06
4  11.5  3.12248e-06
4  11.7  2.53516e-06
4  11.9  2.06075e-06
6  0.1  110.394
6  0.3  80.0705
6  0.5  54.7267
6  0.7  35.647
6  0.9  22.7235
6  1.1  14.3997
6  1.3  9.13369
6  1.5  5.82854
6  1.7  3.74924
6  1.9  2.43171
6  2.1  1.59411
6  2.3  1.05459
6  2.5  0.704676
6  2.7  0.475775
6  2.9  0.324031
6  3.1  0.222781
6  3.3  0.154498
6  3.5  0.108036
6  3.7  0.0761689
6  3.9  0.0541047
6  4.1  0.038722
6  4.3  0.0278803
6  4.5  0.0202167
6  4.7  0.0147569
6  4.9  0.0108352
6  5.1  0.00799919
6  5.3  0.00593639
6  5.5  0.00442757
6  5.7  0.00331821
6  5.9  0.00249864
6  6.1  0.00188971
6  6.3  0.00143513
6  6.5  0.00109429
6  6.7  0.000837078
6  6.9  0.000643124
6  7.1  0.000495485
6  7.3  0.000383215
6  7.5  0.000297468
6  7.7  0.000231385
6  7.9  0.000180699
6  8.1  0.000141467
6  8.3  0.00011095
6  8.5  8.72889e-05
6  8.7  6.88549e-05
6  8.9  5.44356e-05
6  9.1  4.31599e-05
6  9.3  3.42919e-05
6  9.5  2.73025e-05
6  9.7  2.178e-05
6  9.9  1.74104e-05
6  10.1  1.3951e-05
6  10.3  1.11881e-05
6  10.5  8.99322e-06
6  10.7  7.24207e-06
6  10.9  5.84224e-06
6  11.1  4.72455e-06
6  11.3  3.82173e-06
6  11.5  3.09953e-06
6  11.7  2.51654e-06
6  11.9  2.04592e-06
8  0.1  109.812
8  0.3  79.6441
8  0.5  54.4322
8  0.7  35.4696
8  0.9  22.5937
8  1.1  14.3138
8  1.3  9.07661
8  1.5  5.79034
8  1.7  3.72347
8  1.9  2.41429
8  2.1  1.58223
8  2.3  1.04646
8  2.5  0.699055
8  2.7  0.471872
8  2.9  0.321308
8  3.1  0.220868
8  3.3  0.153142
8  3.5  0.10707
8  3.7  0.0754743
8  3.9  0.0536071
8  4.1  0.0383604
8  4.3  0.0276171
8  4.5  0.0200236
8  4.7  0.0146146
8  4.9  0.0107297
8  5.1  0.00792063
8  5.3  0.0058776
8  5.5  0.00438344
8  5.7  0.00328494
8  5.9  0.00247339
8  6.1  0.00187055
8  6.3  0.00142049
8  6.5  0.00108306
8  6.7  0.000828445
8  6.9  0.000636452
8  7.1  0.000490326
8  7.3  0.000379208
8  7.5  0.000294345
8  7.7  0.000228942
8  7.9  0.000178784
8  8.1  0.000139963
8  8.3  0.000109766
8  8.5  8.6354e-05
8  8.7  6.81167e-05
8  8.9  5.38505e-05
8  9.1  4.2694e-05
8  9.3  3.39208e-05
8  9.5  2.70067e-05
8  9.7  2.15432e-05
8  9.9  1.72206e-05
8  10.1  1.37933e-05
8  10.3  1.10658e-05
8  10.5  8.89426e-06
8  10.7  7.16221e-06
8  10.9  5.78194e-06
8  11.1  4.67203e-06
8  11.3  3.77903e-06
8  11.5  3.0637e-06
8  11.7  2.48832e-06
8  11.9  2.02204e-06
10  0.1  109.039
10  0.3  79.0773
10  0.5  54.0724
10  0.7  35.2089
10  0.9  22.4215
10  1.1  14.1997
10  1.3  9.00089
10  1.5  5.73972
10  1.7  3.68937
10  1.9  2.39121
10  2.1  1.56653
10  2.3  1.03577
10  2.5  0.691801
10  2.7  0.466705
10  2.9  0.317704
10  3.1  0.218338
10  3.3  0.151344
10  3.5  0.105796
10  3.7  0.0745496
10  3.9  0.052947
10  4.1  0.0378776
10  4.3  0.027269
10  4.5  0.0197686
10  4.7  0.0144319
10  4.9  0.0105915
10  5.1  0.00781755
10  5.3  0.00580056
10  5.5  0.00432569
10  5.7  0.00324128
10  5.9  0.00243989
10  6.1  0.00184471
10  6.3  0.00140074
10  6.5  0.00106781
10  6.7  0.000816985
10  6.9  0.000627426
10  7.1  0.000483472
10  7.3  0.000373934
10  7.5  0.000290266
10  7.7  0.000225878
10  7.9  0.000176161
10  8.1  0.000137974
10  8.3  0.000108266
10  8.5  8.51237e-05
10  8.7  6.71263e-05
10  8.9  5.30817e-05
10  9.1  4.20864e-05
10  9.3  3.3438e-05
10  9.5  2.66175e-05
10  9.7  2.12344e-05
10  9.9  1.69824e-05
10  10.1  1.35922e-05
10  10.3  1.09081e-05
10  10.5  8.7672e-06
10  10.7  7.0585e-06
10  10.9  5.69363e-06
10  11.1  4.60111e-06
10  11.3  3.72552e-06
10  11.5  3.01917e-06
10  11.7  2.45146e-06
10  11.9  1.99218e-06
12  0.1  108.055
12  0.3  78.3565
12  0.5  53.5676
12  0.7  34.8774
12  0.9  22.2026
12  1.1  14.0548
12  1.3  8.90466
12  1.5  5.67545
12  1.7  3.64605
12  1.9  2.36197
12  2.1  1.54662
12  2.3  1.02214
12  2.5  0.682405
12  2.7  0.460172
12  2.9  0.313173
12  3.1  0.215146
12  3.3  0.149087
12  3.5  0.104192
12  3.7  0.0734123
12  3.9  0.0521187
12  4.1  0.0372789
12  4.3  0.026832
12  4.5  0.0194482
12  4.7  0.014191
12  4.9  0.0104158
12  5.1  0.00768687
12  5.3  0.00570284
12  5.5  0.00425219
12  5.7  0.00318584
12  5.9  0.00239833
12  6.1  0.00181341
12  6.3  0.00137687
12  6.5  0.00104962
12  6.7  0.000802706
12  6.9  0.000616594
12  7.1  0.000474949
12  7.3  0.000367354
12  7.5  0.00028494
12  7.7  0.000221679
12  7.9  0.000173008
12  8.1  0.000135384
12  8.3  0.000106246
12  8.5  8.35753e-05
12  8.7  6.58975e-05
12  8.9  5.21072e-05
12  9.1  4.13083e-05
12  9.3  3.28164e-05
