# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=2*mt0=3.00666)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1237.32
0  0.3  704.039
0  0.5  468.647
0  0.7  321.587
0  0.9  222.248
0  1.1  153.426
0  1.3  106.002
0  1.5  73.4269
0  1.7  51.0931
0  1.9  35.9076
0  2.1  25.4812
0  2.3  18.312
0  2.5  13.3168
0  2.7  9.80949
0  2.9  7.31402
0  3.1  5.52098
0  3.3  4.22042
0  3.5  3.26329
0  3.7  2.54978
0  3.9  2.01172
0  4.1  1.60184
0  4.3  1.31389
0  4.5  1.09146
0  4.7  0.914283
0  4.9  0.771427
0  5.1  0.655367
0  5.3  0.560163
0  5.5  0.481254
0  5.7  0.415808
0  5.9  0.36117
0  6.1  0.315215
0  6.3  0.276085
0  6.5  0.242954
0  6.7  0.214653
0  6.9  0.190384
0  7.1  0.169435
0  7.3  0.151078
0  7.5  0.135236
0  7.7  0.121555
0  7.9  0.109334
0  8.1  0.0987867
0  8.3  0.0892639
0  8.5  0.0809865
0  8.7  0.0735627
0  8.9  0.0670426
0  9.1  0.0612695
0  9.3  0.0560521
0  9.5  0.0513516
0  9.7  0.04714
0  9.9  0.0433435
0  10.1  0.0399371
0  10.3  0.0368215
0  10.5  0.0340513
0  10.7  0.0314952
0  10.9  0.0291472
0  11.1  0.0270725
0  11.3  0.0251718
0  11.5  0.0234155
0  11.7  0.0218015
0  11.9  0.0203194
2  0.1  1235.77
2  0.3  703.086
2  0.5  467.993
2  0.7  321.152
2  0.9  221.885
2  1.1  153.194
2  1.3  105.834
2  1.5  73.3003
2  1.7  51.0022
2  1.9  35.8375
2  2.1  25.4343
2  2.3  18.2761
2  2.5  13.2908
2  2.7  9.78898
2  2.9  7.29968
2  3.1  5.51016
2  3.3  4.21208
2  3.5  3.25682
2  3.7  2.54501
2  3.9  2.00806
2  4.1  1.59868
2  4.3  1.31132
2  4.5  1.08971
2  4.7  0.912494
2  4.9  0.769941
2  5.1  0.65411
2  5.3  0.558729
2  5.5  0.480337
2  5.7  0.415011
2  5.9  0.36045
2  6.1  0.314578
2  6.3  0.275605
2  6.5  0.242462
2  6.7  0.214226
2  6.9  0.189885
2  7.1  0.169106
2  7.3  0.150939
2  7.5  0.135108
2  7.7  0.121132
2  7.9  0.109037
2  8.1  0.0985047
2  8.3  0.0890878
2  8.5  0.0808319
2  8.7  0.0734334
2  8.9  0.067006
2  9.1  0.0611521
2  9.3  0.0559486
2  9.5  0.0512644
2  9.7  0.0469829
2  9.9  0.0432593
2  10.1  0.0398584
2  10.3  0.0367482
2  10.5  0.0339861
2  10.7  0.0314267
2  10.9  0.0290908
2  11.1  0.0270063
2  11.3  0.0251224
2  11.5  0.0233459
2  11.7  0.0217532
2  11.9  0.0202998
4  0.1  1231.04
4  0.3  700.375
4  0.5  466.169
4  0.7  319.912
4  0.9  220.938
4  1.1  152.421
4  1.3  105.306
4  1.5  72.9189
4  1.7  50.7278
4  1.9  35.6393
4  2.1  25.2892
4  2.3  18.1708
4  2.5  13.2131
4  2.7  9.73115
4  2.9  7.2576
4  3.1  5.47857
4  3.3  4.18697
4  3.5  3.23739
4  3.7  2.52978
4  3.9  1.99609
4  4.1  1.58908
4  4.3  1.30323
4  4.5  1.08285
4  4.7  0.907096
4  4.9  0.765386
4  5.1  0.650185
4  5.3  0.555532
4  5.5  0.477485
4  5.7  0.412565
4  5.9  0.358246
4  6.1  0.312724
4  6.3  0.27399
4  6.5  0.241161
4  6.7  0.212995
4  6.9  0.188781
4  7.1  0.168119
4  7.3  0.150059
4  7.5  0.134186
4  7.7  0.12063
4  7.9  0.108403
4  8.1  0.0979551
4  8.3  0.0885699
4  8.5  0.0803622
4  8.7  0.0731313
4  8.9  0.0664974
4  9.1  0.0607976
4  9.3  0.0556209
4  9.5  0.0509592
4  9.7  0.0467767
4  9.9  0.0430104
4  10.1  0.0395904
4  10.3  0.0365313
4  10.5  0.0337877
4  10.7  0.0312649
4  10.9  0.0289714
4  11.1  0.026833
4  11.3  0.0249784
4  11.5  0.0232084
4  11.7  0.0216439
4  11.9  0.020185
6  0.1  1223.07
6  0.3  695.787
6  0.5  462.963
6  0.7  317.682
6  0.9  219.29
6  1.1  151.218
6  1.3  104.383
6  1.5  72.2122
6  1.7  50.2983
6  1.9  35.3163
6  2.1  25.046
6  2.3  17.9856
6  2.5  13.0817
6  2.7  9.63341
6  2.9  7.18485
6  3.1  5.42682
6  3.3  4.14483
6  3.5  3.20473
6  3.7  2.5045
6  3.9  1.97583
6  4.1  1.57289
6  4.3  1.29008
6  4.5  1.07219
6  4.7  0.898094
6  4.9  0.75773
6  5.1  0.643911
6  5.3  0.550038
6  5.5  0.472831
6  5.7  0.408519
6  5.9  0.354725
6  6.1  0.309522
6  6.3  0.271305
6  6.5  0.238685
6  6.7  0.210866
6  6.9  0.187058
6  7.1  0.166456
6  7.3  0.148562
6  7.5  0.132861
6  7.7  0.119348
6  7.9  0.107358
6  8.1  0.0969616
6  8.3  0.0876992
6  8.5  0.0796048
6  8.7  0.0723237
6  8.9  0.0659579
6  9.1  0.0601791
6  9.3  0.0550709
6  9.5  0.050457
6  9.7  0.0463192
6  9.9  0.0425848
6  10.1  0.0392361
6  10.3  0.0361681
6  10.5  0.0334531
6  10.7  0.030948
6  10.9  0.0286829
6  11.1  0.0265636
6  11.3  0.0247307
6  11.5  0.0229905
6  11.7  0.0214092
6  11.9  0.0199648
8  0.1  1211.53
8  0.3  689.073
8  0.5  458.505
8  0.7  314.487
8  0.9  216.945
8  1.1  149.595
8  1.3  103.125
8  1.5  71.2968
8  1.7  49.634
8  1.9  34.831
8  2.1  24.7099
8  2.3  17.7449
8  2.5  12.8982
8  2.7  9.49387
8  2.9  7.08238
8  3.1  5.34833
8  3.3  4.08596
8  3.5  3.15852
8  3.7  2.4679
8  3.9  1.94758
8  4.1  1.55004
8  4.3  1.27153
8  4.5  1.05651
8  4.7  0.885095
8  4.9  0.746868
8  5.1  0.634708
8  5.3  0.542076
8  5.5  0.466258
8  5.7  0.402645
8  5.9  0.349824
8  6.1  0.305253
8  6.3  0.267477
8  6.5  0.235449
8  6.7  0.207912
8  6.9  0.184396
8  7.1  0.164125
8  7.3  0.146477
8  7.5  0.131123
8  7.7  0.117676
8  7.9  0.105825
8  8.1  0.095573
8  8.3  0.0865853
8  8.5  0.0784317
8  8.7  0.0713005
8  8.9  0.0649397
8  9.1  0.0593357
8  9.3  0.0542546
8  9.5  0.0497524
8  9.7  0.045672
8  9.9  0.0419878
8  10.1  0.0386411
8  10.3  0.0356483
8  10.5  0.0329828
8  10.7  0.0305091
8  10.9  0.0282791
8  11.1  0.0262444
8  11.3  0.0243629
8  11.5  0.0226481
8  11.7  0.0211151
8  11.9  0.019706
10  0.1  1196.65
10  0.3  680.34
10  0.5  452.521
10  0.7  310.222
10  0.9  213.876
10  1.1  147.354
10  1.3  101.484
10  1.5  70.099
10  1.7  48.7744
10  1.9  34.2177
10  2.1  24.2383
10  2.3  17.4141
10  2.5  12.6539
10  2.7  9.3135
10  2.9  6.94716
10  3.1  5.24549
10  3.3  4.00749
10  3.5  3.09764
10  3.7  2.42067
10  3.9  1.91028
10  4.1  1.52069
10  4.3  1.24751
10  4.5  1.03663
10  4.7  0.86823
10  4.9  0.732703
10  5.1  0.622499
10  5.3  0.532067
10  5.5  0.457444
10  5.7  0.395095
10  5.9  0.343195
10  6.1  0.2995
10  6.3  0.262498
10  6.5  0.231042
10  6.7  0.203948
10  6.9  0.180942
10  7.1  0.160972
10  7.3  0.143759
10  7.5  0.128532
10  7.7  0.115367
10  7.9  0.104021
10  8.1  0.0938337
10  8.3  0.0848742
10  8.5  0.0769956
10  8.7  0.0699852
10  8.9  0.0637232
10  9.1  0.058255
10  9.3  0.0532856
10  9.5  0.0488211
10  9.7  0.0447624
10  9.9  0.0412268
10  10.1  0.0379255
10  10.3  0.0350302
10  10.5  0.0323748
10  10.7  0.0299536
10  10.9  0.0277587
10  11.1  0.0257167
10  11.3  0.0239114
10  11.5  0.0222451
10  11.7  0.0207216
10  11.9  0.0193351
12  0.1  1177.97
12  0.3  669.231
12  0.5  445.022
12  0.7  304.975
12  0.9  209.946
12  1.1  144.363
12  1.3  99.4611
12  1.5  68.5948
12  1.7  47.6994
12  1.9  33.4268
12  2.1  23.687
12  2.3  16.9901
12  2.5  12.3422
12  2.7  9.09016
12  2.9  6.77844
12  3.1  5.11868
12  3.3  3.90906
12  3.5  3.02266
12  3.7  2.36185
12  3.9  1.86342
12  4.1  1.48345
12  4.3  1.21684
12  4.5  1.01123
12  4.7  0.847279
12  4.9  0.715035
12  5.1  0.607708
12  5.3  0.519089
12  5.5  0.4463
12  5.7  0.385683
12  5.9  0.334994
12  6.1  0.292418
12  6.3  0.256118
12  6.5  0.225489
12  6.7  0.199212
12  6.9  0.176642
12  7.1  0.157155
12  7.3  0.140349
12  7.5  0.125643
12  7.7  0.112636
12  7.9  0.101421
12  8.1  0.0916261
12  8.3  0.0828834
12  8.5  0.0752547
12  8.7  0.0684152
12  8.9  0.0623372
12  9.1  0.0568891
12  9.3  0.0520405
12  9.5  0.0476842
12  9.7  0.0437434
12  9.9  0.0402441
12  10.1  0.0370815
12  10.3  0.0342171
12  10.5  0.0316131
12  10.7  0.0292522
12  10.9  0.0271101
12  11.1  0.0251464
12  11.3  0.0233392
12  11.5  0.0217196
12  11.7  0.0202532
12  11.9  0.0188852
14  0.1  1153.9
14  0.3  655.337
14  0.5  435.766
14  0.7  298.281
14  0.9  205.153
14  1.1  140.871
14  1.3  96.871
14  1.5  66.8087
14  1.7  46.3569
14  1.9  32.4704
14  2.1  22.9957
14  2.3  16.4968
14  2.5  11.9711
14  2.7  8.8177
14  2.9  6.57101
14  3.1  4.96253
14  3.3  3.79192
14  3.5  2.93057
14  3.7  2.28946
14  3.9  1.80642
14  4.1  1.43813
14  4.3  1.17982
14  4.5  0.980422
14  4.7  0.82158
14  4.9  0.693319
14  5.1  0.589157
14  5.3  0.503581
14  5.5  0.432975
14  5.7  0.374017
14  5.9  0.324945
14  6.1  0.28353
14  6.3  0.248425
14  6.5  0.218604
14  6.7  0.193106
14  6.9  0.171382
14  7.1  0.152543
14  7.3  0.135993
14  7.5  0.121917
14  7.7  0.10946
14  7.9  0.0985367
14  8.1  0.0888481
14  8.3  0.0804228
14  8.5  0.0729979
14  8.7  0.0663674
14  8.9  0.0604631
14  9.1  0.0551605
14  9.3  0.0504888
14  9.5  0.0462317
14  9.7  0.0424609
14  9.9  0.0390487
14  10.1  0.0359703
14  10.3  0.0331546
14  10.5  0.0306645
14  10.7  0.0283627
14  10.9  0.0262594
14  11.1  0.0244064
14  11.3  0.022659
14  11.5  0.0210841
14  11.7  0.0196084
14  11.9  0.0183131
16  0.1  1124.8
16  0.3  638.681
16  0.5  424.403
16  0.7  290.169
16  0.9  199.247
16  1.1  136.615
16  1.3  93.7855
16  1.5  64.6046
16  1.7  44.7682
16  1.9  31.324
16  2.1  22.1636
16  2.3  15.8824
16  2.5  11.5358
16  2.7  8.48456
16  2.9  6.32482
16  3.1  4.77332
16  3.3  3.64822
16  3.5  2.81964
16  3.7  2.20303
16  3.9  1.73818
16  4.1  1.38359
16  4.3  1.13531
16  4.5  0.943871
16  4.7  0.790979
16  4.9  0.667525
16  5.1  0.567377
16  5.3  0.484628
16  5.5  0.416731
16  5.7  0.360219
16  5.9  0.312869
16  6.1  0.273177
16  6.3  0.239144
16  6.5  0.210644
16  6.7  0.186148
16  6.9  0.164949
16  7.1  0.146846
16  7.3  0.131114
16  7.5  0.117347
16  7.7  0.105268
16  7.9  0.0947719
16  8.1  0.0856702
16  8.3  0.077473
16  8.5  0.0702813
16  8.7  0.0639361
16  8.9  0.0582259
16  9.1  0.0531704
16  9.3  0.0485737
16  9.5  0.0445075
16  9.7  0.0409122
16  9.9  0.037612
16  10.1  0.0346572
16  10.3  0.0319734
16  10.5  0.0295186
16  10.7  0.0273345
16  10.9  0.0253326
16  11.1  0.0235044
16  11.3  0.0218158
16  11.5  0.0203122
16  11.7  0.0189043
16  11.9  0.0176446
18  0.1  1090.38
18  0.3  618.506
18  0.5  410.611
18  0.7  280.366
18  0.9  192.217
18  1.1  131.61
18  1.3  90.1299
18  1.5  61.9205
18  1.7  42.8674
18  1.9  29.9508
18  2.1  21.1824
18  2.3  15.1679
18  2.5  11.0075
18  2.7  8.09541
18  2.9  6.0337
18  3.1  4.55429
18  3.3  3.4778
18  3.5  2.68869
18  3.7  2.10069
18  3.9  1.65728
18  4.1  1.31947
18  4.3  1.08244
18  4.5  0.900082
18  4.7  0.75414
18  4.9  0.636558
18  5.1  0.541122
18  5.3  0.462491
18  5.5  0.397825
18  5.7  0.343598
18  5.9  0.29849
18  6.1  0.260326
18  6.3  0.228351
18  6.5  0.201008
18  6.7  0.177523
18  6.9  0.157329
18  7.1  0.140171
18  7.3  0.125101
18  7.5  0.112012
18  7.7  0.100439
18  7.9  0.0905292
18  8.1  0.0817639
18  8.3  0.0738807
18  8.5  0.067067
18  8.7  0.0609288
18  8.9  0.0555728
18  9.1  0.0507294
18  9.3  0.046377
18  9.5  0.0425173
18  9.7  0.0390293
18  9.9  0.0358882
18  10.1  0.0330575
18  10.3  0.0305076
18  10.5  0.0281813
18  10.7  0.0260811
18  10.9  0.0241366
18  11.1  0.0224091
18  11.3  0.0208397
18  11.5  0.0193732
18  11.7  0.0180558
18  11.9  0.0168274
20  0.1  1048.04
20  0.3  593.896
20  0.5  393.506
20  0.7  268.499
20  0.9  183.649
20  1.1  125.413
20  1.3  85.6164
20  1.5  58.7467
20  1.7  40.5818
20  1.9  28.3196
20  2.1  20.0008
20  2.3  14.3089
20  2.5  10.3831
20  2.7  7.63298
20  2.9  5.68529
20  3.1  4.29078
20  3.3  3.27728
20  3.5  2.53348
20  3.7  1.97918
20  3.9  1.56148
20  4.1  1.24291
20  4.3  1.0202
20  4.5  0.848157
20  4.7  0.71098
20  4.9  0.600257
20  5.1  0.510185
20  5.3  0.436204
20  5.5  0.375066
20  5.7  0.324145
20  5.9  0.281649
20  6.1  0.245872
20  6.3  0.215487
20  6.5  0.189703
20  6.7  0.167601
20  6.9  0.148682
20  7.1  0.132328
20  7.3  0.118119
20  7.5  0.105632
20  7.7  0.094852
20  7.9  0.0855208
20  8.1  0.0771116
20  8.3  0.0698765
20  8.5  0.0633387
20  8.7  0.0575949
20  8.9  0.052503
20  9.1  0.0478984
20  9.3  0.0438113
20  9.5  0.0401757
20  9.7  0.0368843
20  9.9  0.0339148
20  10.1  0.0312389
20  10.3  0.0288215
20  10.5  0.0266432
20  10.7  0.0246538
20  10.9  0.0228301
20  11.1  0.0211846
20  11.3  0.0196913
20  11.5  0.018313
20  11.7  0.017052
20  11.9  0.0159236
22  0.1  995.441
22  0.3  563.587
22  0.5  373.403
22  0.7  254.108
22  0.9  173.185
22  1.1  117.875
22  1.3  80.2724
22  1.5  54.9141
22  1.7  37.8603
22  1.9  26.3749
22  2.1  18.6039
22  2.3  13.3007
22  2.5  9.63105
22  2.7  7.08449
22  2.9  5.27645
22  3.1  3.98045
22  3.3  3.03942
22  3.5  2.34957
22  3.7  1.83557
22  3.9  1.44764
22  4.1  1.15233
22  4.3  0.945975
22  4.5  0.786631
22  4.7  0.659635
22  4.9  0.556891
22  5.1  0.473455
22  5.3  0.404656
22  5.5  0.347968
22  5.7  0.300765
22  5.9  0.261338
22  6.1  0.22819
22  6.3  0.200141
22  6.5  0.176094
22  6.7  0.155577
22  6.9  0.13801
22  7.1  0.122837
22  7.3  0.109669
22  7.5  0.098148
22  7.7  0.0881918
22  7.9  0.0794094
22  8.1  0.0715873
22  8.3  0.0647942
22  8.5  0.0588079
22  8.7  0.0535121
22  8.9  0.0487545
22  9.1  0.0445042
22  9.3  0.0406896
22  9.5  0.037232
22  9.7  0.0342351
22  9.9  0.0314964
22  10.1  0.0290127
22  10.3  0.0267524
22  10.5  0.0247139
22  10.7  0.0228753
22  10.9  0.0211995
22  11.1  0.0196727
22  11.3  0.0182899
22  11.5  0.0170109
22  11.7  0.0158556
22  11.9  0.0147879
24  0.1  929.838
24  0.3  525.865
24  0.5  347.891
24  0.7  236.2
24  0.9  160.315
24  1.1  108.708
24  1.3  73.7239
24  1.5  50.297
24  1.7  34.5793
24  1.9  24.0282
24  2.1  16.9271
24  2.3  12.0862
24  2.5  8.74846
24  2.7  6.42882
24  2.9  4.78764
24  3.1  3.60963
24  3.3  2.75582
24  3.5  2.1301
24  3.7  1.66431
24  3.9  1.31269
24  4.1  1.04433
24  4.3  0.857214
24  4.5  0.713028
24  4.7  0.598209
24  4.9  0.504993
24  5.1  0.4292
24  5.3  0.367158
24  5.5  0.315677
24  5.7  0.272838
24  5.9  0.237128
24  6.1  0.206901
24  6.3  0.181451
24  6.5  0.159763
24  6.7  0.141083
24  6.9  0.125223
24  7.1  0.11144
24  7.3  0.0995273
24  7.5  0.0889951
24  7.7  0.0799328
24  7.9  0.0719431
24  8.1  0.0649394
24  8.3  0.058871
24  8.5  0.0533974
24  8.7  0.048538
24  8.9  0.0442269
24  9.1  0.0403773
24  9.3  0.0369362
24  9.5  0.033803
24  9.7  0.0310269
24  9.9  0.028566
24  10.1  0.0263211
24  10.3  0.0242571
24  10.5  0.0224204
24  10.7  0.0207528
24  10.9  0.019241
24  11.1  0.0178181
24  11.3  0.0165766
24  11.5  0.0154374
24  11.7  0.0143673
24  11.9  0.0133913
26  0.1  847.689
26  0.3  478.846
26  0.5  316.209
26  0.7  213.887
26  0.9  144.529
26  1.1  97.4463
26  1.3  65.7801
26  1.5  44.6751
26  1.7  30.6128
26  1.9  21.2267
26  2.1  14.9196
26  2.3  10.63
26  2.5  7.69949
26  2.7  5.64771
26  2.9  4.20447
26  3.1  3.16958
26  3.3  2.41873
26  3.5  1.86873
26  3.7  1.45991
26  3.9  1.15093
26  4.1  0.916038
26  4.3  0.752032
26  4.5  0.62581
26  4.7  0.52503
26  4.9  0.443276
26  5.1  0.376957
26  5.3  0.322346
26  5.5  0.277281
26  5.7  0.239737
26  5.9  0.208261
26  6.1  0.181888
