# fragmentation : LHAPDF (data/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=2*mt0=3.00666)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 4.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  17.619
0  0.3  8.44477
0  0.5  4.45623
0  0.7  2.2863
0  0.9  1.14886
0  1.1  0.574116
0  1.3  0.287321
0  1.5  0.144729
0  1.7  0.0734934
0  1.9  0.0377716
0  2.1  0.0196208
0  2.3  0.0103098
0  2.5  0.00548372
0  2.7  0.00294771
0  2.9  0.00160322
0  3.1  0.000880677
0  3.3  0.000488748
0  3.5  0.000273983
0  3.7  0.000154929
0  3.9  8.84274e-05
0  4.1  5.08598e-05
0  4.3  2.9506e-05
0  4.5  1.72359e-05
0  4.7  1.01441e-05
0  4.9  6.01078e-06
0  5.1  3.58515e-06
0  5.3  2.15082e-06
0  5.5  1.29861e-06
0  5.7  7.87655e-07
0  5.9  4.80844e-07
0  6.1  2.94868e-07
0  6.3  1.81739e-07
0  6.5  1.12539e-07
0  6.7  6.99665e-08
0  6.9  4.37164e-08
0  7.1  2.74105e-08
0  7.3  1.7253e-08
0  7.5  1.09075e-08
0  7.7  6.91722e-09
0  7.9  4.4008e-09
0  8.1  2.81038e-09
0  8.3  1.8004e-09
0  8.5  1.15649e-09
0  8.7  7.45411e-10
0  8.9  4.81826e-10
0  9.1  3.12206e-10
0  9.3  2.02928e-10
0  9.5  1.32244e-10
0  9.7  8.64009e-11
0  9.9  5.65291e-11
0  10.1  3.71052e-11
0  10.3  2.44081e-11
0  10.5  1.60883e-11
0  10.7  1.06236e-11
0  10.9  7.03493e-12
0  11.1  4.66678e-12
0  11.3  3.1023e-12
0  11.5  2.06519e-12
0  11.7  1.37806e-12
0  11.9  9.21527e-13
2  0.1  17.6077
2  0.3  8.43932
2  0.5  4.45329
2  0.7  2.28476
2  0.9  1.14805
2  1.1  0.573692
2  1.3  0.2871
2  1.5  0.144613
2  1.7  0.0734321
2  1.9  0.0377385
2  2.1  0.019603
2  2.3  0.0102999
2  2.5  0.00547852
2  2.7  0.00294477
2  2.9  0.00160157
2  3.1  0.000879743
2  3.3  0.000488218
2  3.5  0.000273679
2  3.7  0.000154754
2  3.9  8.83261e-05
2  4.1  5.08005e-05
2  4.3  2.94711e-05
2  4.5  1.72152e-05
2  4.7  1.01318e-05
2  4.9  6.00341e-06
2  5.1  3.58072e-06
2  5.3  2.14814e-06
2  5.5  1.29698e-06
2  5.7  7.86657e-07
2  5.9  4.8023e-07
2  6.1  2.94489e-07
2  6.3  1.81504e-07
2  6.5  1.12378e-07
2  6.7  6.98745e-08
2  6.9  4.36587e-08
2  7.1  2.73741e-08
2  7.3  1.72299e-08
2  7.5  1.08929e-08
2  7.7  6.9079e-09
2  7.9  4.39498e-09
2  8.1  2.80667e-09
2  8.3  1.79802e-09
2  8.5  1.15496e-09
2  8.7  7.4442e-10
2  8.9  4.81186e-10
2  9.1  3.1177e-10
2  9.3  2.02643e-10
2  9.5  1.32058e-10
2  9.7  8.62789e-11
2  9.9  5.6449e-11
2  10.1  3.70523e-11
2  10.3  2.43732e-11
2  10.5  1.60654e-11
2  10.7  1.06084e-11
2  10.9  7.02494e-12
2  11.1  4.66004e-12
2  11.3  3.09779e-12
2  11.5  2.06236e-12
2  11.7  1.37604e-12
2  11.9  9.20171e-13
4  0.1  17.5737
4  0.3  8.42287
4  0.5  4.44444
4  0.7  2.28009
4  0.9  1.14562
