# fragmentation : HymnD (inputs/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=4*mt0=6.01332)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -3.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1573.68
0  0.3  742.732
0  0.5  449.564
0  0.7  290.482
0  0.9  191.827
0  1.1  127.726
0  1.3  85.6697
0  1.5  58.0595
0  1.7  39.854
0  1.9  27.7873
0  2.1  19.6948
0  2.3  14.2231
0  2.5  10.4474
0  2.7  7.81172
0  2.9  5.93628
0  3.1  4.57864
0  3.3  3.57947
0  3.5  2.8371
0  3.7  2.27687
0  3.9  1.84663
0  4.1  1.51181
0  4.3  1.25099
0  4.5  1.04312
0  4.7  0.876129
0  4.9  0.741816
0  5.1  0.631665
0  5.3  0.541496
0  5.5  0.466849
0  5.7  0.404667
0  5.9  0.352597
0  6.1  0.308522
0  6.3  0.271259
0  6.5  0.239342
0  6.7  0.212037
0  6.9  0.188359
0  7.1  0.167906
0  7.3  0.150559
0  7.5  0.135131
0  7.7  0.121631
0  7.9  0.109583
0  8.1  0.0993442
0  8.3  0.0901063
0  8.5  0.0818633
0  8.7  0.0746569
0  8.9  0.0681126
0  9.1  0.0623649
0  9.3  0.0571321
0  9.5  0.0524894
0  9.7  0.0483395
0  9.9  0.0445778
0  10.1  0.0411512
0  10.3  0.0380535
0  10.5  0.0352255
0  10.7  0.0326854
0  10.9  0.0303613
0  11.1  0.0281769
0  11.3  0.026279
0  11.5  0.0244976
0  11.7  0.0228676
0  11.9  0.0213726
2  0.1  1571.77
2  0.3  741.629
2  0.5  448.896
2  0.7  290.032
2  0.9  191.495
2  1.1  127.496
2  1.3  85.5108
2  1.5  57.9479
2  1.7  39.7599
2  1.9  27.7324
2  2.1  19.6548
2  2.3  14.2012
2  2.5  10.431
2  2.7  7.79586
2  2.9  5.92412
2  3.1  4.56926
2  3.3  3.57224
2  3.5  2.8314
2  3.7  2.27058
2  3.9  1.84296
2  4.1  1.5089
2  4.3  1.2485
2  4.5  1.04112
2  4.7  0.874426
2  4.9  0.740355
2  5.1  0.630391
2  5.3  0.540465
2  5.5  0.465921
2  5.7  0.403887
2  5.9  0.351908
2  6.1  0.307918
2  6.3  0.270724
2  6.5  0.239006
2  6.7  0.211659
2  6.9  0.187994
2  7.1  0.167586
2  7.3  0.150221
2  7.5  0.134861
2  7.7  0.121267
2  7.9  0.109383
2  8.1  0.0991354
2  8.3  0.0899382
2  8.5  0.0816999
2  8.7  0.0743714
2  8.9  0.0680283
2  9.1  0.0621243
2  9.3  0.0570236
2  9.5  0.0524071
2  9.7  0.048248
2  9.9  0.0444971
2  10.1  0.0410721
2  10.3  0.0379312
2  10.5  0.0351757
2  10.7  0.0326235
2  10.9  0.030302
2  11.1  0.0281166
2  11.3  0.0262078
2  11.5  0.0244448
2  11.7  0.0228242
2  11.9  0.0213229
4  0.1  1565.62
4  0.3  738.357
4  0.5  446.955
4  0.7  288.647
4  0.9  190.544
4  1.1  126.814
4  1.3  85.0315
4  1.5  57.6152
4  1.7  39.5237
4  1.9  27.5628
4  2.1  19.5481
4  2.3  14.1117
4  2.5  10.3618
4  2.7  7.74868
4  2.9  5.88596
4  3.1  4.54108
4  3.3  3.55065
4  3.5  2.81424
4  3.7  2.25682
4  3.9  1.83219
4  4.1  1.50008
4  4.3  1.24089
4  4.5  1.03499
4  4.7  0.869317
4  4.9  0.735861
4  5.1  0.62669
4  5.3  0.537474
4  5.5  0.46316
4  5.7  0.401587
4  5.9  0.349859
4  6.1  0.30614
4  6.3  0.269135
4  6.5  0.237298
4  6.7  0.210463
4  6.9  0.186912
4  7.1  0.166667
4  7.3  0.149375
4  7.5  0.134084
4  7.7  0.120662
4  7.9  0.108732
4  8.1  0.0985724
4  8.3  0.0894198
4  8.5  0.0812326
4  8.7  0.0739645
4  8.9  0.0675845
4  9.1  0.0617997
4  9.3  0.0566915
4  9.5  0.0520997
4  9.7  0.0479696
4  9.9  0.0442053
4  10.1  0.0407704
4  10.3  0.0377058
4  10.5  0.0349642
4  10.7  0.0324315
4  10.9  0.0300753
4  11.1  0.0279561
4  11.3  0.02608
4  11.5  0.0243035
4  11.7  0.0226745
4  11.9  0.0211927
6  0.1  1553.84
6  0.3  732.916
6  0.5  443.658
6  0.7  286.268
6  0.9  188.906
6  1.1  125.672
6  1.3  84.2264
6  1.5  57.0432
