# fragmentation : HymnD (inputs/prompt-D0-1-109/prompt-D0-1-109_0000.dat, member 0, Q=4*mt0=6.01332)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 4.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  22.8659
0  0.3  8.92945
0  0.5  4.29793
0  0.7  2.08925
0  0.9  1.01453
0  1.1  0.494636
0  1.3  0.243064
0  1.5  0.120871
0  1.7  0.0607721
0  1.9  0.0309659
0  2.1  0.0159762
0  2.3  0.00835417
0  2.5  0.00441937
0  2.7  0.00236947
0  2.9  0.00128389
0  3.1  0.000703415
0  3.3  0.000389597
0  3.5  0.000217865
0  3.7  0.000122988
0  3.9  7.00804e-05
0  4.1  4.02638e-05
0  4.3  2.33241e-05
0  4.5  1.36127e-05
0  4.7  7.99974e-06
0  4.9  4.73659e-06
0  5.1  2.8226e-06
0  5.3  1.69242e-06
0  5.5  1.02085e-06
0  5.7  6.19127e-07
0  5.9  3.77561e-07
0  6.1  2.31356e-07
0  6.3  1.42546e-07
0  6.5  8.8204e-08
0  6.7  5.48215e-08
0  6.9  3.4239e-08
0  7.1  2.14519e-08
0  7.3  1.35014e-08
0  7.5  8.53007e-09
0  7.7  5.40623e-09
0  7.9  3.4401e-09
0  8.1  2.19581e-09
0  8.3  1.40581e-09
0  8.5  9.03019e-10
0  8.7  5.81883e-10
0  8.9  3.75972e-10
0  9.1  2.4364e-10
0  9.3  1.58289e-10
0  9.5  1.03117e-10
0  9.7  6.73199e-11
0  9.9  4.4065e-11
0  10.1  2.89221e-11
0  10.3  1.90143e-11
0  10.5  1.25278e-11
0  10.7  8.27762e-12
0  10.9  5.47876e-12
0  11.1  3.63348e-12
0  11.3  2.41368e-12
0  11.5  1.60766e-12
0  11.7  1.07292e-12
0  11.9  7.16832e-13
2  0.1  22.8512
2  0.3  8.92366
2  0.5  4.29508
2  0.7  2.08783
2  0.9  1.01381
2  1.1  0.494268
2  1.3  0.242875
2  1.5  0.120772
2  1.7  0.0607211
2  1.9  0.0309385
2  2.1  0.0159615
2  2.3  0.00834624
2  2.5  0.00441517
2  2.7  0.0023671
2  2.9  0.00128255
2  3.1  0.000702665
2  3.3  0.000389174
2  3.5  0.000217623
2  3.7  0.000122849
2  3.9  6.99999e-05
2  4.1  4.02168e-05
2  4.3  2.32964e-05
2  4.5  1.35964e-05
2  4.7  7.99004e-06
2  4.9  4.73077e-06
2  5.1  2.81911e-06
2  5.3  1.6903e-06
2  5.5  1.01957e-06
2  5.7  6.18343e-07
2  5.9  3.7708e-07
2  6.1  2.31059e-07
2  6.3  1.42362e-07
2  6.5  8.8089e-08
2  6.7  5.47495e-08
2  6.9  3.41938e-08
2  7.1  2.14234e-08
2  7.3  1.34833e-08
2  7.5  8.51861e-09
2  7.7  5.39892e-09
2  7.9  3.43555e-09
2  8.1  2.1929e-09
2  8.3  1.40395e-09
2  8.5  9.01819e-10
2  8.7  5.81108e-10
2  8.9  3.75473e-10
2  9.1  2.43299e-10
2  9.3  1.58067e-10
2  9.5  1.02971e-10
2  9.7  6.72247e-11
2  9.9  4.40025e-11
2  10.1  2.88808e-11
