# fragmentation : Kniehl & Kramer, evolved (scale=0.25*mt0=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1218.04
0  0.3  799.515
0  0.5  550.682
0  0.7  386.547
0  0.9  274.616
0  1.1  197.093
0  1.3  142.75
0  1.5  104.257
0  1.7  76.7794
0  1.9  57.0083
0  2.1  42.6985
0  2.3  32.2591
0  2.5  24.5995
0  2.7  18.9241
0  2.9  14.6862
0  3.1  11.5004
0  3.3  9.08023
0  3.5  7.22758
0  3.7  5.79697
0  3.9  4.68488
0  4.1  3.81222
0  4.3  3.12355
0  4.5  2.57423
0  4.7  2.13285
0  4.9  1.7784
0  5.1  1.49022
0  5.3  1.25548
0  5.5  1.06276
0  5.7  0.903127
0  5.9  0.767776
0  6.1  0.651995
0  6.3  0.555965
0  6.5  0.475846
0  6.7  0.408734
0  6.9  0.352145
0  7.1  0.304669
0  7.3  0.264416
0  7.5  0.230147
0  7.7  0.200942
0  7.9  0.175918
0  8.1  0.154394
0  8.3  0.135855
0  8.5  0.119758
0  8.7  0.105895
0  8.9  0.093859
0  9.1  0.0833509
0  9.3  0.0741897
0  9.5  0.0661478
0  9.7  0.0591349
0  9.9  0.0529258
0  10.1  0.0474634
0  10.3  0.042633
0  10.5  0.0383583
0  10.7  0.0345597
0  10.9  0.0312065
0  11.1  0.0282263
0  11.3  0.0255548
0  11.5  0.0231823
0  11.7  0.0210477
0  11.9  0.0191374
2  0.1  1216.85
2  0.3  798.719
2  0.5  550.124
2  0.7  386.142
2  0.9  274.317
2  1.1  196.869
2  1.3  142.58
2  1.5  104.126
2  1.7  76.6795
2  1.9  56.931
2  2.1  42.6385
2  2.3  32.2123
2  2.5  24.5632
2  2.7  18.8956
2  2.9  14.6638
2  3.1  11.4826
2  3.3  9.06596
2  3.5  7.21609
2  3.7  5.78772
2  3.9  4.67728
2  4.1  3.80598
2  4.3  3.11844
2  4.5  2.57001
2  4.7  2.12933
2  4.9  1.77545
2  5.1  1.48773
2  5.3  1.25393
2  5.5  1.06098
2  5.7  0.901585
2  5.9  0.766489
2  6.1  0.650899
2  6.3  0.555003
2  6.5  0.475022
2  6.7  0.408045
2  6.9  0.351551
2  7.1  0.304154
2  7.3  0.263957
2  7.5  0.229759
2  7.7  0.200581
2  7.9  0.175603
2  8.1  0.154126
2  8.3  0.135617
2  8.5  0.119557
2  8.7  0.105716
2  8.9  0.0936846
2  9.1  0.0832069
2  9.3  0.0740658
2  9.5  0.0660796
2  9.7  0.0590266
2  9.9  0.0528328
2  10.1  0.0473764
2  10.3  0.0425581
2  10.5  0.0382899
2  10.7  0.0344982
2  10.9  0.0311496
2  11.1  0.0281749
2  11.3  0.0255119
2  11.5  0.0231431
2  11.7  0.0210094
2  11.9  0.0191044
4  0.1  1217.12
4  0.3  799.313
4  0.5  550.682
4  0.7  386.457
4  0.9  274.78
4  1.1  197.078
4  1.3  142.311
4  1.5  103.746
4  1.7  76.379
4  1.9  56.7024
4  2.1  42.4584
4  2.3  32.0721
4  2.5  24.4541
4  2.7  18.808
4  2.9  14.5962
4  3.1  11.4288
4  3.3  9.02295
4  3.5  7.18152
4  3.7  5.75969
4  3.9  4.65444
4  4.1  3.7873
4  4.3  3.10303
4  4.5  2.55587
4  4.7  2.11875
4  4.9  1.76657
4  5.1  1.48018
4  5.3  1.24763
4  5.5  1.0556
4  5.7  0.896995
4  5.9  0.762578
4  6.1  0.647559
4  6.3  0.552016
4  6.5  0.47233
4  6.7  0.405814
4  6.9  0.349871
4  7.1  0.302552
4  7.3  0.262595
4  7.5  0.228563
4  7.7  0.199546
4  7.9  0.174684
4  8.1  0.15334
4  8.3  0.134908
4  8.5  0.118965
4  8.7  0.105156
4  8.9  0.0931913
4  9.1  0.0827846
4  9.3  0.0736865
4  9.5  0.0656895
4  9.7  0.058695
4  9.9  0.0525563
4  10.1  0.0471171
4  10.3  0.0423291
4  10.5  0.0380805
4  10.7  0.0343178
4  10.9  0.0309861
4  11.1  0.0280243
4  11.3  0.0253818
4  11.5  0.023018
4  11.7  0.0208915
4  11.9  0.0190017
6  0.1  1207.19
6  0.3  792.271
6  0.5  545.581
6  0.7  382.867
6  0.9  271.888
6  1.1  195.047
6  1.3  141.197
6  1.5  103.073
6  1.7  75.8672
6  1.9  56.3091
6  2.1  42.1545
6  2.3  31.8365
6  2.5  24.2697
6  2.7  18.6623
6  2.9  14.4819
6  3.1  11.338
6  3.3  8.95035
6  3.5  7.12312
6  3.7  5.71241
6  3.9  4.61594
6  4.1  3.75577
6  4.3  3.07707
6  4.5  2.53432
6  4.7  2.10077
6  4.9  1.75161
6  5.1  1.46763
6  5.3  1.23689
6  5.5  1.0465
6  5.7  0.88924
6  5.9  0.75595
6  6.1  0.641925
6  6.3  0.54734
6  6.5  0.468443
6  6.7  0.40236
6  6.9  0.346659
6  7.1  0.299892
6  7.3  0.260275
6  7.5  0.226533
6  7.7  0.197777
6  7.9  0.173148
6  8.1  0.151964
6  8.3  0.133708
6  8.5  0.117875
6  8.7  0.10423
6  8.9  0.0923528
6  9.1  0.0820113
6  9.3  0.0730089
6  9.5  0.0651345
6  9.7  0.0581878
6  9.9  0.0520766
6  10.1  0.046707
6  10.3  0.041954
6  10.5  0.0377435
6  10.7  0.0340046
6  10.9  0.0307041
6  11.1  0.0277696
6  11.3  0.0251487
6  11.5  0.0228054
6  11.7  0.0207045
6  11.9  0.0188338
8  0.1  1198.57
8  0.3  786.526
8  0.5  541.504
8  0.7  379.923
8  0.9  269.709
8  1.1  193.419
8  1.3  139.96
8  1.5  102.128
8  1.7  75.1412
8  1.9  55.7495
8  2.1  41.7223
8  2.3  31.5006
8  2.5  24.0079
8  2.7  18.4575
8  2.9  14.3199
8  3.1  11.2094
8  3.3  8.84767
8  3.5  7.04052
8  3.7  5.6456
8  3.9  4.56149
8  4.1  3.7111
8  4.3  3.04021
8  4.5  2.50375
8  4.7  2.07536
8  4.9  1.73026
8  5.1  1.44954
8  5.3  1.22173
8  5.5  1.03364
8  5.7  0.878288
8  5.9  0.746618
8  6.1  0.633958
8  6.3  0.540382
8  6.5  0.462331
8  6.7  0.3973
8  6.9  0.34231
8  7.1  0.296073
8  7.3  0.256986
8  7.5  0.223677
8  7.7  0.195265
8  7.9  0.170936
8  8.1  0.150035
8  8.3  0.131988
8  8.5  0.116361
8  8.7  0.102884
8  8.9  0.0911736
8  9.1  0.0809919
8  9.3  0.0720914
8  9.5  0.0642588
8  9.7  0.0574262
8  9.9  0.0514083
8  10.1  0.0460986
8  10.3  0.0414074
8  10.5  0.0372501
8  10.7  0.033564
8  10.9  0.0303043
8  11.1  0.0274066
8  11.3  0.0248182
8  11.5  0.0225073
8  11.7  0.0204367
8  11.9  0.0185835
10  0.1  1192.03
10  0.3  782.338
10  0.5  538.762
10  0.7  377.996
10  0.9  268.508
10  1.1  192.292
10  1.3  138.677
10  1.5  100.889
10  1.7  74.1826
10  1.9  55.0089
10  2.1  41.1524
10  2.3  31.0579
10  2.5  23.6631
10  2.7  18.1872
10  2.9  14.1066
10  3.1  11.04
10  3.3  8.71237
10  3.5  6.93163
10  3.7  5.55756
10  3.9  4.48979
10  4.1  3.65237
10  4.3  2.9918
10  4.5  2.46364
10  4.7  2.04193
10  4.9  1.70226
10  5.1  1.42709
10  5.3  1.20175
10  5.5  1.01667
10  5.7  0.863815
10  5.9  0.734278
10  6.1  0.623456
10  6.3  0.531421
10  6.5  0.454625
10  6.7  0.3907
10  6.9  0.336581
10  7.1  0.291178
10  7.3  0.252683
10  7.5  0.219915
10  7.7  0.191981
10  7.9  0.168041
10  8.1  0.14748
10  8.3  0.129763
10  8.5  0.114388
10  8.7  0.10113
10  8.9  0.0896118
10  9.1  0.0795821
10  9.3  0.0708259
10  9.5  0.0631922
10  9.7  0.0564521
10  9.9  0.0505256
10  10.1  0.0453073
10  10.3  0.0406943
10  10.5  0.0366135
10  10.7  0.0329848
10  10.9  0.0297811
10  11.1  0.0269335
10  11.3  0.0243853
10  11.5  0.0221177
10  11.7  0.0200849
10  11.9  0.0182581
12  0.1  1172.48
12  0.3  769.198
12  0.5  529.27
12  0.7  371.088
12  0.9  263.18
12  1.1  188.535
12  1.3  136.22
12  1.5  99.2984
12  1.7  72.9708
12  1.9  54.0725
12  2.1  40.4333
12  2.3  30.5006
12  2.5  23.2286
12  2.7  17.8463
12  2.9  13.8382
12  3.1  10.8271
12  3.3  8.54224
12  3.5  6.79489
12  3.7  5.44697
12  3.9  4.39971
12  4.1  3.57859
12  4.3  2.93091
12  4.5  2.41334
12  4.7  1.99994
12  4.9  1.66706
12  5.1  1.39744
12  5.3  1.1768
12  5.5  0.995463
12  5.7  0.845744
12  5.9  0.718814
12  6.1  0.610287
12  6.3  0.520151
