# fragmentation : Kniehl & Kramer, evolved (scale=0.5*mt0=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1165.66
0  0.3  770.001
0  0.5  534.684
0  0.7  377.083
0  0.9  268.355
0  1.1  192.119
0  1.3  138.11
0  1.5  99.7537
0  1.7  72.4054
0  1.9  52.9637
0  2.1  39.0338
0  2.3  29.0222
0  2.5  21.7822
0  2.7  16.4088
0  2.9  12.4089
0  3.1  9.48982
0  3.3  7.32706
0  3.5  5.7168
0  3.7  4.50089
0  3.9  3.57874
0  4.1  2.87003
0  4.3  2.31926
0  4.5  1.88824
0  4.7  1.54897
0  4.9  1.27955
0  5.1  1.06409
0  5.3  0.889945
0  5.5  0.748404
0  5.7  0.632702
0  5.9  0.53793
0  6.1  0.459074
0  6.3  0.39395
0  6.5  0.339363
0  6.7  0.293238
0  6.9  0.254527
0  7.1  0.221668
0  7.3  0.197382
0  7.5  0.176248
0  7.7  0.157666
0  7.9  0.141687
0  8.1  0.127572
0  8.3  0.115091
0  8.5  0.104061
0  8.7  0.0944842
0  8.9  0.0858013
0  9.1  0.0782028
0  9.3  0.0713706
0  9.5  0.0651673
0  9.7  0.0597608
0  9.9  0.0547921
0  10.1  0.0503791
0  10.3  0.0463932
0  10.5  0.0427568
0  10.7  0.039492
0  10.9  0.0365146
0  11.1  0.0338153
0  11.3  0.0313511
0  11.5  0.02911
0  11.7  0.0270598
0  11.9  0.0251812
2  0.1  1164.19
2  0.3  769.147
2  0.5  534.013
2  0.7  376.594
2  0.9  267.993
2  1.1  191.844
2  1.3  137.903
2  1.5  99.5968
2  1.7  72.2862
2  1.9  52.8733
2  2.1  38.9658
2  2.3  28.9696
2  2.5  21.7424
2  2.7  16.3787
2  2.9  12.3858
2  3.1  9.46872
2  3.3  7.31652
2  3.5  5.70534
2  3.7  4.49235
2  3.9  3.57196
2  4.1  2.86431
2  4.3  2.31489
2  4.5  1.88469
2  4.7  1.54606
2  4.9  1.27711
2  5.1  1.06206
2  5.3  0.888235
2  5.5  0.746984
2  5.7  0.631488
2  5.9  0.536921
2  6.1  0.458264
2  6.3  0.393171
2  6.5  0.338727
2  6.7  0.292666
2  6.9  0.254017
2  7.1  0.22124
2  7.3  0.196965
2  7.5  0.17588
2  7.7  0.157481
2  7.9  0.141417
2  8.1  0.12727
2  8.3  0.114867
2  8.5  0.103851
2  8.7  0.0941829
2  8.9  0.0856255
2  9.1  0.0779792
2  9.3  0.0711553
2  9.5  0.06504
2  9.7  0.0596507
2  9.9  0.0546883
2  10.1  0.0502863
2  10.3  0.0463041
2  10.5  0.042686
2  10.7  0.039395
2  10.9  0.0364433
2  11.1  0.0337457
2  11.3  0.0312486
2  11.5  0.0290547
2  11.7  0.0269878
2  11.9  0.0251172
4  0.1  1160.01
4  0.3  766.374
4  0.5  532.134
4  0.7  375.113
4  0.9  266.872
4  1.1  191.048
4  1.3  137.296
4  1.5  99.1347
4  1.7  71.9942
4  1.9  52.6064
4  2.1  38.7639
4  2.3  28.821
4  2.5  21.6253
4  2.7  16.2866
4  2.9  12.3162
4  3.1  9.41854
4  3.3  7.27152
4  3.5  5.67346
4  3.7  4.46658
4  3.9  3.55161
4  4.1  2.84796
4  4.3  2.30142
4  4.5  1.87399
4  4.7  1.53708
4  4.9  1.26971
4  5.1  1.05601
4  5.3  0.883079
4  5.5  0.742615
4  5.7  0.627868
4  5.9  0.533785
4  6.1  0.455848
4  6.3  0.390924
4  6.5  0.336734
4  6.7  0.290978
4  6.9  0.252509
4  7.1  0.219958
4  7.3  0.195877
4  7.5  0.174858
4  7.7  0.156568
4  7.9  0.140615
4  8.1  0.126575
4  8.3  0.114132
4  8.5  0.103246
4  8.7  0.0936763
4  8.9  0.0850959
4  9.1  0.0774773
4  9.3  0.0707133
4  9.5  0.0647475
4  9.7  0.059272
4  9.9  0.0543632
4  10.1  0.0499979
4  10.3  0.0460365
4  10.5  0.0424191
4  10.7  0.0391957
4  10.9  0.0362331
4  11.1  0.0335784
4  11.3  0.0311091
4  11.5  0.0288837
4  11.7  0.0268515
4  11.9  0.0249732
6  0.1  1152.83
6  0.3  761.631
6  0.5  528.737
6  0.7  372.635
6  0.9  265.15
6  1.1  189.644
6  1.3  136.221
6  1.5  98.3287
6  1.7  71.3226
6  1.9  52.1423
6  2.1  38.4141
6  2.3  28.5488
6  2.5  21.4219
6  2.7  16.1351
6  2.9  12.1988
6  3.1  9.32295
6  3.3  7.20516
6  3.5  5.61814
6  3.7  4.42339
6  3.9  3.51717
6  4.1  2.82041
6  4.3  2.27941
6  4.5  1.85555
6  4.7  1.522
6  4.9  1.25724
6  5.1  1.04567
6  5.3  0.874489
6  5.5  0.735363
6  5.7  0.621674
6  5.9  0.528531
6  6.1  0.451317
6  6.3  0.386987
6  6.5  0.333267
6  6.7  0.288112
6  6.9  0.250018
6  7.1  0.217793
6  7.3  0.193925
6  7.5  0.173136
6  7.7  0.155016
6  7.9  0.13921
6  8.1  0.1253
6  8.3  0.113005
6  8.5  0.102227
6  8.7  0.0928379
6  8.9  0.0843781
6  9.1  0.0768325
6  9.3  0.0701201
6  9.5  0.0640048
6  9.7  0.0586774
6  9.9  0.0538733
6  10.1  0.0495045
6  10.3  0.0455715
6  10.5  0.0420201
6  10.7  0.038798
6  10.9  0.0358717
6  11.1  0.0332191
6  11.3  0.0307746
6  11.5  0.0285993
6  11.7  0.0265508
6  11.9  0.0247159
8  0.1  1142.82
8  0.3  754.965
8  0.5  523.923
8  0.7  369.297
8  0.9  262.372
8  1.1  187.649
8  1.3  134.723
8  1.5  97.1999
8  1.7  70.5015
8  1.9  51.5021
8  2.1  37.9231
8  2.3  28.179
8  2.5  21.1394
8  2.7  15.916
