# fragmentation : Kniehl & Kramer, evolved (scale=0.5*mt0=1.5)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 1.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1015.54
0  0.3  654.092
0  0.5  441.837
0  0.7  303.661
0  0.9  211.369
0  1.1  148.604
0  1.3  105.582
0  1.5  75.7097
0  1.7  54.7694
0  1.9  39.9767
0  2.1  29.446
0  2.3  21.8771
0  2.5  16.4096
0  2.7  12.3251
0  2.9  9.27825
0  3.1  7.0432
0  3.3  5.39219
0  3.5  4.16236
0  3.7  3.23828
0  3.9  2.53951
0  4.1  2.00439
0  4.3  1.59499
0  4.5  1.27595
0  4.7  1.02793
0  4.9  0.833254
0  5.1  0.678978
0  5.3  0.556381
0  5.5  0.458433
0  5.7  0.379274
0  5.9  0.315403
0  6.1  0.263444
0  6.3  0.221033
0  6.5  0.186294
0  6.7  0.157454
0  6.9  0.133554
0  7.1  0.113655
0  7.3  0.0970827
0  7.5  0.0831773
0  7.7  0.0714793
0  7.9  0.0616042
0  8.1  0.0532359
0  8.3  0.046132
0  8.5  0.0400643
0  8.7  0.0348894
0  8.9  0.030433
0  9.1  0.0266491
0  9.3  0.0233673
0  9.5  0.0205329
0  9.7  0.0180744
0  9.9  0.0159294
0  10.1  0.0140875
0  10.3  0.0124714
0  10.5  0.0110587
0  10.7  0.00982146
0  10.9  0.00874089
0  11.1  0.00778985
0  11.3  0.006954
0  11.5  0.00621592
0  11.7  0.00556163
0  11.9  0.0049882
2  0.1  1014.63
2  0.3  653.502
2  0.5  441.593
2  0.7  303.374
2  0.9  211.162
2  1.1  148.452
2  1.3  105.469
2  1.5  75.6247
2  1.7  54.7053
2  1.9  39.9281
2  2.1  29.4088
2  2.3  21.8488
2  2.5  16.3878
2  2.7  12.3082
2  2.9  9.26528
2  3.1  7.03315
2  3.3  5.3844
2  3.5  4.15625
