# fragmentation : Kniehl & Kramer, evolved (scale=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  1220.2
0  0.3  804.746
0  0.5  555.345
0  0.7  388.805
0  0.9  274.317
0  1.1  194.713
0  1.3  139.107
0  1.5  100.008
0  1.7  72.3883
0  1.9  52.8094
0  2.1  38.8583
0  2.3  28.8579
0  2.5  21.6357
0  2.7  16.3748
0  2.9  12.5165
0  3.1  9.65553
0  3.3  7.51655
0  3.5  5.90236
0  3.7  4.6737
0  3.9  3.73041
0  4.1  3.00004
0  4.3  2.42949
0  4.5  1.98029
0  4.7  1.62405
0  4.9  1.34103
0  5.1  1.11312
0  5.3  0.928578
0  5.5  0.778208
0  5.7  0.655597
0  5.9  0.5551
0  6.1  0.471911
0  6.3  0.402793
0  6.5  0.345018
0  6.7  0.296749
0  6.9  0.255931
0  7.1  0.221536
0  7.3  0.192448
0  7.5  0.167652
0  7.7  0.146464
0  7.9  0.128337
0  8.1  0.11273
0  8.3  0.0992576
0  8.5  0.087606
0  8.7  0.0774985
0  8.9  0.0687303
0  9.1  0.0610843
0  9.3  0.0544095
0  9.5  0.0485582
0  9.7  0.0434259
0  9.9  0.0388983
0  10.1  0.034888
0  10.3  0.031357
0  10.5  0.0282232
0  10.7  0.0254555
0  10.9  0.0230039
0  11.1  0.0208161
0  11.3  0.0188564
0  11.5  0.0171101
0  11.7  0.0155445
0  11.9  0.01414
2  0.1  1219.01
2  0.3  803.947
2  0.5  554.781
2  0.7  388.397
2  0.9  274.016
2  1.1  194.49
2  1.3  138.94
2  1.5  99.8813
2  1.7  72.2927
2  1.9  52.737
2  2.1  38.8032
2  2.3  28.8156
2  2.5  21.6035
2  2.7  16.35
2  2.9  12.4973
2  3.1  9.64048
2  3.3  7.50468
2  3.5  5.89295
2  3.7  4.66619
2  3.9  3.72433
2  4.1  2.9951
2  4.3  2.42548
2  4.5  1.97704
2  4.7  1.62136
2  4.9  1.3388
2  5.1  1.11126
2  5.3  0.927017
2  5.5  0.776957
2  5.7  0.654445
2  5.9  0.554076
2  6.1  0.471097
2  6.3  0.402106
2  6.5  0.344426
2  6.7  0.296253
2  6.9  0.255503
2  7.1  0.22116
2  7.3  0.192093
2  7.5  0.167364
2  7.7  0.146201
2  7.9  0.128112
2  8.1  0.112534
2  8.3  0.0990717
2  8.5  0.0874541
2  8.7  0.0773606
2  8.9  0.0686081
2  9.1  0.060982
2  9.3  0.0543193
2  9.5  0.0484798
2  9.7  0.0433515
2  9.9  0.0388306
2  10.1  0.0348253
2  10.3  0.0313011
2  10.5  0.0281732
2  10.7  0.0254103
2  10.9  0.0229615
2  11.1  0.0207773
2  11.3  0.0188271
2  11.5  0.0170823
2  11.7  0.015518
2  11.9  0.014115
4  0.1  1219.24
4  0.3  804.303
4  0.5  555.344
4  0.7  388.766
4  0.9  274.475
4  1.1  194.455
4  1.3  138.704
4  1.5  99.489
4  1.7  72.0042
4  1.9  52.519
4  2.1  38.6379
4  2.3  28.6894
4  2.5  21.5069
4  2.7  16.2753
4  2.9  12.4392
4  3.1  9.59505
4  3.3  7.46885
4  3.5  5.86455
4  3.7  4.64347
4  3.9  3.7061
4  4.1  2.98032
4  4.3  2.41345
4  4.5  1.96717
4  4.7  1.61326
4  4.9  1.33208
4  5.1  1.10571
4  5.3  0.92235
4  5.5  0.772965
4  5.7  0.651211
4  5.9  0.551339
4  6.1  0.468672
4  6.3  0.400009
4  6.5  0.342733
4  6.7  0.294633
4  6.9  0.254182
4  7.1  0.220017
4  7.3  0.191118
4  7.5  0.166499
4  7.7  0.145519
4  7.9  0.127428
4  8.1  0.111951
4  8.3  0.0985546
4  8.5  0.0869929
4  8.7  0.0769484
4  8.9  0.0682566
4  9.1  0.0606597
4  9.3  0.0540297
4  9.5  0.0482156
4  9.7  0.0431157
4  9.9  0.0386182
4  10.1  0.0346232
4  10.3  0.0311261
4  10.5  0.0280209
4  10.7  0.0252609
4  10.9  0.0228423
4  11.1  0.0206665
4  11.3  0.0187257
4  11.5  0.0169889
4  11.7  0.0154336
4  11.9  0.0140398
6  0.1  1209.36
