# fragmentation : Kniehl & Kramer, evolved (scale=1*mt0=1.50333)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : 1.5
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  824.216
0  0.3  524.726
0  0.5  349.33
0  0.7  234.802
0  0.9  158.848
0  1.1  108.259
0  1.3  74.2715
0  1.5  51.3778
0  1.7  35.8109
0  1.9  25.1827
0  2.1  17.8786
0  2.3  12.8153
0  2.5  9.27745
0  2.7  6.78315
0  2.9  5.00766
0  3.1  3.73208
0  3.3  2.80726
0  3.5  2.12963
0  3.7  1.63004
0  3.9  1.25762
0  4.1  0.977657
0  4.3  0.765774
0  4.5  0.603822
0  4.7  0.47926
0  4.9  0.382682
0  5.1  0.307418
0  5.3  0.24851
0  5.5  0.201701
0  5.7  0.164577
0  5.9  0.134946
0  6.1  0.111151
0  6.3  0.0918974
0  6.5  0.0763454
0  6.7  0.063641
0  6.9  0.0532583
0  7.1  0.0447223
0  7.3  0.0377135
0  7.5  0.0318407
0  7.7  0.0270171
0  7.9  0.022947
0  8.1  0.0195684
0  8.3  0.0167437
0  8.5  0.0143586
0  8.7  0.0123406
0  8.9  0.0106298
0  9.1  0.00917307
0  9.3  0.00792734
0  9.5  0.00688116
0  9.7  0.00597648
0  9.9  0.00519929
0  10.1  0.0045407
0  10.3  0.0039677
0  10.5  0.00347303
0  10.7  0.00304496
0  10.9  0.00267463
0  11.1  0.0023523
0  11.3  0.0020725
0  11.5  0.00182859
0  11.7  0.00161563
0  11.9  0.00142953
2  0.1  823.527
2  0.3  524.276
2  0.5  349.025
2  0.7  234.591
2  0.9  158.7
2  1.1  108.153
2  1.3  74.1955
2  1.5  51.3226
2  1.7  35.7708
2  1.9  25.1531
2  2.1  17.8569
2  2.3  12.7992
2  2.5  9.26551
2  2.7  6.7742
2  2.9  5.00092
2  3.1  3.72697
2  3.3  2.80334
2  3.5  2.12662
2  3.7  1.62772
2  3.9  1.2558
2  4.1  0.976231
2  4.3  0.764647
2  4.5  0.602926
2  4.7  0.478547
2  4.9  0.382106
2  5.1  0.306951
2  5.3  0.24813
2  5.5  0.201389
2  5.7  0.164323
2  5.9  0.134735
2  6.1  0.110977
2  6.3  0.0917542
2  6.5  0.0762265
2  6.7  0.063541
2  6.9  0.0531746
2  7.1  0.0446517
2  7.3  0.0376525
2  7.5  0.0317891
2  7.7  0.026973
2  7.9  0.0229097
2  8.1  0.0195368
2  8.3  0.0167169
2  8.5  0.0143355
2  8.7  0.0123207
2  8.9  0.0106125
2  9.1  0.0091581
2  9.3  0.00791423
2  9.5  0.0068697
2  9.7  0.00596646
2  9.9  0.00519049
2  10.1  0.00453307
2  10.3  0.00396097
2  10.5  0.00346702
2  10.7  0.00303987
2  10.9  0.00266982
2  11.1  0.00234816
2  11.3  0.00206897
2  11.5  0.00182545
2  11.7  0.00161277
2  11.9  0.00142704
4  0.1  821.433
4  0.3  522.894
4  0.5  348.105
4  0.7  233.952
4  0.9  158.252
4  1.1  107.838
4  1.3  73.9662
4  1.5  51.1552
4  1.7  35.65
4  1.9  25.0666
4  2.1  17.7925
4  2.3  12.7503
4  2.5  9.22842
4  2.7  6.74803
4  2.9  4.9818
4  3.1  3.71184
4  3.3  2.79183
4  3.5  2.11978
4  3.7  1.62286
4  3.9  1.25279
4  4.1  0.974439
4  4.3  0.763596
4  4.5  0.602355
4  4.7  0.478604
4  4.9  0.382536
4  5.1  0.307671
4  5.3  0.248931
4  5.5  0.202501
4  5.7  0.165537
4  5.9  0.135917
4  6.1  0.112186
4  6.3  0.0929464
4  6.5  0.0774428
4  6.7  0.0648023
4  6.9  0.0544114
4  7.1  0.0458948
4  7.3  0.0388036
4  7.5  0.0329748
4  7.7  0.0280704
4  7.9  0.0239563
4  8.1  0.0203304
4  8.3  0.0172524
4  8.5  0.0146716
4  8.7  0.0125169
4  8.9  0.0107053
4  9.1  0.0091669
4  9.3  0.00789557
4  9.5  0.0068245
4  9.7  0.00593765
4  9.9  0.00516497
4  10.1  0.00451053
4  10.3  0.00394139
4  10.5  0.00344985
4  10.7  0.00302467
4  10.9  0.00265663
4  11.1  0.00233657
4  11.3  0.00205858
4  11.5  0.00181629
4  11.7  0.00160472
4  11.9  0.00141991
6  0.1  817.942
6  0.3  520.627
6  0.5  346.541
6  0.7  232.883
6  0.9  157.5
6  1.1  107.296
6  1.3  73.58
6  1.5  50.8758
6  1.7  35.4456
6  1.9  24.915
6  2.1  17.6819
6  2.3  12.6698
6  2.5  9.16743
6  2.7  6.70209
6  2.9  4.94651
6  3.1  3.6857
6  3.3  2.77177
6  3.5  2.10231
6  3.7  1.6089
6  3.9  1.24111
6  4.1  0.964705
6  4.3  0.755565
6  4.5  0.595696
6  4.7  0.472761
6  4.9  0.37744
6  5.1  0.303185
6  5.3  0.244911
6  5.5  0.198885
6  5.7  0.162282
6  5.9  0.133059
6  6.1  0.109553
6  6.3  0.0905854
6  6.5  0.0752473
6  6.7  0.0627319
6  6.9  0.0524894
6  7.1  0.0440805
6  7.3  0.0371679
6  7.5  0.0313775
6  7.7  0.0266022
6  7.9  0.0226109
6  8.1  0.0192813
6  8.3  0.0164971
6  8.5  0.0141417
6  8.7  0.0121581
6  8.9  0.0104729
6  9.1  0.00902814
6  9.3  0.00781937
6  9.5  0.00677913
6  9.7  0.00588789
6  9.9  0.00512183
6  10.1  0.00447291
6  10.3  0.00390838
6  10.5  0.00342096
6  10.7  0.00299937
6  10.9  0.0026342
6  11.1  0.00231692
6  11.3  0.00204137
6  11.5  0.00180104
6  11.7  0.00159131
6  11.9  0.00140798
8  0.1  812.881
8  0.3  517.35
8  0.5  344.317
8  0.7  231.268
8  0.9  156.423
8  1.1  106.526
8  1.3  73.0274
8  1.5  50.4748
8  1.7  35.154
8  1.9  24.7016
8  2.1  17.5249
8  2.3  12.5537
8  2.5  9.08269
8  2.7  6.63737
8  2.9  4.89782
8  3.1  3.64876
8  3.3  2.74286
8  3.5  2.08061
8  3.7  1.59206
8  3.9  1.228
8  4.1  0.954405
8  4.3  0.747398
8  4.5  0.589217
8  4.7  0.467583
8  4.9  0.37329
8  5.1  0.299824
8  5.3  0.242344
8  5.5  0.196667
8  5.7  0.160451
8  5.9  0.131549
8  6.1  0.108339
8  6.3  0.0895652
8  6.5  0.0744019
8  6.7  0.0620141
8  6.9  0.0518917
8  7.1  0.0435701
8  7.3  0.0367389
8  7.5  0.0310155
8  7.7  0.0263115
8  7.9  0.0223495
8  8.1  0.0190568
8  8.3  0.0163054
8  8.5  0.0139819
8  8.7  0.0120157
8  8.9  0.0103496
8  9.1  0.00893114
8  9.3  0.00771797
8  9.5  0.0066987
8  9.7  0.00581829
8  9.9  0.00506108
8  10.1  0.00441975
8  10.3  0.00386188
8  10.5  0.00338024
8  10.7  0.0029635
8  10.9  0.00260273
8  11.1  0.00228915
8  11.3  0.00201684
8  11.5  0.0017794
8  11.7  0.0015721
8  11.9  0.00139091
10  0.1  806.124
10  0.3  512.978
10  0.5  341.377
10  0.7  229.226
10  0.9  154.996
10  1.1  105.51
10  1.3  72.296
10  1.5  49.9438
10  1.7  34.7692
10  1.9  24.4082
10  2.1  17.3191
10  2.3  12.4007
10  2.5  8.96876
10  2.7  6.55419
10  2.9  4.83602
10  3.1  3.60095
10  3.3  2.70781
10  3.5  2.05517
10  3.7  1.57338
10  3.9  1.21397
10  4.1  0.9439
10  4.3  0.739698
10  4.5  0.583908
10  4.7  0.463718
10  4.9  0.370889
10  5.1  0.298206
10  5.3  0.24137
10  5.5  0.196222
10  5.7  0.160538
10  5.9  0.131902
10  6.1  0.10884
10  6.3  0.0903072
10  6.5  0.0752562
10  6.7  0.0630243
10  6.9  0.0529397
10  7.1  0.0446571
10  7.3  0.037854
10  7.5  0.0321629
10  7.7  0.0274473
10  7.9  0.0234465
10  8.1  0.0198434
10  8.3  0.016821
10  8.5  0.0142652
10  8.7  0.0121478
10  8.9  0.0103669
10  9.1  0.00887684
10  9.3  0.00763151
10  9.5  0.00658464
10  9.7  0.00572583
10  9.9  0.00498047
10  10.1  0.00434908
10  10.3  0.00380022
10  10.5  0.00332619
10  10.7  0.00291599
10  10.9  0.00256095
10  11.1  0.00225229
10  11.3  0.00198431
10  11.5  0.00175053
10  11.7  0.00154658
10  11.9  0.00136837
12  0.1  797.601
12  0.3  507.693
12  0.5  337.499
12  0.7  226.635
12  0.9  153.183
12  1.1  104.212
12  1.3  71.3691
12  1.5  49.2732
12  1.7  34.2806
12  1.9  24.0632
12  2.1  17.0559
12  2.3  12.2073
12  2.5  8.82519
12  2.7  6.44482
12  2.9  4.75289
12  3.1  3.53885
12  3.3  2.6589
12  3.5  2.01608
12  3.7  1.54207
12  3.9  1.18902
12  4.1  0.923764
12  4.3  0.723246
12  4.5  0.570032
12  4.7  0.452254
12  4.9  0.36097
12  5.1  0.289869
12  5.3  0.234251
12  5.5  0.190063
12  5.7  0.155037
12  5.9  0.127092
12  6.1  0.104748
12  6.3  0.0865014
12  6.5  0.0718478
12  6.7  0.0598777
12  6.9  0.0500986
12  7.1  0.0420598
12  7.3  0.0354613
12  7.5  0.0299338
12  7.7  0.0253716
12  7.9  0.0215649
12  8.1  0.0183879
12  8.3  0.0157311
12  8.5  0.013488
12  8.7  0.0115907
12  8.9  0.00998241
12  9.1  0.00861351
12  9.3  0.00744319
12  9.5  0.00645992
12  9.7  0.0056098
12  9.9  0.00487947
12  10.1  0.00426082
12  10.3  0.00372296
12  10.5  0.00325841
12  10.7  0.00285659
12  10.9  0.00250861
12  11.1  0.00220621
12  11.3  0.00194355
12  11.5  0.00171485
