# fragmentation : Kniehl & Kramer, evolved (scale=4*mt0=6.01332)
# channel       : An0n
#   dipole file dir       : data/Pb/mve/glauber_mve_<b>
#   pD0 loop             : 0.1 to 12.0 GeV, step 0.2
#   fixed rapidity y      : -2.0
# ============================================================
# b  pD0  dsigma_dyd2pD0
0  0.1  2376.37
0  0.3  1063.15
0  0.5  619.658
0  0.7  393.727
0  0.9  259.341
0  1.1  174.547
0  1.3  119.199
0  1.5  82.3082
0  1.7  57.5953
0  1.9  40.7573
0  2.1  29.1978
0  2.3  21.1915
0  2.5  15.5615
0  2.7  11.5949
0  2.9  8.74051
0  3.1  6.67074
0  3.3  5.14707
0  3.5  4.01567
0  3.7  3.16377
0  3.9  2.51835
0  4.1  2.02221
0  4.3  1.6374
0  4.5  1.33606
0  4.7  1.09842
0  4.9  0.909178
0  5.1  0.75748
0  5.3  0.63459
0  5.5  0.534066
0  5.7  0.452532
0  5.9  0.385317
0  6.1  0.329427
0  6.3  0.283331
0  6.5  0.244268
0  6.7  0.211508
0  6.9  0.184093
0  7.1  0.160569
0  7.3  0.14298
0  7.5  0.127795
0  7.7  0.114757
0  7.9  0.103041
0  8.1  0.0929365
0  8.3  0.0840592
0  8.5  0.0761012
0  8.7  0.0691401
0  8.9  0.0628153
0  9.1  0.057319
0  9.3  0.0523366
0  9.5  0.0478618
0  9.7  0.043914
0  9.9  0.0402927
0  10.1  0.0370948
0  10.3  0.0341828
0  10.5  0.0315445
0  10.7  0.0291112
0  10.9  0.0269742
0  11.1  0.0249899
0  11.3  0.0231775
0  11.5  0.0214894
0  11.7  0.0200236
0  11.9  0.018648
2  0.1  2373.47
2  0.3  1061.77
2  0.5  618.859
2  0.7  393.195
2  0.9  259.009
2  1.1  174.29
2  1.3  119.013
2  1.5  82.1746
2  1.7  57.5029
2  1.9  40.6883
2  2.1  29.146
2  2.3  21.1531
2  2.5  15.5327
2  2.7  11.5738
2  2.9  8.72484
2  3.1  6.65794
2  3.3  5.13736
2  3.5  4.00808
2  3.7  3.15776
2  3.9  2.51356
2  4.1  2.01827
2  4.3  1.63432
2  4.5  1.3335
2  4.7  1.09618
2  4.9  0.907383
2  5.1  0.755985
2  5.3  0.633429
2  5.5  0.533181
2  5.7  0.451738
2  5.9  0.384294
2  6.1  0.32879
2  6.3  0.282581
2  6.5  0.243787
2  6.7  0.211136
2  6.9  0.183715
2  7.1  0.160268
2  7.3  0.142707
2  7.5  0.127563
2  7.7  0.114467
2  7.9  0.102841
2  8.1  0.0927347
2  8.3  0.0837948
2  8.5  0.0759456
2  8.7  0.0690029
2  8.9  0.0627059
2  9.1  0.0571973
2  9.3  0.0522372
2  9.5  0.0477716
2  9.7  0.043797
2  9.9  0.0402169
2  10.1  0.0370064
2  10.3  0.0341176
2  10.5  0.0314748
2  10.7  0.0290547
2  10.9  0.026923
2  11.1  0.0249388
2  11.3  0.0231335
2  11.5  0.0215087
2  11.7  0.0199823
2  11.9  0.0186057
4  0.1  2364.87
4  0.3  1057.83
4  0.5  616.473
4  0.7  391.567
4  0.9  257.706
4  1.1  173.507
4  1.3  118.44
4  1.5  81.7642
4  1.7  57.1991
4  1.9  40.4808
4  2.1  28.9912
4  2.3  21.0346
4  2.5  15.4582
4  2.7  11.5086
4  2.9  8.67494
4  3.1  6.62018
4  3.3  5.10865
4  3.5  3.98524
4  3.7  3.13958
4  3.9  2.49918
4  4.1  2.00676
4  4.3  1.62503
4  4.5  1.3259
4  4.7  1.09013
4  4.9  0.902211
4  5.1  0.751003
4  5.3  0.6297
4  5.5  0.530456
4  5.7  0.449149
4  5.9  0.382198
4  6.1  0.326931
4  6.3  0.280885
4  6.5  0.242346
4  6.7  0.210088
4  6.9  0.182434
4  7.1  0.159275
4  7.3  0.14197
4  7.5  0.126793
4  7.7  0.113827
4  7.9  0.102261
4  8.1  0.0921683
4  8.3  0.0833012
4  8.5  0.0755453
4  8.7  0.0686046
4  8.9  0.0623848
4  9.1  0.0568714
4  9.3  0.0519456
4  9.5  0.0475107
4  9.7  0.0435404
4  9.9  0.0400213
4  10.1  0.0368099
4  10.3  0.0339249
4  10.5  0.0312968
4  10.7  0.0288783
4  10.9  0.0267536
4  11.1  0.0247924
4  11.3  0.0230124
4  11.5  0.0213872
4  11.7  0.0198676
4  11.9  0.0184972
6  0.1  2350.1
6  0.3  1050.77
6  0.5  612.34
6  0.7  388.866
6  0.9  255.834
6  1.1  172.011
6  1.3  117.502
6  1.5  81.0941
6  1.7  56.7153
6  1.9  40.1201
6  2.1  28.7292
6  2.3  20.8432
6  2.5  15.3032
6  2.7  11.4001
6  2.9  8.59265
6  3.1  6.55666
6  3.3  5.0592
6  3.5  3.9466
6  3.7  3.10927
6  3.9  2.47509
6  4.1  1.98753
6  4.3  1.60921
6  4.5  1.31311
6  4.7  1.07971
6  4.9  0.893444
6  5.1  0.744184
6  5.3  0.623203
6  5.5  0.5249
6  5.7  0.444531
6  5.9  0.37864
6  6.1  0.324009
6  6.3  0.278237
6  6.5  0.239941
6  6.7  0.208091
6  6.9  0.180583
6  7.1  0.157699
6  7.3  0.140582
6  7.5  0.125565
6  7.7  0.112597
6  7.9  0.10133
6  8.1  0.0913137
6  8.3  0.082475
6  8.5  0.0748013
6  8.7  0.0679093
6  8.9  0.0617649
6  9.1  0.0562816
6  9.3  0.0514237
6  9.5  0.0470767
6  9.7  0.0431071
6  9.9  0.0396272
6  10.1  0.0364508
6  10.3  0.0335573
6  10.5  0.0309887
6  10.7  0.0285956
6  10.9  0.0264745
6  11.1  0.0245456
6  11.3  0.0227852
6  11.5  0.0211733
6  11.7  0.0196723
6  11.9  0.0183228
8  0.1  2329.13
8  0.3  1040.96
8  0.5  607.02
8  0.7  385.021
8  0.9  253.377
8  1.1  170.14
8  1.3  116.151
8  1.5  80.1802
8  1.7  56.0189
8  1.9  39.6098
8  2.1  28.3313
8  2.3  20.5648
8  2.5  15.1117
8  2.7  11.2367
8  2.9  8.47549
8  3.1  6.46754
8  3.3  4.98949
8  3.5  3.89169
8  3.7  3.0662
8  3.9  2.44082
8  4.1  1.95984
8  4.3  1.58682
8  4.5  1.29362
8  4.7  1.06442
8  4.9  0.880598
8  5.1  0.733768
8  5.3  0.614656
8  5.5  0.518098
8  5.7  0.438385
8  5.9  0.373172
8  6.1  0.319267
8  6.3  0.274492
8  6.5  0.236588
8  6.7  0.204909
8  6.9  0.178307
8  7.1  0.155501
8  7.3  0.138614
8  7.5  0.123798
8  7.7  0.111022
8  7.9  0.0999606
8  8.1  0.0900143
8  8.3  0.0814205
8  8.5  0.0737553
8  8.7  0.0669509
8  8.9  0.0608998
8  9.1  0.0554666
8  9.3  0.0507106
8  9.5  0.0464033
8  9.7  0.0425417
8  9.9  0.0390699
8  10.1  0.035907
8  10.3  0.0331079
8  10.5  0.0305355
8  10.7  0.0282126
8  10.9  0.0261144
8  11.1  0.0241929
8  11.3  0.0224552
8  11.5  0.0208695
8  11.7  0.0194183
8  11.9  0.0180821
10  0.1  2302.15
10  0.3  1028.2
10  0.5  599.294
10  0.7  379.919
10  0.9  249.813
10  1.1  167.671
10  1.3  114.38
10  1.5  78.9085
10  1.7  55.0896
10  1.9  38.9404
10  2.1  27.8648
10  2.3  20.2061
10  2.5  14.8436
10  2.7  11.0429
10  2.9  8.32152
10  3.1  6.34938
10  3.3  4.89851
10  3.5  3.82073
10  3.7  3.00987
10  3.9  2.39587
10  4.1  1.92424
10  4.3  1.55748
10  4.5  1.27072
10  4.7  1.04475
10  4.9  0.864617
10  5.1  0.720239
10  5.3  0.60317
10  5.5  0.507999
10  5.7  0.430282
10  5.9  0.366219
10  6.1  0.313494
10  6.3  0.269205
10  6.5  0.23222
10  6.7  0.201222
10  6.9  0.174757
10  7.1  0.152591
10  7.3  0.135858
10  7.5  0.121572
10  7.7  0.10894
10  7.9  0.0980908
10  8.1  0.0883472
10  8.3  0.0799081
10  8.5  0.0723343
10  8.7  0.0656879
10  8.9  0.0597763
10  9.1  0.0544966
10  9.3  0.0497908
10  9.5  0.045537
10  9.7  0.0417223
10  9.9  0.0383441
10  10.1  0.0352686
10  10.3  0.0324596
10  10.5  0.0299893
10  10.7  0.0277158
10  10.9  0.0256322
10  11.1  0.0237584
10  11.3  0.0220524
10  11.5  0.0204862
10  11.7  0.0190577
10  11.9  0.0177491
12  0.1  2266.3
12  0.3  1011.89
12  0.5  589.531
12  0.7  373.491
12  0.9  245.416
12  1.1  164.723
12  1.3  112.143
12  1.5  77.3146
12  1.7  53.9415
12  1.9  38.0655
12  2.1  27.2487
12  2.3  19.7531
12  2.5  14.5045
12  2.7  10.7898
